Name,Margin,Minutes,FGA,FGM,3PA,3PM,Rebounds,Assists,Steals,Blocks,Turnovers,Fouls,Points
Danny Green,4.87,28.03,7.88,3.25,6.26,2.54,3.77,1.71,1.33,0.81,0.97,1.81,9.48
Dwight Howard,5.33,17.33,4.39,2.58,0.29,0.07,8.41,0.88,0.43,0.9,1.62,2.9,6.99
Matisse Thybulle,6.37,19.97,3.74,1.57,2.2,0.66,1.91,0.97,1.62,1.09,0.49,1.95,3.92
Shake Milton,7.14,23.19,10.59,4.76,3.22,1.13,2.35,3.06,0.62,0.29,1.63,2.06,12.97
Tobias Harris,6.32,32.49,14.9,7.63,3.35,1.32,6.76,3.55,0.89,0.82,1.73,1.92,19.52
Tyrese Maxey,6.3,15.34,7.03,3.25,1.69,0.51,1.7,1.97,0.43,0.21,0.67,1.3,8.0
Ben Simmons,6.86,32.37,10.05,5.6,0.17,0.05,7.19,6.91,1.6,0.6,2.98,2.95,14.29
Seth Curry,6.18,28.74,9.68,4.53,4.91,2.21,2.39,2.72,0.77,0.14,1.14,1.68,12.47
Furkan Korkmaz,6.85,19.3,7.71,3.09,4.89,1.84,2.05,1.49,0.89,0.16,0.84,1.16,9.11
Joel Embiid,8.02,31.08,17.63,9.04,3.02,1.14,10.57,2.84,0.98,1.35,3.12,2.41,28.45
Mike Scott,6.12,16.7,4.14,1.49,3.04,1.04,2.35,0.78,0.47,0.27,0.37,1.41,4.18
Isaiah Joe,4.29,9.34,3.24,1.17,2.59,0.95,0.88,0.49,0.29,0.1,0.27,0.83,3.73
Paul Reed,9.12,6.82,3.0,1.62,0.23,0.0,2.35,0.46,0.38,0.5,0.46,1.12,3.38
George Hill,0.03,22.39,6.57,3.17,2.67,1.03,2.03,2.43,0.77,0.17,1.03,1.03,8.7
Rayjon Tucker,4.07,4.87,1.29,0.64,0.5,0.14,0.79,0.43,0.14,0.0,0.29,0.57,2.43
Anthony Tolliver,8.18,8.99,1.55,0.36,1.27,0.36,0.91,0.18,0.27,0.18,0.27,0.64,1.55
Gary Clark,-6.95,16.76,3.38,1.03,2.77,0.79,2.95,0.79,0.33,0.18,0.44,0.9,3.05
Dakota Mathias,-0.75,15.43,6.0,2.38,3.25,1.0,0.88,1.62,0.12,0.38,0.12,0.88,6.0
Tony Bradley,-6.74,16.29,4.69,3.12,0.07,0.0,5.69,0.88,0.36,0.71,0.79,1.45,7.14
Ignas Brazdeikis,-11.54,19.14,6.38,2.69,2.15,0.85,3.46,1.31,0.31,0.23,0.92,1.69,7.0
Mason Jones,-6.06,10.45,3.84,1.62,2.06,0.75,1.72,1.31,0.22,0.03,0.91,0.75,5.25
Vincent Poirier,14.9,3.91,1.2,0.3,0.1,0.0,1.4,0.2,0.0,0.3,0.4,0.8,0.8
Terrance Ferguson,11.69,3.79,0.54,0.08,0.38,0.0,0.08,0.15,0.08,0.0,0.31,0.54,0.15
