Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,Rebounds,Assists,Steals,Blocks,Turnovers,Fouls,Points
2020-12-23,ORL,MIA,0, +6,26:00,11,8,4,1,7,0,4,0,2,4,20
2020-12-26,ORL,WAS,1, +10,29:39,12,6,2,1,9,3,0,0,0,3,15
2020-12-27,ORL,WAS,1, +7,19:48,4,1,1,0,6,0,0,0,0,0,4
2020-12-29,ORL,OKC,1, +11,22:10,10,5,3,0,5,2,1,1,3,2,12
2020-12-31,ORL,PHI,0, -24,20:49,8,1,4,0,3,1,0,2,2,0,6
2021-01-02,ORL,OKC,0, -9,27:44,15,6,6,1,8,5,0,0,0,0,15
2021-01-04,ORL,CLE,0, +20,27:55,17,9,9,6,11,1,1,0,2,1,24
2021-01-06,ORL,CLE,0, +11,27:09,7,5,2,2,8,3,1,1,5,1,15
2021-01-09,ORL,DAL,1, -14,35:32,16,6,7,1,4,5,1,1,2,3,16
2021-01-11,ORL,MIL,0, -22,35:14,14,8,4,3,5,8,1,2,4,2,21
2021-01-15,ORL,BOS,1, -27,28:43,12,5,5,3,2,3,0,0,2,1,17
2021-01-16,ORL,BRK,1, -7,30:55,11,4,6,0,6,6,2,0,3,1,11
2021-01-18,ORL,NYK,1, -7,35:57,18,6,7,2,17,10,0,2,4,2,18
2021-01-20,ORL,MIN,1, +1,35:37,9,3,4,1,9,7,1,4,4,2,13
2021-01-22,ORL,IND,1, -2,37:23,10,6,7,4,9,9,0,2,6,5,17
2021-01-25,ORL,CHO,0, +9,33:32,9,3,4,2,11,7,0,1,3,2,12
2021-01-27,ORL,SAC,0, -14,26:25,9,1,3,1,5,5,0,0,4,4,3
2021-01-29,ORL,LAC,0, -26,28:44,13,4,1,1,7,2,1,0,6,3,9
2021-01-31,ORL,TOR,1, -13,22:45,8,4,5,2,5,3,1,0,1,2,14
2021-03-11,ORL,MIA,1, -8,13:56,8,3,1,0,2,0,0,1,0,3,9
2021-03-18,ORL,NYK,1, -1,31:22,11,6,2,1,5,7,0,0,0,1,17
2021-03-19,ORL,BRK,0, +8,36:00,20,14,8,7,6,4,1,0,7,1,38
2021-03-21,ORL,BOS,1, -16,32:59,13,3,7,2,6,5,0,0,2,3,12
2021-03-23,ORL,DEN,0, -11,35:27,13,6,5,1,3,6,1,1,3,1,13
2021-03-24,ORL,PHO,0, +1,33:53,15,5,5,0,7,3,0,2,2,2,13
2021-03-28,DEN,ATL,0, +24,20:41,9,6,4,1,2,1,1,0,0,1,13
2021-03-30,DEN,PHI,0, +9,24:33,4,3,0,0,4,1,1,0,3,2,6
2021-04-01,DEN,LAC,1, +7,38:43,13,6,4,1,6,6,3,2,1,1,14
2021-04-04,DEN,ORL,0, +10,34:34,13,10,1,1,7,2,0,2,1,0,24
2021-04-06,DEN,DET,0, +15,22:47,4,2,3,1,4,3,0,0,1,0,9
2021-04-07,DEN,SAS,0, +10,24:03,8,4,2,0,2,3,2,1,2,3,9
2021-04-09,DEN,SAS,0, +2,31:12,11,5,4,1,1,2,0,1,1,4,11
2021-04-11,DEN,BOS,0, -18,31:03,5,2,3,1,7,2,0,1,0,1,7
2021-04-12,DEN,GSW,1, -9,23:27,5,3,2,1,6,3,1,0,1,3,9
2021-04-14,DEN,MIA,0, +17,26:33,11,7,3,1,9,3,0,0,1,2,16
2021-04-16,DEN,HOU,1, +29,21:45,6,3,2,0,2,2,1,0,1,1,8
2021-04-19,DEN,MEM,0, +2,21:37,7,1,3,0,8,3,0,1,2,1,2
2021-04-21,DEN,POR,1, +1,29:02,11,4,4,2,6,3,2,0,2,1,12
2021-04-23,DEN,GSW,1, -21,27:12,11,6,5,2,6,2,0,1,2,0,17
2021-04-24,DEN,HOU,0, +13,19:38,7,3,4,1,2,1,1,0,2,1,7
2021-04-26,DEN,MEM,0, +24,22:05,10,6,3,2,5,2,1,0,0,3,15
2021-04-28,DEN,NOP,0, +2,29:03,7,4,1,0,5,1,0,0,2,5,10
2021-04-29,DEN,TOR,0, +10,23:53,9,4,2,0,7,4,0,1,2,1,9
2021-05-01,DEN,LAC,1, +6,28:07,5,2,2,0,1,2,0,0,0,2,7
2021-05-03,DEN,LAL,1, -4,24:34,7,2,1,0,6,1,0,4,2,4,5
2021-05-05,DEN,NYK,0, +16,22:07,6,0,2,0,5,1,0,0,2,1,0
2021-05-07,DEN,UTA,1, -7,30:14,9,5,3,0,6,1,1,0,1,1,10
2021-05-11,DEN,CHO,1, +5,28:36,14,8,2,1,6,3,2,0,0,0,17
2021-05-13,DEN,MIN,1, +11,30:24,10,6,2,1,3,4,1,0,1,1,15
2021-05-16,DEN,POR,1, -16,12:17,4,1,2,0,2,0,0,0,0,1,2
