Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,Rebounds,Assists,Steals,Blocks,Turnovers,Fouls,Points
2021-01-11,PHO,WAS,1,-21,3.28,0,0,0,0,1,1,0,0,0,0,2
2021-01-20,PHO,HOU,1,6,12.0,3,2,1,0,2,1,0,0,0,1,5
2021-01-22,PHO,DEN,0,-4,18.73,7,4,2,1,3,0,1,0,1,2,9
2021-01-23,PHO,DEN,0,-8,29.5,7,2,2,1,4,2,0,0,0,2,6
2021-01-27,PHO,OKC,0,-5,18.92,9,5,4,2,3,0,1,1,0,1,12
2021-01-28,PHO,GSW,0,21,25.13,15,6,5,2,5,3,0,0,3,1,16
2021-01-30,PHO,DAL,1,6,22.02,4,1,2,1,7,2,1,0,0,2,7
2021-02-03,PHO,NOP,1,-22,13.45,6,3,5,2,1,0,0,0,3,2,11
2021-02-05,PHO,DET,0,17,16.57,5,3,2,0,1,2,0,0,1,1,7
2021-02-13,PHO,PHI,0,9,1.37,1,1,0,0,0,0,0,0,0,0,2
2021-02-14,PHO,ORL,0,19,2.15,2,2,0,0,1,0,1,0,0,0,4
2021-02-16,PHO,BRK,0,-4,8.53,3,2,2,1,1,0,1,0,0,1,5
2021-02-19,PHO,NOP,1,18,2.43,0,0,0,0,0,1,0,0,1,0,0
2021-02-20,PHO,MEM,1,31,7.47,3,2,1,0,0,2,0,1,0,1,4
2021-02-22,PHO,POR,0,32,8.4,1,0,0,0,2,0,0,0,0,2,0
2021-02-26,PHO,CHI,1,9,17.47,3,2,0,0,2,0,0,0,0,2,4
2021-02-28,PHO,MIN,1,19,18.3,4,1,2,0,1,0,0,1,1,3,5
2021-03-02,PHO,LAL,1,10,23.32,5,2,3,2,3,1,1,3,2,3,8
2021-03-04,PHO,GSW,0,22,24.18,12,6,2,1,9,0,0,1,1,0,14
2021-03-11,PHO,POR,1,6,20.03,3,2,1,1,5,1,2,0,1,1,5
2021-03-13,PHO,IND,0,-11,20.63,8,4,3,1,1,1,2,0,0,1,14
2021-03-18,PHO,MIN,0,-4,14.48,4,1,3,1,2,0,0,1,2,1,5
2021-03-19,PHO,MIN,0,12,16.03,9,4,2,1,3,0,0,1,1,2,10
2021-03-21,PHO,LAL,0,17,10.82,2,2,1,1,5,2,0,0,2,5,5
