Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,Rebounds,Assists,Steals,Blocks,Turnovers,Fouls,Points
2020-12-23,CHI,ATL,0, -20,16:47,6,2,3,0,2,2,1,1,0,1,4
2020-12-26,CHI,IND,0, -19,4:59,1,0,1,0,0,0,0,0,1,2,0
2021-01-01,CHI,MIL,1, -30,9:57,4,2,2,0,1,1,1,0,0,2,4
2021-01-08,CHI,LAL,1, -2,6:51,3,1,2,1,1,1,0,0,1,0,3
2021-01-10,CHI,LAC,1, -3,0:24,0,0,0,0,0,0,0,0,0,0,0
2021-01-18,CHI,HOU,0, +5,2:08,0,0,0,0,0,0,0,0,0,0,0
2021-02-12,CHI,LAC,0, -19,1:15,0,0,0,0,0,0,0,0,0,0,0
2021-03-16,CHI,OKC,0, +21,1:33,0,0,0,0,0,0,0,0,0,0,0
2021-03-22,CHI,UTA,0, -25,2:46,1,1,0,0,0,0,0,0,0,0,2
2021-04-21,CHI,CLE,1, -16,3:07,2,1,1,0,1,0,0,0,0,0,2
2021-04-22,CHI,CHO,0, +17,1:24,0,0,0,0,0,1,0,0,1,0,0
2021-04-28,CHI,NYK,1, -19,1:33,1,0,1,0,0,0,0,0,0,0,0
2021-04-30,CHI,MIL,0, -10,0:56,0,0,0,0,0,0,0,0,1,0,0
2021-05-15,CHI,BRK,1, -14,2:29,1,0,0,0,0,0,0,0,1,0,0
