Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,Rebounds,Assists,Steals,Blocks,Turnovers,Fouls,Points
2020-12-26,OKC,CHO,1, +2,10:56,6,0,6,0,4,0,1,1,1,2,0
2020-12-28,OKC,UTA,0, -1,14:26,2,0,1,0,2,0,1,1,0,1,0
2020-12-29,OKC,ORL,0, -11,19:29,8,1,4,0,6,3,0,2,1,2,2
2020-12-31,OKC,NOP,0, -33,20:42,4,1,4,1,5,4,2,1,6,1,3
2021-01-02,OKC,ORL,1, +9,14:15,1,0,1,0,2,0,1,0,2,0,0
2021-01-08,OKC,NYK,1, +12,18:33,5,3,3,1,6,0,0,1,1,0,7
2021-01-10,OKC,BRK,1, +13,13:38,4,1,3,1,3,0,0,0,1,0,3
2021-01-12,OKC,SAS,0, -10,15:36,6,2,1,0,5,1,0,2,2,1,4
2021-01-13,OKC,LAL,0, -29,20:44,9,4,4,2,4,2,0,3,0,2,10
2021-01-15,OKC,CHI,0, +2,12:24,7,2,4,1,3,1,0,0,0,1,5
2021-01-19,OKC,DEN,1, -18,24:17,7,0,5,0,4,2,1,1,3,1,0
2021-01-22,OKC,LAC,1, -14,14:43,4,1,4,1,0,3,0,1,1,2,3
2021-01-24,OKC,LAC,1, -8,17:08,8,1,3,0,4,0,1,1,1,0,2
2021-01-25,OKC,POR,1, +3,20:15,4,2,4,2,3,2,0,1,1,1,6
2021-01-27,OKC,PHO,1, +5,22:25,8,3,4,1,4,2,1,3,1,1,7
2021-01-29,OKC,BRK,0, -22,16:25,6,1,3,0,2,0,0,0,0,0,2
2021-02-01,OKC,HOU,0, -30,20:04,4,1,2,0,3,1,0,1,1,1,2
2021-03-11,OKC,DAL,0, +8,29:53,11,4,6,2,8,3,0,2,2,3,14
2021-03-13,OKC,NYK,0, -22,29:46,11,2,6,0,7,2,0,0,2,1,4
2021-03-14,OKC,MEM,0, +6,39:08,13,7,8,5,10,4,1,1,3,1,23
2021-03-16,OKC,CHI,1, -21,29:21,9,2,2,0,8,1,0,0,1,1,4
2021-03-18,OKC,ATL,1, -23,27:08,11,2,3,0,6,2,0,0,1,1,4
2021-03-21,OKC,HOU,1, +2,28:48,9,2,5,2,9,2,2,0,1,2,9
2021-03-22,OKC,MIN,1, +9,33:19,13,5,8,3,9,2,0,3,2,0,13
2021-03-24,OKC,MEM,0, -9,32:22,8,5,3,1,3,5,0,1,5,2,13
2021-03-27,OKC,BOS,0, -17,31:03,10,3,4,0,2,5,1,1,3,1,8
2021-03-29,OKC,DAL,0, -21,33:57,17,8,10,3,6,2,0,0,2,1,21
2021-04-02,OKC,PHO,1, -37,32:54,14,7,6,4,5,4,1,0,2,0,20
2021-04-03,OKC,POR,1, -48,30:55,13,3,6,2,2,4,1,2,4,1,8
2021-04-05,OKC,DET,0, -24,31:30,19,8,6,2,4,0,0,2,4,4,19
2021-04-07,OKC,CHO,0, -11,33:27,14,9,11,7,9,4,0,0,3,2,25
2021-04-08,OKC,CLE,0, -27,27:30,12,3,8,2,6,2,0,2,4,1,10
2021-04-10,OKC,PHI,0, -24,8:28,2,0,1,0,3,1,0,0,1,2,0
2021-04-18,OKC,TOR,1, -6,28:26,14,4,8,0,7,5,0,6,1,4,8
2021-04-19,OKC,WAS,1, -12,30:02,11,3,8,2,4,5,1,0,6,2,8
2021-04-21,OKC,IND,1, -6,5:22,3,1,1,0,2,1,0,0,0,0,2
2021-04-23,OKC,WAS,0, -20,25:29,10,3,4,0,3,0,1,2,4,0,8
2021-04-26,OKC,PHI,1, -31,29:38,11,3,6,1,2,5,2,0,5,1,8
2021-04-27,OKC,BOS,1, +4,27:03,12,5,4,2,6,4,0,0,2,3,12
2021-04-29,OKC,NOP,0, -14,27:35,16,3,4,0,9,1,1,0,0,2,8
2021-05-02,OKC,PHO,0, -3,9:59,4,2,1,0,0,2,0,0,0,1,4
2021-05-09,OKC,SAC,1, -28,26:11,11,5,7,2,2,5,0,0,3,1,13
2021-05-11,OKC,SAC,1, -16,32:13,8,4,4,2,3,2,0,1,5,2,10
2021-05-14,OKC,UTA,0, -16,31:29,10,3,2,0,9,1,1,0,4,2,6
2021-05-16,OKC,LAC,0, +5,40:55,19,10,9,6,8,2,0,0,7,1,29
