Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,Rebounds,Assists,Steals,Blocks,Turnovers,Fouls,Points
2020-12-22,LAL,LAC,0,-7,16.67,5,1,4,1,2,1,0,0,3,0,3
2020-12-25,LAL,DAL,0,23,13.4,2,2,2,2,1,2,2,0,2,2,6
2020-12-27,LAL,MIN,0,36,10.52,4,3,2,1,2,0,0,0,0,1,7
2021-01-07,LAL,SAS,0,-9,20.38,3,3,2,2,3,1,0,0,0,3,8
2021-01-08,LAL,CHI,0,2,16.72,7,3,6,3,2,3,1,0,2,0,9
2021-01-10,LAL,HOU,1,18,21.5,5,1,1,0,4,4,3,0,0,1,3
2021-01-12,LAL,HOU,1,17,17.75,4,0,2,0,6,3,3,1,2,1,0
2021-01-13,LAL,OKC,1,29,22.12,2,2,2,2,1,2,0,0,2,1,6
2021-01-15,LAL,NOP,0,17,17.87,4,3,3,3,3,4,1,1,0,0,9
2021-01-18,LAL,GSW,0,-2,19.5,5,3,3,1,1,4,0,0,1,3,7
2021-01-21,LAL,MIL,1,7,17.67,2,1,1,1,4,1,3,1,0,3,5
2021-01-23,LAL,CHI,1,11,18.43,5,1,2,1,1,2,0,0,1,0,3
2021-01-25,LAL,CLE,1,7,18.72,6,1,3,1,1,2,2,0,1,2,3
2021-01-27,LAL,PHI,1,-1,15.98,7,4,1,1,1,2,0,0,0,1,10
2021-01-28,LAL,DET,1,-15,19.7,7,3,1,0,2,2,0,0,0,2,6
2021-01-30,LAL,BOS,1,1,19.57,2,1,1,0,3,1,0,0,0,2,2
2021-02-01,LAL,ATL,1,8,24.93,7,4,2,0,2,2,2,0,3,5,8
2021-02-04,LAL,DEN,0,21,16.83,3,0,3,0,3,3,0,0,4,1,0
2021-02-06,LAL,DET,0,6,26.15,5,3,1,1,3,0,2,0,3,1,10
2021-02-12,LAL,MEM,0,10,20.27,4,1,3,0,3,6,2,0,1,2,2
2021-02-14,LAL,DEN,1,-17,19.63,6,4,3,1,3,2,0,0,0,3,11
2021-02-16,LAL,MIN,1,8,18.18,2,1,2,1,2,3,1,1,0,2,4
2021-02-18,LAL,BRK,0,-11,25.72,5,1,1,0,5,3,3,0,2,1,2
2021-02-20,LAL,MIA,0,-2,19.75,3,0,2,0,1,4,0,0,2,2,0
2021-02-22,LAL,WAS,0,-3,31.1,10,4,4,1,4,3,2,1,1,3,11
2021-02-24,LAL,UTA,1,-25,16.35,8,1,3,0,1,0,0,1,0,2,3
2021-02-26,LAL,POR,0,9,30.48,10,4,5,2,6,2,2,0,0,4,10
2021-02-28,LAL,GSW,0,26,20.78,8,5,2,1,4,4,1,0,1,2,13
2021-03-02,LAL,PHO,0,-10,20.3,4,2,3,2,6,4,0,0,1,1,7
2021-03-12,LAL,IND,0,5,7.33,1,1,0,0,2,1,0,0,0,0,4
2021-03-18,LAL,CHO,0,11,23.5,7,1,2,0,5,3,2,0,0,2,5
2021-03-20,LAL,ATL,0,-5,20.67,3,1,1,1,4,2,1,1,1,2,3
2021-03-21,LAL,PHO,1,-17,24.95,5,2,1,0,5,4,0,0,3,5,7
2021-03-23,LAL,NOP,1,-17,24.02,5,3,2,2,3,2,2,0,0,0,10
2021-03-25,LAL,PHI,0,-8,14.18,4,0,1,0,6,2,1,0,3,2,1
2021-03-26,LAL,CLE,0,14,23.88,4,1,3,0,3,1,4,0,1,2,5
2021-03-28,LAL,ORL,0,3,21.15,5,1,3,1,4,5,2,1,1,1,3
2021-03-31,LAL,MIL,0,-15,28.23,7,3,2,0,4,2,2,1,0,2,6
2021-04-02,LAL,SAC,1,21,18.23,4,3,2,2,2,3,0,0,2,4,8
2021-04-04,LAL,LAC,1,-18,26.38,6,2,3,2,1,2,1,1,2,0,8
2021-04-06,LAL,TOR,1,9,27.8,7,4,4,3,5,4,2,0,4,3,13
2021-04-08,LAL,MIA,1,-6,21.7,3,2,2,1,2,6,1,0,2,3,5
2021-04-10,LAL,BRK,1,25,23.62,3,2,2,1,3,1,2,0,1,2,5
2021-04-12,LAL,NYK,1,-15,15.4,4,2,1,0,3,3,1,0,1,0,4
2021-04-13,LAL,CHO,1,8,24.73,6,4,5,3,2,6,1,0,2,1,13
2021-04-15,LAL,BOS,0,-8,15.65,6,3,2,0,2,2,1,0,2,2,6
2021-04-17,LAL,UTA,0,12,19.33,2,2,0,0,1,1,1,0,1,1,4
2021-04-19,LAL,UTA,0,-14,17.25,4,1,3,1,2,0,0,1,2,3,3
2021-04-22,LAL,DAL,1,-5,27.98,6,2,3,1,4,2,2,1,0,1,5
2021-04-24,LAL,DAL,1,-15,23.72,3,1,2,0,2,4,2,1,1,3,7
2021-04-26,LAL,ORL,1,11,14.1,3,2,2,1,2,2,0,0,1,2,7
2021-05-02,LAL,TOR,0,-7,26.1,9,3,4,1,4,5,0,0,1,2,7
2021-05-03,LAL,DEN,0,4,27.6,9,4,5,2,5,3,1,1,3,1,11
2021-05-06,LAL,LAC,1,-24,28.58,8,3,3,1,0,7,2,0,3,4,8
2021-05-07,LAL,POR,1,-5,34.52,16,8,2,2,6,2,0,0,1,2,18
2021-05-09,LAL,PHO,0,13,31.88,11,6,3,1,3,8,3,0,3,5,17
2021-05-11,LAL,NYK,0,2,7.18,1,0,0,0,2,2,0,0,2,0,0
2021-05-16,LAL,NOP,1,12,19.37,8,4,4,1,3,5,0,1,1,2,9
