Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2020-12-23,MIA,ORL,1,-6,16.83,2,0,0,0,0,0,2,4,0,1,1,3,3,0,-3
2020-12-25,MIA,NOP,0,13,26.22,5,2,5,2,0,0,0,7,3,1,0,2,3,6,17
2020-12-30,MIA,MIL,0,11,19.98,3,0,3,0,0,0,0,4,2,0,1,2,1,0,-3
2021-01-01,MIA,DAL,1,-10,13.07,5,1,3,1,0,0,0,2,0,1,0,0,3,3,-7
2021-01-04,MIA,OKC,0,28,14.52,5,3,4,3,0,0,0,0,1,1,0,0,1,9,11
2021-01-06,MIA,BOS,0,-2,20.57,5,3,5,3,0,0,0,1,1,0,0,0,0,9,-21
2021-01-09,MIA,WAS,1,4,13.75,3,1,2,1,0,0,0,2,2,0,1,0,1,3,-12
2021-01-12,MIA,PHI,1,-3,22.4,10,3,6,1,0,0,2,5,7,1,0,1,1,7,-9
2021-01-14,MIA,PHI,1,-17,25.0,1,1,0,0,0,0,0,3,8,0,0,2,1,2,-11
2021-01-16,MIA,DET,0,-20,21.42,3,0,3,0,0,0,0,1,1,0,0,2,2,0,-8
2021-01-18,MIA,DET,0,6,20.7,3,1,2,0,2,2,0,3,2,2,0,1,1,4,4
2021-01-20,MIA,TOR,1,9,21.52,6,5,4,3,0,0,1,3,1,1,2,2,1,13,2
2021-01-22,MIA,TOR,1,-20,21.37,6,2,4,1,0,0,1,5,1,5,0,0,0,5,-13
2021-01-23,MIA,BRK,1,-4,26.05,3,1,3,1,2,4,0,3,2,3,0,2,1,5,7
2021-01-25,MIA,BRK,1,-13,27.7,5,2,4,1,0,1,2,8,2,2,1,1,1,5,-10
2021-01-27,MIA,DEN,0,-27,16.23,5,2,4,2,0,0,0,5,5,0,0,0,1,6,-7
2021-01-30,MIA,SAC,0,1,25.97,5,0,5,0,1,2,1,6,6,1,0,2,2,1,8
2021-02-01,MIA,CHO,0,-8,26.8,7,3,7,3,0,2,0,4,5,1,0,1,2,9,4
2021-02-03,MIA,WAS,0,-3,20.97,3,1,3,1,0,0,0,2,2,2,0,1,3,3,-11
2021-02-05,MIA,WAS,0,27,24.45,4,2,4,2,0,0,1,10,3,1,2,0,1,6,-1
2021-02-07,MIA,NYK,1,6,21.25,5,2,3,0,0,0,0,2,0,2,0,0,2,4,-1
2021-02-09,MIA,NYK,0,2,21.43,2,0,2,0,0,0,0,4,0,1,1,0,1,0,-16
2021-02-11,MIA,HOU,1,7,25.3,2,1,1,0,0,0,2,5,0,0,1,2,1,2,9
2021-02-13,MIA,UTA,1,-18,17.4,3,0,3,0,0,0,0,1,3,0,1,2,2,0,-8
2021-02-15,MIA,LAC,1,-7,20.65,2,1,1,0,0,0,0,2,3,1,1,0,1,2,-10
2021-02-17,MIA,GSW,1,-8,19.95,8,4,4,2,0,0,1,2,1,0,0,1,3,10,-19
2021-02-18,MIA,SAC,1,8,23.15,5,2,3,0,0,0,0,3,2,3,0,0,1,4,11
2021-02-20,MIA,LAL,1,2,24.85,2,1,2,1,0,0,0,2,2,1,0,2,2,3,-9
2021-02-22,MIA,OKC,1,14,23.33,4,2,3,2,0,0,1,5,2,0,2,3,2,6,8
2021-02-24,MIA,TOR,0,8,23.93,5,4,5,4,0,0,1,5,1,0,1,1,2,12,7
2021-02-26,MIA,UTA,0,8,22.75,5,2,5,2,2,2,1,5,2,1,0,2,0,8,11
2021-02-28,MIA,ATL,0,10,22.1,6,3,3,1,0,0,3,6,3,1,0,0,3,7,13
2021-03-02,MIA,ATL,0,-14,20.22,3,0,2,0,2,4,1,3,2,2,1,0,0,2,-15
2021-03-04,MIA,NOP,1,10,23.42,6,2,4,1,5,8,0,3,2,1,0,1,2,10,5
2021-03-11,MIA,ORL,0,8,23.03,2,1,2,1,0,0,0,5,0,0,0,0,0,3,1
2021-03-12,MIA,CHI,1,11,22.72,4,0,3,0,0,0,0,2,1,0,1,0,0,0,7
2021-03-14,MIA,ORL,1,5,25.63,3,1,3,1,0,0,1,6,0,1,0,1,1,3,3
2021-03-16,MIA,CLE,0,15,9.28,2,2,2,2,2,2,0,0,2,1,0,1,0,8,4
2021-03-21,MIA,IND,0,-3,19.53,1,1,0,0,0,0,1,2,3,2,0,1,1,2,17
2021-03-23,MIA,PHO,0,-10,17.1,2,1,0,0,2,2,2,5,2,0,2,1,1,4,0
