Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2020-12-22,GSW,BRK,1,-26,31.23,16,4,6,2,3,4,0,2,1,0,1,4,4,13,-28
2020-12-25,GSW,MIL,1,-39,24.9,18,6,4,0,0,0,3,6,0,1,0,1,3,12,-19
2020-12-27,GSW,CHI,1,1,36.43,15,6,3,2,5,6,2,9,4,0,1,0,2,19,2
2020-12-29,GSW,DET,1,10,38.07,19,9,8,5,4,4,1,7,3,1,3,2,3,27,19
2021-01-01,GSW,POR,0,-25,32.57,12,5,3,1,4,7,1,4,1,0,2,3,2,15,-26
2021-01-03,GSW,POR,0,15,35.32,16,8,5,1,4,7,1,7,2,0,2,2,5,21,19
2021-01-04,GSW,SAC,0,31,28.08,15,7,4,2,0,0,0,2,5,1,1,3,1,16,15
2021-01-06,GSW,LAC,0,-7,33.92,12,8,4,2,1,1,0,1,3,1,0,1,1,19,-7
2021-01-08,GSW,LAC,0,10,28.03,10,5,5,2,4,4,1,6,1,1,1,3,2,16,-12
2021-01-10,GSW,TOR,0,1,34.33,17,7,10,3,0,0,0,2,4,0,4,3,2,17,-8
2021-01-12,GSW,IND,0,-9,34.97,17,7,9,4,4,7,2,7,3,0,5,2,2,22,-15
2021-01-14,GSW,DEN,1,-10,35.57,16,7,4,0,2,2,0,3,3,0,1,0,1,16,0
2021-01-18,GSW,LAL,1,2,31.78,11,7,5,3,1,3,0,3,1,1,0,0,4,18,-8
2021-01-20,GSW,SAS,0,22,30.82,12,7,5,3,1,3,2,7,3,0,0,1,3,18,27
2021-01-21,GSW,NYK,0,-15,32.53,13,6,3,1,4,5,2,9,2,0,1,1,2,17,-18
2021-01-23,GSW,UTA,1,-19,25.28,9,5,3,2,1,2,1,5,2,0,3,0,2,13,-27
2021-01-25,GSW,MIN,0,22,29.67,19,10,5,2,1,2,6,6,0,3,3,1,3,23,22
2021-01-27,GSW,MIN,0,12,30.87,13,8,3,0,3,4,1,3,1,1,0,2,3,19,23
2021-01-28,GSW,PHO,1,-21,28.17,11,6,6,3,1,2,0,5,1,0,0,2,2,16,-18
2021-01-30,GSW,DET,0,27,25.47,17,8,6,3,1,2,1,4,3,1,1,1,4,20,28
