Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,Rebounds,Assists,Steals,Blocks,Turnovers,Fouls,Points
2020-12-22,LAL,LAC,0,-7,30.88,15,8,2,0,7,2,0,0,4,1,18
2020-12-25,LAL,DAL,0,23,30.28,16,10,5,3,8,5,2,0,2,2,28
2020-12-28,LAL,POR,0,-8,37.82,14,6,0,0,10,5,1,0,3,1,13
2020-12-30,LAL,SAS,1,14,31.62,15,9,2,0,8,3,0,2,1,3,20
2021-01-01,LAL,SAS,1,6,35.05,26,13,6,4,11,5,2,0,1,2,34
2021-01-03,LAL,MEM,1,14,32.2,15,6,2,0,9,1,3,3,3,0,17
2021-01-05,LAL,MEM,1,2,34.4,20,10,10,4,10,4,3,3,4,0,27
2021-01-07,LAL,SAS,0,-9,34.33,17,11,3,1,10,3,1,3,1,2,23
2021-01-10,LAL,HOU,1,18,29.93,12,9,1,0,4,1,0,3,2,4,27
2021-01-12,LAL,HOU,1,17,28.88,8,7,1,1,10,2,0,5,0,1,19
2021-01-13,LAL,OKC,1,29,24.62,13,8,1,0,7,1,0,0,0,0,18
2021-01-15,LAL,NOP,0,17,33.1,16,5,2,0,6,5,2,3,0,1,17
2021-01-18,LAL,GSW,0,-2,37.03,16,6,1,0,17,7,2,3,1,3,17
2021-01-21,LAL,MIL,1,7,37.8,18,8,1,0,9,6,1,2,2,3,18
2021-01-23,LAL,CHI,1,11,28.35,21,14,3,2,6,3,2,1,1,3,37
2021-01-25,LAL,CLE,1,7,35.63,16,5,3,0,10,4,3,3,3,1,17
2021-01-27,LAL,PHI,1,-1,34.57,18,9,3,0,8,2,0,2,2,4,23
2021-01-30,LAL,BOS,1,1,35.8,25,11,2,1,14,2,2,0,1,0,27
2021-02-01,LAL,ATL,1,8,35.9,14,10,2,0,2,2,1,3,5,4,25
2021-02-04,LAL,DEN,0,21,33.23,8,5,1,0,9,2,3,2,3,3,13
2021-02-06,LAL,DET,0,6,44.52,22,13,3,1,5,3,1,2,3,2,30
2021-02-12,LAL,MEM,0,10,34.83,27,16,3,0,9,1,2,1,3,1,35
2021-02-14,LAL,DEN,1,-17,14.23,11,5,1,0,4,1,0,0,0,1,15
2021-04-22,LAL,DAL,1,-5,16.67,10,2,1,0,4,1,1,1,1,0,4
2021-04-24,LAL,DAL,1,-15,28.32,19,5,6,0,3,3,0,0,1,0,17
2021-04-26,LAL,ORL,1,11,31.37,15,8,4,1,8,3,0,2,5,3,18
2021-04-28,LAL,WAS,1,-9,31.07,20,10,5,2,5,2,3,2,3,3,26
2021-04-30,LAL,SAC,0,-4,34.18,19,9,4,1,11,3,0,5,2,4,22
2021-05-02,LAL,TOR,0,-7,33.45,16,5,3,0,9,7,3,1,1,1,12
2021-05-03,LAL,DEN,0,4,33.1,19,9,2,1,7,1,0,3,4,1,25
2021-05-06,LAL,LAC,1,-24,9.17,9,2,1,0,1,0,0,0,1,1,4
2021-05-07,LAL,POR,1,-5,39.07,23,12,3,2,12,5,0,1,3,1,36
2021-05-09,LAL,PHO,0,13,40.77,27,13,5,1,12,5,3,3,3,1,42
2021-05-11,LAL,NYK,0,2,43.45,23,8,1,0,6,4,1,0,3,2,20
2021-05-15,LAL,IND,1,7,35.83,18,9,4,1,10,5,2,0,1,1,28
2021-05-16,LAL,NOP,1,12,30.28,12,5,3,0,5,1,1,0,1,0,14
