Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2020-12-29,WAS,CHI,0,-8,3.42,1,1,1,1,0,0,0,0,0,0,0,0,0,3,-1
2021-01-01,WAS,MIN,1,21,4.73,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-13
2021-01-06,WAS,PHI,1,-5,2.42,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2
2021-01-11,WAS,PHO,0,21,3.28,2,1,1,0,2,2,0,2,0,0,0,0,1,4,-2
2021-01-24,WAS,SAS,1,-20,10.07,1,0,1,0,0,0,0,2,0,0,0,0,0,0,-12
2021-01-26,WAS,HOU,1,-19,22.25,4,1,3,0,0,0,2,8,2,1,0,2,1,2,6
2021-01-27,WAS,NOP,1,-18,11.58,2,0,1,0,0,0,0,3,1,1,0,1,0,0,-12
2021-01-29,WAS,ATL,0,-16,1.82,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2021-02-07,WAS,CHO,1,-22,3.12,0,0,0,0,0,0,0,1,0,0,1,0,0,0,4
2021-02-10,WAS,TOR,0,-22,2.45,0,0,0,0,1,2,1,1,0,0,1,0,0,1,-3
2021-02-27,WAS,MIN,0,16,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2021-03-02,WAS,MEM,0,-14,1.25,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1
2021-03-23,WAS,NYK,1,-18,4.88,2,1,1,0,0,0,0,0,0,0,0,0,0,2,1
2021-04-03,WAS,DAL,0,-22,2.62,1,0,1,0,0,0,0,0,0,0,0,0,1,0,-4
2021-04-05,WAS,TOR,1,-2,9.9,5,1,2,0,0,0,5,6,0,1,0,1,2,2,-4
2021-04-07,WAS,ORL,1,15,3.58,0,0,0,0,0,0,0,1,0,0,0,0,4,0,-5
2021-04-10,WAS,PHO,1,-28,4.25,2,2,1,1,1,1,1,1,0,0,0,0,0,6,-2
2021-04-17,WAS,DET,0,21,2.88,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2021-04-23,WAS,OKC,1,20,20.3,5,4,2,1,0,0,3,10,1,1,0,1,1,9,20
2021-04-25,WAS,CLE,0,9,13.98,4,2,3,1,0,0,0,1,1,0,0,1,3,5,-16
2021-04-26,WAS,SAS,0,-3,13.92,7,6,1,1,0,1,1,3,0,1,1,0,2,13,2
2021-04-30,WAS,CLE,1,29,18.8,5,4,2,1,1,2,1,1,4,2,0,0,4,10,20
2021-05-05,WAS,MIL,1,-1,18.25,10,5,2,1,0,0,0,1,0,0,0,0,3,11,5
2021-05-06,WAS,TOR,1,2,8.87,4,0,2,0,0,0,0,1,0,0,0,0,1,0,-20
2021-05-14,WAS,CLE,0,15,21.58,4,2,0,0,8,8,2,5,1,2,1,1,2,12,16
2021-05-16,WAS,CHO,0,5,6.93,0,0,0,0,0,0,0,2,0,0,0,1,0,0,4
