Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2020-12-23,TOR,NOP,0,-14,28.1,9,5,4,1,0,0,1,9,0,0,0,1,2,11,-17
2020-12-26,TOR,SAS,1,-5,19.73,11,6,4,1,0,0,3,7,1,0,0,1,3,13,4
2020-12-29,TOR,PHI,1,-7,22.27,8,1,3,0,0,0,2,6,1,0,0,2,4,2,-13
2020-12-31,TOR,NYK,0,17,14.9,3,1,3,1,0,0,1,4,1,0,0,1,3,3,0
2021-01-02,TOR,NOP,1,-4,23.03,7,4,1,0,0,0,1,5,1,1,0,0,3,8,-3
2021-01-04,TOR,BOS,0,-12,13.62,5,0,0,0,0,0,3,4,0,0,0,0,1,0,-4
2021-01-06,TOR,PHO,1,-8,13.4,2,0,1,0,0,0,0,5,0,0,0,1,1,0,4
2021-01-14,TOR,CHO,0,3,7.55,2,1,1,0,0,0,1,1,0,0,0,0,2,2,-1
2021-01-16,TOR,CHO,0,3,4.33,1,0,1,0,0,0,0,3,0,0,0,2,1,0,-10
2021-01-18,TOR,DAL,0,23,11.22,1,0,1,0,0,0,0,1,0,0,0,0,3,0,0
2021-01-20,TOR,MIA,0,-9,13.4,3,1,3,1,0,0,0,7,3,0,0,0,3,3,-1
2021-01-22,TOR,MIA,0,20,23.15,5,1,3,1,0,0,5,6,1,2,2,2,4,3,5
2021-01-24,TOR,IND,1,5,17.38,9,5,2,2,0,0,1,7,1,0,1,0,0,12,2
2021-01-25,TOR,IND,1,-15,14.92,9,4,4,1,0,0,1,2,0,0,1,0,1,9,-2
2021-01-27,TOR,MIL,0,-7,22.9,12,5,7,1,0,0,1,6,2,0,3,0,6,11,-12
2021-01-29,TOR,SAC,0,-2,23.42,6,2,3,1,1,2,3,10,0,1,0,3,3,6,-7
2021-01-31,TOR,ORL,0,13,29.15,6,3,2,0,2,2,3,16,1,0,0,0,2,8,18
2021-02-02,TOR,ORL,1,15,32.22,4,2,2,0,0,0,0,5,1,0,0,0,1,4,25
2021-02-05,TOR,BRK,1,6,17.67,7,4,1,1,0,0,2,4,0,1,0,1,4,9,-7
2021-02-06,TOR,ATL,1,-11,15.33,5,1,1,0,0,0,0,0,1,1,1,2,3,2,-10
2021-02-08,TOR,MEM,1,15,18.97,6,2,3,1,2,2,2,6,3,0,0,0,3,7,-5
2021-02-10,TOR,WAS,1,22,21.05,6,3,1,0,2,2,0,4,4,0,0,1,1,8,3
2021-02-11,TOR,BOS,1,-14,20.78,9,4,1,0,0,0,3,8,2,0,0,2,3,8,-11
2021-02-14,TOR,MIN,0,-4,23.98,7,3,2,0,0,0,4,5,1,1,0,1,6,6,0
2021-02-16,TOR,MIL,1,11,17.72,3,2,0,0,0,1,0,4,1,0,0,0,0,4,-3
2021-02-18,TOR,MIL,1,14,14.78,3,2,0,0,2,2,1,3,2,0,1,3,3,6,19
2021-02-19,TOR,MIN,1,5,19.07,3,0,2,0,2,4,4,9,0,0,0,2,1,2,-12
2021-02-21,TOR,PHI,0,7,29.5,9,4,3,0,0,0,0,5,0,1,0,0,5,8,11
2021-02-23,TOR,PHI,0,-7,29.83,10,5,3,1,0,1,2,4,2,0,1,2,2,11,-10
2021-02-24,TOR,MIA,1,-8,17.13,5,3,2,1,0,0,2,4,1,0,0,0,1,7,-2
2021-02-26,TOR,HOU,0,11,15.3,8,4,1,1,0,0,2,6,0,0,1,0,1,9,5
2021-03-03,TOR,DET,0,-24,23.92,7,4,3,1,4,4,2,4,1,1,0,1,2,13,-4
2021-03-04,TOR,BOS,1,-7,29.35,9,6,2,1,0,0,4,9,4,1,0,2,2,13,-11
2021-03-11,TOR,ATL,0,-1,29.97,15,4,2,0,3,4,7,15,0,0,2,1,3,11,-10
2021-03-13,TOR,CHO,1,-10,12.42,3,1,2,1,0,0,1,2,0,1,0,1,0,3,-23
2021-03-14,TOR,CHI,1,-23,17.87,8,2,3,2,0,0,2,6,1,0,2,0,1,6,-1
2021-03-17,TOR,DET,1,-4,26.32,8,4,3,0,1,2,2,5,1,0,1,0,3,9,9
2021-03-19,TOR,UTA,0,-3,6.78,1,1,0,0,0,0,0,1,0,0,0,0,0,2,-5
2021-03-21,TOR,CLE,1,-11,14.45,1,0,0,0,4,6,3,9,0,1,0,2,3,4,-13
