Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,Rebounds,Assists,Steals,Blocks,Turnovers,Fouls,Points
2020-12-31,NYK,TOR,1,-17,21.25,6,3,4,1,1,5,1,0,1,0,7
2021-01-02,NYK,IND,1,4,17.37,9,6,6,3,2,2,0,0,3,1,15
2021-01-04,NYK,ATL,1,5,33.4,6,3,3,2,2,1,1,0,1,4,8
2021-01-06,NYK,UTA,0,12,32.27,14,9,7,5,3,2,2,0,1,1,23
2021-01-08,NYK,OKC,0,-12,32.13,12,5,7,2,5,6,0,0,0,0,12
2021-01-10,NYK,DEN,0,-25,22.08,6,2,4,2,0,1,0,0,2,0,6
2021-01-11,NYK,CHO,1,-21,37.83,12,5,9,3,4,1,1,0,3,5,13
2021-01-13,NYK,BRK,0,-7,33.83,10,3,5,2,6,4,0,0,1,3,8
2021-01-15,NYK,CLE,1,-3,17.13,6,1,4,0,2,2,0,0,1,2,2
2021-01-17,NYK,BOS,1,30,16.32,3,0,1,0,1,2,0,0,1,2,0
2021-01-18,NYK,ORL,0,7,17.67,4,0,1,0,5,1,0,0,0,3,2
2021-01-24,NYK,POR,1,-3,28.52,3,1,3,1,2,3,2,0,2,1,3
2021-01-26,NYK,UTA,1,-14,27.45,14,10,7,5,3,1,0,0,1,4,25
2021-01-29,NYK,CLE,0,21,24.15,11,6,6,1,3,3,3,0,1,1,13
2021-01-31,NYK,LAC,0,-14,17.48,4,1,1,0,0,2,1,0,1,2,4
2021-02-01,NYK,CHI,1,-8,15.37,4,0,3,0,1,1,0,0,0,0,1
2021-02-03,NYK,CHI,1,4,17.8,4,1,2,1,3,1,1,0,2,0,5
2021-02-06,NYK,POR,0,11,8.05,2,0,1,0,2,1,0,0,0,1,0
2021-02-07,NYK,MIA,0,-6,17.03,5,2,3,0,2,3,0,0,0,1,6
2021-02-12,NYK,WAS,1,18,2.75,0,0,0,0,0,0,0,0,1,1,1
2021-02-13,NYK,HOU,0,22,2.22,0,0,0,0,0,0,0,0,0,0,0
2021-04-21,DEN,POR,1,1,13.3,2,1,1,1,3,0,0,0,0,0,5
2021-04-23,DEN,GSW,1,-21,22.98,7,3,3,0,4,2,0,1,1,2,6
2021-04-24,DEN,HOU,0,13,29.07,7,3,6,2,2,3,0,0,0,3,9
2021-04-26,DEN,MEM,0,24,28.87,8,3,4,0,1,3,1,1,1,3,6
2021-04-28,DEN,NOP,0,2,26.43,5,0,4,0,0,2,4,0,1,1,0
2021-04-29,DEN,TOR,0,10,26.7,9,4,7,2,1,2,2,0,0,3,11
2021-05-01,DEN,LAC,1,6,26.0,7,1,3,1,2,4,1,0,0,1,3
2021-05-03,DEN,LAL,1,-4,33.12,3,1,2,0,3,6,1,0,1,2,3
2021-05-05,DEN,NYK,0,16,28.4,13,7,9,6,3,3,3,0,1,2,25
2021-05-07,DEN,UTA,1,-7,26.67,10,6,7,5,2,3,1,0,3,3,18
2021-05-08,DEN,BRK,0,-6,35.37,9,5,6,2,5,1,2,0,1,2,12
2021-05-11,DEN,CHO,1,5,31.32,8,3,5,2,1,3,2,0,0,2,9
2021-05-13,DEN,MIN,1,11,30.67,10,4,9,4,4,1,0,0,3,5,12
2021-05-14,DEN,DET,1,13,23.4,7,3,5,2,2,3,0,0,2,2,8
2021-05-16,DEN,POR,1,-16,20.55,5,2,1,0,2,3,1,0,0,1,4
