Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,Rebounds,Assists,Steals,Blocks,Turnovers,Fouls,Points
2020-12-23,MIA,ORL,1,-6,34.68,16,11,0,0,11,4,0,1,7,4,25
2020-12-25,MIA,NOP,0,13,28.22,9,5,0,0,4,2,2,1,3,2,17
2020-12-29,MIA,MIL,0,-47,25.02,7,5,0,0,6,4,1,1,5,2,12
2020-12-30,MIA,MIL,0,11,35.45,13,7,0,0,8,10,1,2,2,1,22
2021-01-01,MIA,DAL,1,-10,36.48,12,8,0,0,11,2,4,0,3,3,19
2021-01-04,MIA,OKC,0,28,28.4,10,9,0,0,8,4,0,0,1,2,20
2021-01-06,MIA,BOS,0,-2,33.75,10,5,0,0,8,10,0,2,2,2,15
2021-01-09,MIA,WAS,1,4,21.43,4,2,0,0,16,4,0,1,4,5,9
2021-01-16,MIA,DET,0,-20,33.68,11,8,0,0,7,6,0,3,2,2,28
2021-01-18,MIA,DET,0,6,35.47,15,9,1,0,11,5,2,1,7,5,28
2021-01-20,MIA,TOR,1,9,33.58,14,6,0,0,13,7,0,0,2,1,14
2021-01-22,MIA,TOR,1,-20,34.05,13,6,0,0,8,4,0,0,4,2,14
2021-01-23,MIA,BRK,1,-4,37.87,20,14,1,1,5,9,1,0,1,5,41
2021-01-25,MIA,BRK,1,-13,35.32,19,10,1,1,10,5,0,1,3,1,26
2021-01-27,MIA,DEN,0,-27,33.52,13,6,1,0,7,6,0,0,3,0,15
2021-01-28,MIA,LAC,0,-4,34.65,16,6,1,0,13,7,1,0,1,1,16
2021-01-30,MIA,SAC,0,1,35.78,11,7,0,0,13,4,2,1,5,2,18
2021-02-01,MIA,CHO,0,-8,38.93,15,10,0,0,9,2,0,3,1,6,23
2021-02-03,MIA,WAS,0,-3,34.92,15,8,0,0,11,6,2,1,3,5,17
2021-02-05,MIA,WAS,0,27,27.68,10,5,0,0,4,3,1,2,0,2,21
2021-02-07,MIA,NYK,1,6,38.73,17,10,0,0,11,5,1,1,1,0,24
2021-02-09,MIA,NYK,0,2,35.45,9,3,0,0,6,2,2,2,3,0,19
2021-02-11,MIA,HOU,1,7,33.53,8,3,0,0,13,8,2,0,8,6,10
2021-02-13,MIA,UTA,1,-18,36.82,17,7,0,0,10,6,2,0,1,0,14
2021-02-15,MIA,LAC,1,-7,35.9,15,12,0,0,12,7,1,2,3,3,27
2021-02-17,MIA,GSW,1,-8,33.62,16,10,0,0,5,7,0,2,3,5,24
2021-02-18,MIA,SAC,1,8,35.53,13,6,0,0,12,10,0,0,4,2,16
2021-02-20,MIA,LAL,1,2,36.4,16,8,1,0,10,6,2,1,2,1,16
2021-02-22,MIA,OKC,1,14,37.08,10,7,0,0,13,5,0,1,4,3,19
2021-02-24,MIA,TOR,0,8,35.28,11,7,0,0,12,4,1,1,1,2,19
2021-02-26,MIA,UTA,0,8,34.22,14,7,0,0,11,7,1,1,3,3,19
2021-02-28,MIA,ATL,0,10,34.93,12,6,0,0,13,5,0,3,5,2,16
2021-03-02,MIA,ATL,0,-14,32.97,8,3,0,0,2,3,0,0,1,0,11
2021-03-16,MIA,CLE,0,15,29.72,14,6,0,0,9,6,0,2,2,2,14
2021-03-17,MIA,MEM,1,-4,35.23,11,5,0,0,12,6,1,0,3,4,15
2021-03-19,MIA,IND,0,-27,26.32,11,8,0,0,8,5,1,1,0,2,20
2021-03-21,MIA,IND,0,-3,36.33,21,11,1,0,10,2,2,3,4,1,29
2021-03-23,MIA,PHO,0,-10,32.4,9,4,0,0,8,6,0,1,1,1,16
2021-03-25,MIA,POR,0,-3,31.93,16,13,0,0,9,7,0,5,2,1,29
2021-03-26,MIA,CHO,1,-5,35.0,11,7,0,0,8,2,2,0,1,1,17
2021-03-29,MIA,NYK,1,10,37.48,17,9,0,0,17,4,1,2,1,0,20
2021-03-31,MIA,IND,1,5,34.88,10,4,0,0,8,7,1,2,2,2,16
2021-04-01,MIA,GSW,0,7,30.47,13,5,0,0,8,6,0,1,3,3,19
2021-04-03,MIA,CLE,0,14,30.52,12,9,1,0,11,5,1,1,1,0,18
2021-04-06,MIA,MEM,0,-12,33.33,14,9,0,0,10,10,3,0,0,2,18
2021-04-08,MIA,LAL,0,6,28.27,12,6,0,0,7,4,0,2,2,5,13
2021-04-11,MIA,POR,1,9,34.82,14,9,0,0,3,2,2,0,2,2,22
2021-04-13,MIA,PHO,1,-20,33.13,6,4,0,0,10,5,3,1,4,2,11
2021-04-14,MIA,DEN,1,-17,30.33,16,7,0,0,6,2,2,2,6,1,21
2021-04-16,MIA,MIN,1,-8,33.27,8,7,0,0,4,4,0,0,2,4,17
2021-04-18,MIA,BRK,0,2,32.65,16,9,0,0,15,5,2,0,7,3,21
2021-04-21,MIA,SAS,1,20,31.37,12,8,0,0,8,5,3,1,1,1,23
2021-04-23,MIA,ATL,1,-15,36.42,12,6,0,0,3,5,3,1,5,2,16
2021-04-24,MIA,CHI,0,5,35.07,13,7,0,0,6,10,2,0,1,2,20
2021-04-26,MIA,CHI,0,-8,36.88,14,9,0,0,6,2,2,2,1,1,23
2021-04-28,MIA,SAS,0,5,32.08,11,7,0,0,11,2,1,0,2,4,21
2021-05-01,MIA,CLE,1,17,33.0,13,6,0,0,10,6,4,0,0,2,13
2021-05-02,MIA,CHO,1,10,33.53,13,9,0,0,7,10,1,0,3,2,20
2021-05-04,MIA,DAL,0,-14,30.37,10,4,0,0,9,11,2,0,3,1,11
2021-05-07,MIA,MIN,0,9,32.77,10,6,0,0,4,4,2,2,2,4,15
2021-05-09,MIA,BOS,1,6,33.25,5,5,0,0,6,3,2,0,3,4,20
2021-05-11,MIA,BOS,1,8,34.57,15,10,0,0,7,5,1,2,4,4,22
2021-05-13,MIA,PHI,0,12,34.6,13,9,0,0,12,8,0,1,1,1,18
2021-05-15,MIA,MIL,1,-14,33.22,9,2,0,0,8,8,2,0,2,1,5
