Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,Rebounds,Assists,Steals,Blocks,Turnovers,Fouls,Points
2021-01-08,HOU,ORL,0,42,15.53,6,5,5,5,3,2,1,0,1,2,15
2021-01-10,HOU,LAL,0,-18,16.68,6,2,6,2,1,1,0,0,2,2,6
2021-01-12,HOU,LAL,0,-17,16.92,9,4,6,3,3,1,1,0,3,1,11
2021-01-14,HOU,SAS,1,4,21.12,6,1,5,1,3,4,0,0,2,1,3
2021-01-16,HOU,SAS,1,-12,38.02,14,7,7,4,3,1,2,0,1,3,21
2021-01-18,HOU,CHI,1,-5,28.02,6,2,2,1,3,1,0,0,1,1,5
2021-01-20,HOU,PHO,0,-6,12.52,4,1,4,1,2,0,0,0,1,1,4
2021-01-22,HOU,DET,1,1,17.15,10,4,6,2,7,3,1,1,2,1,10
2021-01-23,HOU,DAL,1,25,20.43,3,0,3,0,2,3,0,0,2,2,0
2021-01-26,HOU,WAS,0,19,2.37,0,0,0,0,0,0,1,0,0,0,0
2021-01-30,HOU,NOP,1,14,5.02,2,1,2,1,1,0,0,0,1,0,3
2021-02-01,HOU,OKC,1,30,17.12,8,2,5,1,3,1,0,0,1,4,8
2021-02-03,HOU,OKC,1,-17,11.88,1,0,1,0,1,0,0,0,1,0,2
2021-02-04,HOU,MEM,1,12,8.0,3,1,3,1,1,0,0,0,0,0,3
2021-02-08,HOU,CHO,1,-25,18.45,8,5,7,4,2,0,0,0,1,2,15
2021-02-09,HOU,NOP,1,-29,3.98,1,0,1,0,0,0,0,0,0,1,0
2021-02-11,HOU,MIA,0,-7,5.8,5,0,5,0,0,2,1,0,0,0,0
2021-02-13,HOU,NYK,1,-22,3.82,2,0,2,0,1,0,0,0,0,0,3
2021-02-15,HOU,WAS,1,-12,19.93,9,3,6,1,2,0,2,0,1,2,7
2021-02-17,HOU,PHI,1,-5,20.08,12,5,7,1,5,0,3,0,1,3,11
2021-02-22,HOU,CHI,0,-20,11.35,5,0,5,0,2,1,0,0,0,0,0
2021-02-28,HOU,MEM,0,-49,20.38,10,2,7,0,1,0,1,0,1,4,7
2021-03-01,HOU,CLE,0,-11,12.35,3,2,2,1,1,1,1,0,1,4,5
2021-03-03,HOU,BRK,0,-18,24.93,7,3,5,3,4,2,0,0,0,0,10
2021-03-11,HOU,SAC,1,-20,20.18,13,5,8,2,3,1,1,1,0,1,12
2021-03-12,HOU,UTA,1,-15,24.15,14,3,6,2,7,0,1,0,1,4,8
2021-03-14,HOU,BOS,0,-27,19.05,10,3,10,3,0,1,1,0,1,2,9
2021-03-22,HOU,TOR,0,18,11.88,7,2,6,1,1,0,1,1,0,1,7
2021-03-24,HOU,CHO,0,-25,23.48,10,4,10,4,0,0,0,0,1,1,14
2021-03-26,HOU,MIN,1,-6,35.78,15,7,14,7,3,3,1,0,2,4,21
2021-03-27,HOU,MIN,1,22,26.22,11,4,6,2,1,0,1,0,0,4,12
2021-04-02,HOU,BOS,1,-16,4.57,4,2,4,2,0,0,0,0,0,0,6
2021-04-08,LAL,MIA,1,-6,17.35,4,1,3,0,2,0,0,0,0,1,6
2021-04-10,LAL,BRK,1,25,22.65,12,6,10,5,1,0,1,0,1,4,17
2021-04-12,LAL,NYK,1,-15,14.07,8,2,7,2,0,1,0,0,0,3,8
2021-04-13,LAL,CHO,1,8,17.12,5,2,3,1,4,1,0,0,2,3,5
2021-04-15,LAL,BOS,0,-8,23.02,12,7,6,2,3,2,0,0,1,2,17
2021-04-17,LAL,UTA,0,12,10.48,3,1,3,1,2,0,0,2,1,2,3
2021-04-19,LAL,UTA,0,-14,16.82,2,0,2,0,1,0,0,0,0,0,6
2021-04-22,LAL,DAL,1,-5,9.9,3,1,3,1,1,0,0,0,1,3,3
2021-04-24,LAL,DAL,1,-15,29.28,12,7,10,6,2,0,0,1,0,5,20
2021-04-26,LAL,ORL,1,11,12.87,5,2,5,2,1,1,0,0,0,2,7
2021-04-28,LAL,WAS,1,-9,22.78,16,5,12,4,3,1,1,0,2,3,16
2021-04-30,LAL,SAC,0,-4,14.57,7,4,7,4,2,0,0,0,3,0,12
2021-05-02,LAL,TOR,0,-7,9.45,2,0,2,0,0,0,0,0,0,1,0
2021-05-03,LAL,DEN,0,4,16.98,7,1,5,1,1,0,0,0,0,0,3
2021-05-06,LAL,LAC,1,-24,24.6,9,3,9,3,3,2,1,2,1,1,9
2021-05-07,LAL,POR,1,-5,23.2,9,2,7,2,4,0,0,1,0,1,6
2021-05-09,LAL,PHO,0,13,22.15,8,4,7,4,1,0,0,0,1,1,12
2021-05-11,LAL,NYK,0,2,20.72,7,3,5,2,2,0,0,0,1,2,8
2021-05-12,LAL,HOU,0,2,25.57,6,3,4,1,1,2,0,0,0,2,7
2021-05-15,LAL,IND,1,7,12.5,4,1,4,1,0,1,0,0,0,1,3
2021-05-16,LAL,NOP,1,12,1.47,0,0,0,0,0,0,0,0,0,0,0
