Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,Rebounds,Assists,Steals,Blocks,Turnovers,Fouls,Points
2020-12-23,DET,MIN,1, -10,35:00,13,6,5,0,7,2,0,0,2,2,15
2020-12-26,DET,CLE,0, -9,44:20,21,9,16,8,6,4,3,0,3,1,26
2020-12-29,DET,GSW,0, -10,16:59,3,2,2,2,5,3,1,0,0,1,8
2021-01-03,DET,BOS,0, -2,29:23,14,4,10,3,3,4,1,0,0,0,13
2021-01-06,DET,MIL,1, -15,26:11,9,2,6,0,1,5,1,0,1,2,9
2021-01-08,DET,PHO,0, +5,40:16,13,5,5,1,12,5,1,0,2,0,16
2021-01-10,DET,UTA,0, -10,32:54,12,4,7,1,6,5,0,0,1,2,10
2021-01-13,DET,MIL,0, -9,32:08,9,4,6,3,7,6,1,0,4,3,12
2021-01-16,DET,MIA,1, +20,31:30,13,6,8,3,7,8,0,1,2,2,15
2021-01-18,DET,MIA,1, -6,35:32,8,2,6,1,5,1,0,0,2,3,5
2021-01-20,DET,ATL,1, -8,39:05,10,5,4,2,7,4,1,0,1,3,17
2021-01-22,DET,HOU,0, -1,28:41,8,2,4,2,10,3,0,0,3,2,7
2021-01-25,DET,PHI,0, +15,24:47,8,2,4,1,4,2,1,1,3,4,7
2021-01-28,DET,LAL,0, +15,35:21,16,8,10,5,3,6,0,0,0,3,23
2021-01-30,DET,GSW,1, -27,21:26,8,1,3,1,3,2,0,0,2,2,5
2021-02-02,DET,UTA,1, -12,29:24,13,4,6,1,3,2,1,0,3,0,11
2021-02-05,DET,PHO,1, -17,23:49,9,2,5,0,3,1,0,0,0,3,9
2021-02-09,DET,BRK,0, +11,31:11,11,4,5,1,5,2,3,0,1,3,9
2021-02-11,DET,IND,0, -16,33:17,13,5,6,1,3,6,0,0,1,2,16
2021-02-12,DET,BOS,1, +6,35:08,11,4,6,3,4,6,0,0,1,4,12
2021-03-21,BRK,WAS,0, +7,14:57,2,1,0,0,2,0,0,1,0,2,2
2021-03-23,BRK,POR,1, +4,19:24,4,3,2,1,5,0,2,0,1,1,8
2021-03-26,BRK,DET,1, +2,20:11,8,5,2,2,3,2,1,0,1,5,17
2021-03-29,BRK,MIN,0, +5,18:36,4,2,2,0,6,5,0,0,1,4,5
2021-03-31,BRK,HOU,0, +12,21:41,5,4,3,2,6,4,2,1,1,1,11
2021-04-04,BRK,CHI,1, -8,22:11,9,4,4,1,8,2,0,0,2,1,10
2021-04-07,BRK,NOP,0, +28,13:08,6,4,4,2,2,2,0,1,1,1,10
2021-04-10,BRK,LAL,0, -25,16:42,3,0,0,0,0,2,0,1,2,3,2
2021-04-13,BRK,MIN,1, +30,24:07,6,0,4,0,4,2,1,0,2,2,4
2021-04-16,BRK,CHO,0, +15,20:44,5,3,1,1,5,3,2,1,2,2,10
2021-04-18,BRK,MIA,1, -2,26:02,7,2,4,2,6,4,1,0,1,2,7
2021-04-20,BRK,NOP,1, +5,27:45,13,6,5,1,8,3,0,1,1,6,16
2021-04-21,BRK,TOR,1, -11,19:28,6,3,2,0,4,2,0,1,2,1,9
2021-04-23,BRK,BOS,0, +5,23:04,11,5,5,1,5,3,2,0,1,3,13
2021-04-25,BRK,PHO,0, +9,26:39,9,6,3,2,5,4,1,1,1,5,16
2021-04-27,BRK,TOR,1, +13,22:04,11,6,4,2,6,1,2,1,2,3,17
2021-04-29,BRK,IND,1, +17,13:35,5,2,1,0,5,0,0,1,3,2,5
2021-04-30,BRK,POR,0, -19,23:54,12,4,7,2,8,4,0,1,0,3,11
2021-05-02,BRK,MIL,1, -3,18:15,8,4,4,2,7,1,0,0,0,5,11
2021-05-04,BRK,MIL,1, -6,27:42,5,3,3,1,2,2,0,1,2,5,9
2021-05-06,BRK,DAL,1, -4,27:08,10,4,4,2,10,3,1,0,2,1,10
2021-05-08,BRK,DEN,1, +6,27:04,10,8,6,4,2,3,2,0,0,5,20
2021-05-11,BRK,CHI,1, +8,24:12,8,5,4,2,4,4,0,0,0,3,13
2021-05-12,BRK,SAS,0, +12,20:08,8,5,3,1,3,4,0,0,0,0,13
2021-05-15,BRK,CHI,0, +14,19:42,6,0,2,0,4,1,1,0,0,1,2
2021-05-16,BRK,CLE,0, +14,21:52,8,4,2,0,1,2,0,1,2,2,9
