Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2020-12-23,MIL,BOS,1,-1,16.37,3,1,0,0,1,2,1,4,1,0,0,1,0,3,-16
2020-12-25,MIL,GSW,0,39,25.88,9,5,3,0,0,0,1,12,2,1,1,1,1,10,20
2020-12-27,MIL,NYK,1,-20,26.12,12,7,2,1,2,2,5,7,2,1,1,1,5,17,6
2020-12-29,MIL,MIA,1,47,26.33,10,4,3,1,2,2,3,9,1,1,0,2,4,11,27
2020-12-30,MIL,MIA,1,-11,17.95,8,4,2,1,2,2,1,2,0,1,1,0,1,11,-11
2021-01-01,MIL,CHI,0,30,25.2,6,4,2,2,3,4,2,12,1,0,2,2,2,13,9
2021-01-04,MIL,DET,0,10,22.58,8,5,1,0,0,0,3,8,1,0,0,0,0,10,5
2021-01-06,MIL,DET,0,15,27.92,11,7,5,2,0,0,1,10,4,2,0,1,3,16,-1
2021-01-08,MIL,UTA,0,-13,19.75,5,1,0,0,0,0,3,8,0,0,0,1,1,2,-10
2021-01-09,MIL,CLE,0,10,33.45,11,7,2,1,2,3,3,11,3,4,0,5,2,17,6
2021-01-11,MIL,ORL,1,22,24.63,13,9,3,2,0,0,2,5,0,0,1,1,3,20,14
2021-01-13,MIL,DET,1,9,22.87,9,5,4,1,0,0,0,5,0,2,0,0,4,11,-11
2021-01-15,MIL,DAL,0,3,17.35,8,3,1,1,1,3,5,13,0,0,0,0,1,8,-6
2021-01-18,MIL,BRK,1,-2,14.42,4,2,0,0,0,0,2,7,0,1,0,0,2,4,10
2021-01-21,MIL,LAL,0,-7,16.35,6,2,1,0,0,0,1,8,2,0,1,0,1,4,2
2021-01-24,MIL,ATL,0,14,26.63,16,9,2,1,2,2,2,6,1,0,0,0,2,21,-1
2021-01-27,MIL,TOR,1,7,17.43,7,3,4,2,0,0,0,4,0,1,0,1,0,8,-2
2021-01-29,MIL,NOP,1,-5,12.78,4,2,0,0,1,2,3,4,1,0,0,1,1,5,-7
