Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2020-12-23,ATL,CHI,1,20,24.93,12,5,8,3,2,3,0,7,2,1,0,2,2,15,0
2020-12-26,ATL,MEM,1,10,32.22,10,2,9,1,2,2,1,9,2,1,0,1,0,7,0
2020-12-28,ATL,DET,0,8,30.45,10,6,7,5,0,0,0,5,5,0,1,2,2,17,9
2020-12-30,ATL,BRK,1,-4,28.72,14,7,11,6,2,2,0,4,1,1,0,0,2,22,-6
2021-01-01,ATL,BRK,1,18,25.52,6,2,3,1,2,2,1,2,1,0,0,2,2,7,9
2021-01-02,ATL,CLE,0,-5,23.18,12,4,9,3,0,0,0,2,2,1,0,1,0,11,-8
2021-01-04,ATL,NYK,0,-5,18.75,3,1,3,1,0,0,0,2,3,0,0,1,4,3,-13
2021-01-06,ATL,CHO,0,-8,18.3,5,1,3,0,0,0,0,2,3,0,0,0,4,2,-9
2021-01-09,ATL,CHO,1,-8,10.83,6,2,5,1,0,0,0,1,0,0,0,2,2,5,-1
2021-03-02,ATL,MIA,1,14,15.92,5,2,4,1,0,0,0,2,4,0,0,1,1,5,9
2021-03-03,ATL,ORL,1,3,20.3,8,3,5,1,2,2,0,2,1,0,1,1,2,9,-4
2021-03-11,ATL,TOR,1,1,16.57,6,0,5,0,0,0,0,3,4,1,0,1,2,0,-4
2021-03-13,ATL,SAC,0,15,21.57,12,2,5,0,2,2,2,4,1,1,0,0,0,6,13
2021-03-14,ATL,CLE,0,18,25.38,9,5,4,2,0,0,1,4,2,0,0,2,3,12,7
2021-03-16,ATL,HOU,1,12,20.2,8,3,4,1,0,0,0,2,2,0,0,1,3,7,11
2021-03-18,ATL,OKC,0,23,29.28,14,9,9,5,0,0,1,6,3,0,0,0,3,23,6
2021-03-20,ATL,LAL,1,5,29.75,10,4,6,2,0,0,0,0,3,1,1,1,3,10,-11
2021-03-22,ATL,LAC,1,-9,21.5,12,5,7,2,0,0,1,3,2,1,0,0,1,12,-1
2021-03-24,ATL,SAC,1,-2,31.55,11,7,6,4,2,2,0,4,1,2,1,1,2,20,3
2021-03-26,ATL,GSW,1,16,21.32,9,5,5,1,0,0,1,1,5,1,0,1,3,11,0
2021-03-28,ATL,DEN,1,-24,22.83,9,4,3,1,0,0,1,1,1,1,0,0,1,9,-13
2021-03-30,ATL,PHO,1,-7,37.18,18,8,8,4,2,2,2,4,6,4,0,1,3,22,7
2021-04-01,ATL,SAS,1,5,45.27,17,12,5,4,0,0,0,5,5,1,2,0,5,28,7
2021-04-02,ATL,NOP,1,23,32.67,17,9,11,6,2,2,0,7,7,1,1,2,4,26,18
2021-04-04,ATL,GSW,0,6,33.1,10,3,6,3,1,2,0,3,5,2,0,2,2,10,-3
2021-04-06,ATL,NOP,0,16,29.8,11,8,8,5,0,0,0,4,4,0,0,2,2,21,29
2021-04-07,ATL,MEM,0,-18,36.3,20,9,8,4,2,2,3,6,3,2,0,2,3,24,-16
2021-04-09,ATL,CHI,0,12,34.22,10,5,4,0,0,0,0,4,2,0,1,2,2,10,17
2021-04-11,ATL,CHO,1,4,40.53,22,9,16,8,6,7,2,3,3,2,0,0,0,32,11
2021-04-13,ATL,TOR,1,5,39.63,18,9,8,5,0,0,1,6,4,1,0,3,1,23,4
2021-04-15,ATL,MIL,0,-11,38.17,20,10,12,6,2,2,0,6,7,1,0,0,2,28,-1
2021-04-18,ATL,IND,0,12,37.32,18,9,11,5,0,0,0,3,3,2,1,0,2,23,10
2021-04-20,ATL,ORL,0,16,31.45,16,6,7,2,0,0,0,4,2,0,0,2,3,14,8
2021-04-21,ATL,NYK,1,-10,42.15,19,8,10,4,0,0,0,6,4,3,0,4,3,20,-13
2021-04-23,ATL,MIA,0,15,33.05,13,7,9,5,2,2,0,3,8,1,0,1,4,21,1
2021-04-25,ATL,MIL,0,7,36.7,21,12,11,6,2,3,0,1,3,3,0,2,2,32,7
2021-04-26,ATL,DET,1,-14,35.88,19,7,10,3,0,0,0,7,5,1,0,5,2,17,-22
2021-05-01,ATL,CHI,0,11,35.75,15,6,9,3,0,0,1,6,5,1,1,1,3,15,17
2021-05-03,ATL,POR,0,9,32.12,17,9,14,7,0,0,0,3,3,2,0,0,2,25,-4
2021-05-05,ATL,PHO,0,32,23.92,11,6,6,4,0,0,0,1,6,2,2,2,1,16,-5
2021-05-06,ATL,IND,1,-7,38.95,18,11,10,6,0,0,1,2,2,1,0,1,3,28,1
2021-05-10,ATL,WAS,0,1,35.68,17,8,12,7,2,2,1,5,4,2,0,0,3,25,5
2021-05-12,ATL,WAS,0,4,40.13,15,8,10,4,0,0,0,2,3,3,1,1,4,20,12
2021-05-13,ATL,ORL,0,23,26.37,12,9,7,4,5,5,0,3,5,2,0,1,1,27,23
