Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2020-12-23,WAS,PHI,1,-6,35.73,22,11,8,3,6,7,0,2,3,4,0,6,3,31,6
2020-12-26,WAS,ORL,0,-10,37.23,24,14,5,2,9,13,2,7,5,2,0,4,2,39,-9
2020-12-27,WAS,ORL,0,-7,39.1,29,10,7,0,9,9,0,5,7,0,1,1,1,29,-1
2020-12-29,WAS,CHI,0,-8,36.53,20,9,5,1,10,10,2,4,3,2,1,5,4,29,-12
2020-12-31,WAS,CHI,0,-3,34.88,19,8,3,0,12,13,1,4,3,1,1,3,4,28,3
2021-01-01,WAS,MIN,1,21,27.97,20,12,5,3,4,5,0,3,7,1,0,2,1,31,23
2021-01-03,WAS,BRK,1,1,36.47,25,9,5,2,7,9,4,10,5,1,2,2,1,27,-2
2021-01-06,WAS,PHI,1,-5,38.25,35,20,10,7,13,15,4,7,5,1,0,4,3,60,-9
2021-01-08,WAS,BOS,1,-9,38.18,29,16,9,4,5,5,0,3,3,0,1,5,3,41,-7
2021-01-11,WAS,PHO,0,21,35.05,22,12,7,2,8,9,2,8,9,2,1,1,3,34,19
2021-01-24,WAS,SAS,1,-20,32.47,29,13,10,3,2,3,1,7,4,0,0,4,2,31,-2
2021-01-26,WAS,HOU,1,-19,35.45,28,12,5,1,8,8,1,5,4,0,1,5,1,33,-4
2021-01-27,WAS,NOP,1,-18,40.08,37,17,14,6,7,7,2,4,6,4,0,3,3,47,-17
2021-01-29,WAS,ATL,0,-16,31.78,26,10,8,0,6,7,1,2,3,2,1,1,4,26,-17
2021-01-31,WAS,BRK,0,3,37.6,23,13,5,2,9,9,1,6,4,0,0,2,3,37,-12
2021-02-02,WAS,POR,0,-11,37.92,24,14,12,6,3,5,1,2,4,0,1,4,2,37,-12
2021-02-03,WAS,MIA,1,3,38.08,23,11,11,4,6,8,4,8,4,1,1,5,4,32,-4
2021-02-05,WAS,MIA,1,-27,27.4,14,1,7,1,4,4,1,3,3,3,0,1,3,7,-25
2021-02-07,WAS,CHO,1,-22,28.3,22,11,9,3,6,6,1,6,0,0,0,1,2,31,-27
2021-02-08,WAS,CHI,1,4,34.95,24,10,5,1,14,15,3,5,7,1,1,2,4,35,-5
2021-02-10,WAS,TOR,0,-22,37.48,20,8,6,1,7,7,1,4,5,2,0,2,2,24,-20
2021-02-14,WAS,BOS,0,13,33.15,18,10,9,4,11,11,0,7,5,2,0,6,2,35,22
2021-02-15,WAS,HOU,0,12,35.68,24,14,8,3,6,8,0,8,3,3,0,3,2,37,15
2021-02-17,WAS,DEN,0,2,36.5,20,8,5,1,8,8,1,4,10,0,0,3,1,25,-1
2021-02-20,WAS,POR,1,7,35.2,27,16,8,2,3,4,3,7,3,2,0,5,5,37,8
2021-02-22,WAS,LAL,1,3,44.23,24,12,5,2,7,9,0,7,6,3,0,5,2,33,7
2021-02-23,WAS,LAC,1,-19,39.3,24,12,5,1,3,3,2,4,10,0,0,3,1,28,-5
2021-02-25,WAS,DEN,1,2,36.47,19,10,5,2,11,11,0,4,4,1,0,2,5,33,2
2021-02-27,WAS,MIN,0,16,30.45,23,12,6,2,8,8,2,8,6,1,0,3,1,34,6
2021-02-28,WAS,BOS,1,-1,39.38,29,16,6,3,11,12,2,7,2,2,1,5,1,46,2
2021-03-02,WAS,MEM,0,-14,35.5,18,8,4,1,6,6,0,6,5,1,0,6,2,23,-25
2021-03-04,WAS,LAC,0,2,36.7,23,9,4,1,14,15,1,7,3,2,1,1,5,33,4
2021-03-10,WAS,MEM,1,-15,34.15,22,6,8,1,8,8,0,3,5,3,1,0,1,21,-12
2021-03-12,WAS,PHI,0,-26,28.87,13,8,2,1,2,4,0,2,1,0,0,3,0,19,-16
2021-03-15,WAS,MIL,0,-11,41.75,19,13,7,4,7,7,0,6,5,1,0,3,4,37,-4
