Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2020-12-23,MEM,SAS,0,-12,25.85,9,5,2,0,0,1,0,3,0,0,1,1,1,10,-8
2020-12-26,MEM,ATL,0,-10,20.1,8,2,1,0,0,0,1,3,1,0,0,0,4,4,-15
2020-12-28,MEM,BRK,1,5,28.97,11,6,1,1,3,7,4,7,2,1,0,0,0,16,0
2020-12-30,MEM,BOS,1,-19,25.85,13,4,2,0,2,6,1,7,1,1,1,1,1,10,-7
2021-01-01,MEM,CHO,1,15,31.58,11,6,4,1,2,2,1,4,3,0,2,2,3,15,12
2021-01-03,MEM,LAL,0,-14,28.52,10,4,2,0,0,0,3,7,0,0,1,1,0,8,-15
2021-01-05,MEM,LAL,0,-2,28.53,11,5,2,1,1,2,1,3,1,3,1,0,2,12,-10
2021-01-07,MEM,CLE,0,-4,30.18,11,7,0,0,0,0,0,8,2,0,1,1,2,14,-1
2021-01-08,MEM,BRK,0,5,32.98,22,9,7,3,0,1,3,8,5,1,2,1,2,21,-9
2021-01-11,MEM,CLE,1,10,29.8,13,7,2,0,1,2,1,4,1,1,0,2,2,15,3
2021-01-13,MEM,MIN,1,11,33.82,15,9,1,0,1,2,3,9,3,3,0,0,1,19,-1
2021-01-16,MEM,PHI,0,2,29.87,15,4,2,0,3,3,7,12,2,2,0,0,3,11,-12
2021-01-18,MEM,PHO,0,4,34.78,13,8,1,1,0,0,2,5,3,2,0,1,1,17,-6
2021-01-30,MEM,SAS,1,17,26.28,11,6,4,2,0,0,0,5,0,1,1,0,1,14,17
2021-02-01,MEM,SAS,1,31,22.08,10,7,1,0,4,4,1,6,2,1,2,0,1,18,8
2021-02-02,MEM,IND,1,-18,25.4,7,4,1,0,1,1,1,3,2,2,0,0,2,9,-22
2021-02-04,MEM,HOU,0,-12,26.93,13,6,1,0,1,1,1,5,0,3,1,1,0,13,-24
2021-02-14,MEM,SAC,1,14,21.5,5,4,0,0,5,5,0,4,4,0,0,0,1,13,10
2021-02-16,MEM,NOP,0,-31,15.87,6,3,0,0,2,2,2,2,2,1,0,1,5,8,-16
2021-02-17,MEM,OKC,0,9,24.52,8,5,2,2,0,2,0,6,2,2,2,2,1,12,-9
2021-02-19,MEM,DET,0,14,33.87,9,5,2,1,1,1,1,7,2,0,1,0,1,12,27
2021-02-22,MEM,DAL,1,-10,26.32,6,3,2,1,4,4,2,4,0,1,0,0,3,11,-11
2021-02-25,MEM,LAC,0,28,22.18,6,4,0,0,1,1,1,8,1,1,0,0,0,9,20
2021-02-26,MEM,LAC,0,-20,16.05,5,1,2,1,0,0,0,0,0,0,1,0,1,3,-19
2021-02-28,MEM,HOU,1,49,20.57,9,7,2,0,2,4,1,12,1,1,0,0,1,16,28
2021-03-02,MEM,WAS,1,14,34.17,9,6,1,1,1,2,3,5,2,4,0,1,2,14,28
2021-03-04,MEM,MIL,0,-1,29.42,6,3,1,0,0,0,4,8,1,2,0,1,2,6,5
2021-03-10,MEM,WAS,0,15,25.2,4,3,0,0,0,0,2,10,1,0,1,0,1,6,12
2021-03-12,MEM,DEN,0,-1,29.92,14,8,5,2,2,2,0,4,1,1,3,1,1,20,8
2021-03-14,MEM,OKC,1,-6,25.23,6,3,0,0,4,6,3,6,2,1,2,0,2,10,-1
2021-03-15,MEM,PHO,1,-23,19.43,3,1,0,0,2,4,0,2,1,1,0,0,1,4,-11
2021-03-17,MEM,MIA,0,4,24.37,5,1,2,0,4,5,1,3,3,1,3,0,2,6,12
