Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,Rebounds,Assists,Steals,Blocks,Turnovers,Fouls,Points
2020-12-23,NOP,TOR,1, +14,37:20,19,10,6,3,9,11,3,1,3,2,24
2020-12-25,NOP,MIA,1, -13,37:03,17,7,8,4,2,3,0,0,4,0,28
2020-12-27,NOP,SAS,0, +3,35:15,23,9,5,2,11,6,0,1,3,1,28
2020-12-29,NOP,PHO,1, -25,28:14,11,6,5,1,6,6,1,0,4,0,13
2020-12-31,NOP,OKC,1, +33,26:01,16,8,6,2,7,2,0,1,0,2,20
2021-01-02,NOP,TOR,0, +4,35:20,17,8,8,4,6,4,0,1,3,2,31
2021-01-04,NOP,IND,0, -2,39:59,31,12,6,1,4,8,1,2,1,0,31
2021-01-06,NOP,OKC,0, -1,35:52,15,9,2,0,11,4,0,0,2,0,24
2021-01-08,NOP,CHO,0, -8,36:28,11,3,10,3,8,8,1,1,4,0,17
2021-01-13,NOP,LAC,1, -5,38:21,19,8,2,0,6,3,0,2,4,4,22
2021-01-15,NOP,LAL,1, -17,34:49,15,9,4,2,3,5,2,1,4,2,20
2021-01-17,NOP,SAC,1, +5,35:25,19,8,7,3,3,1,1,1,5,3,22
2021-01-19,NOP,UTA,1, -16,35:19,18,8,1,0,3,4,0,2,1,2,17
2021-01-21,NOP,UTA,1, -11,33:05,14,8,6,4,1,2,1,0,1,1,23
2021-01-23,NOP,MIN,1, -10,36:39,20,11,7,2,4,2,0,1,7,5,30
2021-01-27,NOP,WAS,0, +18,36:03,19,12,12,7,6,8,0,0,4,2,32
2021-01-29,NOP,MIL,0, +5,35:21,15,7,8,3,0,4,1,1,1,1,28
2021-01-30,NOP,HOU,0, -14,31:40,15,5,7,2,5,4,1,2,0,0,15
2021-02-01,NOP,SAC,0, -9,35:36,20,6,7,1,5,2,1,1,1,3,20
2021-02-03,NOP,PHO,0, +22,32:58,17,7,5,2,4,6,0,2,0,2,23
2021-02-05,NOP,IND,1, +1,38:32,21,12,6,3,6,7,0,0,2,1,30
2021-02-06,NOP,MEM,0, +9,34:59,20,11,8,5,12,3,0,4,0,1,27
2021-02-09,NOP,HOU,0, +29,28:09,13,9,5,3,5,3,0,1,2,5,22
2021-02-10,NOP,CHI,1, -13,38:02,19,6,9,2,5,4,1,0,3,1,21
2021-02-12,NOP,DAL,1, -13,34:52,23,11,9,4,5,5,1,0,2,2,30
2021-02-14,NOP,DET,1, -11,38:20,19,7,10,3,4,7,1,0,0,2,26
2021-02-16,NOP,MEM,1, +31,31:27,13,8,4,4,4,7,2,1,6,2,22
2021-02-17,NOP,POR,0, -2,32:26,12,4,2,0,5,6,0,0,2,4,14
2021-02-19,NOP,PHO,0, -18,33:12,20,10,6,1,2,3,2,0,1,1,25
2021-02-21,NOP,BOS,0, +5,42:32,22,11,12,5,6,3,0,0,2,3,33
2021-02-24,NOP,DET,0, +10,36:46,18,9,6,3,7,8,1,0,1,1,27
2021-02-25,NOP,MIL,1, -4,36:37,25,11,10,1,4,2,1,0,1,3,23
2021-02-27,NOP,SAS,1, -3,36:18,23,11,7,2,4,5,0,0,1,4,29
2021-03-01,NOP,UTA,0, +5,38:14,20,11,0,0,4,5,0,1,4,2,26
2021-03-03,NOP,CHI,0, -4,24:53,17,8,3,1,3,2,1,0,2,4,21
2021-03-04,NOP,MIA,0, -10,32:25,12,6,5,2,5,9,2,1,3,3,17
2021-03-11,NOP,MIN,0, -30,28:13,14,5,6,1,3,4,0,1,4,3,13
2021-03-12,NOP,CLE,0, +34,25:08,14,11,6,3,7,4,0,1,0,1,28
2021-03-14,NOP,LAC,0, +20,26:01,12,7,6,3,4,5,0,0,3,2,23
2021-03-16,NOP,POR,1, -1,36:27,22,10,9,3,6,2,1,0,5,2,30
2021-03-18,NOP,POR,1, -8,34:58,21,7,9,3,4,4,0,0,3,3,19
2021-03-21,NOP,DEN,1, +5,35:52,23,11,7,2,6,8,2,1,4,2,30
