Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,Rebounds,Assists,Steals,Blocks,Turnovers,Fouls,Points
2020-12-23,ATL,CHI,1, +20,18:08,3,2,0,0,7,1,2,0,3,3,5
2020-12-26,ATL,MEM,1, +10,17:12,1,0,0,0,10,3,0,0,2,1,0
2020-12-28,ATL,DET,0, +8,10:38,2,2,0,0,5,0,0,1,1,0,5
2020-12-30,ATL,BRK,1, -4,6:26,0,0,0,0,4,0,0,0,1,0,0
2021-01-01,ATL,BRK,1, +18,2:10,0,0,0,0,1,0,0,0,0,1,0
2021-01-02,ATL,CLE,0, -5,10:26,3,0,1,0,4,0,0,0,0,1,0
2021-01-11,ATL,PHI,0, +18,20:43,4,1,1,0,5,2,0,0,2,3,2
2021-01-15,ATL,UTA,1, -24,3:41,1,1,0,0,1,0,0,0,1,0,2
2021-01-22,ATL,MIN,1, +18,2:52,1,0,0,0,0,1,0,0,1,0,0
2021-01-29,ATL,WAS,1, +16,0:57,0,0,0,0,0,0,0,0,0,0,0
2021-02-01,ATL,LAL,0, -8,11:42,1,0,0,0,4,0,0,0,1,3,3
2021-02-04,ATL,UTA,0, -21,3:45,2,1,0,0,3,0,0,0,0,0,4
2021-02-12,ATL,SAS,0, -11,14:05,3,2,0,0,6,1,0,1,0,2,6
2021-02-13,ATL,IND,0, -12,5:48,0,0,0,0,1,1,0,0,0,0,0
2021-02-17,ATL,BOS,1, +8,3:30,1,0,0,0,1,0,0,0,0,1,0
2021-02-19,ATL,BOS,1, -12,10:34,1,1,0,0,4,0,0,0,0,1,2
2021-02-24,ATL,BOS,0, +15,3:52,0,0,0,0,0,0,0,0,1,0,0
2021-03-03,ATL,ORL,1, +3,4:31,2,1,0,0,4,0,0,0,2,1,2
2021-03-13,ATL,SAC,0, +15,1:10,0,0,0,0,0,0,0,0,0,0,0
2021-03-14,ATL,CLE,0, +18,7:49,0,0,0,0,1,0,0,0,0,1,0
2021-03-18,ATL,OKC,0, +23,2:37,2,0,0,0,2,0,0,1,0,0,0
2021-03-26,ATL,GSW,1, +16,1:39,0,0,0,0,0,0,0,0,0,0,0
2021-03-28,ATL,DEN,1, -24,4:25,1,1,0,0,1,0,0,0,0,0,3
2021-04-02,ATL,NOP,1, +23,2:26,0,0,0,0,0,0,0,0,2,1,0
2021-04-06,ATL,NOP,0, +16,2:41,0,0,0,0,0,0,0,0,1,1,0
2021-04-07,ATL,MEM,0, -18,4:04,0,0,0,0,0,0,0,0,0,0,2
2021-04-20,ATL,ORL,0, +16,1:50,0,0,0,0,0,0,0,0,0,0,0
2021-04-26,ATL,DET,1, -14,3:17,0,0,0,0,0,0,0,0,1,0,0
2021-04-28,ATL,PHI,1, -44,8:15,3,0,0,0,3,0,0,0,1,0,0
2021-04-30,ATL,PHI,1, -22,6:23,2,1,0,0,1,0,0,0,0,0,3
2021-05-05,ATL,PHO,0, +32,3:31,1,1,0,0,0,0,0,0,1,1,2
2021-05-13,ATL,ORL,0, +23,3:35,0,0,0,0,1,0,0,0,0,1,0
2021-05-16,ATL,HOU,0, +29,21:14,10,4,0,0,9,1,2,0,0,1,10
