Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,Rebounds,Assists,Steals,Blocks,Turnovers,Fouls,Points
2020-12-26,CHO,OKC,0, -2,15:23,8,4,2,1,1,0,2,0,1,1,10
2020-12-27,CHO,BRK,0, +2,4:45,1,0,1,0,0,0,1,0,0,1,0
2020-12-30,CHO,DAL,1, +19,14:21,3,2,0,0,4,4,1,0,0,1,4
2021-01-01,CHO,MEM,0, -15,22:45,9,6,4,2,2,2,1,0,1,0,14
2021-01-02,CHO,PHI,1, -15,19:06,7,3,3,1,5,2,1,0,0,1,9
2021-01-04,CHO,PHI,1, -17,17:24,4,2,2,0,3,2,0,1,3,0,7
2021-01-06,CHO,ATL,1, +8,14:49,4,1,2,0,1,0,0,0,1,1,2
2021-01-08,CHO,NOP,1, +8,11:22,4,2,1,0,3,0,1,0,0,1,4
2021-01-09,CHO,ATL,0, +8,17:17,9,6,4,3,2,2,1,0,0,0,15
2021-01-11,CHO,NYK,0, +21,14:49,3,2,2,1,0,2,0,0,0,0,5
2021-01-13,CHO,DAL,0, -11,14:51,9,3,5,0,5,1,1,2,1,1,6
2021-01-14,CHO,TOR,1, -3,24:14,7,1,3,0,6,4,3,0,3,2,5
2021-01-16,CHO,TOR,1, -3,5:29,2,0,0,0,0,0,0,1,0,0,1
2021-01-22,CHO,CHI,0, -13,19:15,7,3,1,0,6,0,2,0,2,3,6
2021-01-24,CHO,ORL,1, +3,5:08,1,1,0,0,0,0,0,0,0,0,2
2021-01-25,CHO,ORL,1, -9,14:01,3,0,3,0,4,3,0,0,0,1,0
2021-01-30,CHO,MIL,0, +12,6:34,4,2,3,2,0,1,0,0,0,1,6
2021-02-01,CHO,MIA,1, +8,19:54,4,1,3,1,2,4,0,0,0,2,4
2021-02-03,CHO,PHI,0, -7,17:33,5,3,3,2,2,1,1,1,1,3,9
2021-02-05,CHO,UTA,0, -17,26:23,7,3,2,1,7,0,0,1,1,2,7
2021-02-07,CHO,WAS,0, +22,12:43,9,2,1,0,6,0,0,0,1,1,4
2021-02-08,CHO,HOU,0, +25,26:35,8,3,4,1,3,1,2,1,1,2,7
2021-02-10,CHO,MEM,1, -16,17:51,1,0,1,0,2,0,3,0,0,1,2
2021-02-28,CHO,SAC,1, +1,3:41,2,0,1,0,0,1,0,0,0,0,0
2021-03-01,CHO,POR,1, -12,22:59,8,4,5,3,5,0,1,0,1,1,11
2021-03-03,CHO,MIN,1, +33,5:59,4,1,1,1,4,0,0,0,0,0,3
2021-03-13,CHO,TOR,0, +10,6:53,2,1,1,0,0,0,0,0,1,2,2
2021-03-17,CHO,DEN,1, -25,10:48,6,2,4,1,2,1,3,0,1,3,8
2021-03-20,CHO,LAC,1, -27,7:52,2,0,1,0,0,0,0,0,0,0,1
2021-03-24,CHO,HOU,1, +25,6:28,1,0,0,0,0,0,1,0,1,0,4
2021-03-28,CHO,PHO,0, -4,3:11,1,0,0,0,0,0,1,0,1,0,0
2021-03-30,CHO,WAS,1, +10,15:45,6,3,4,1,0,2,0,0,0,1,7
2021-04-01,CHO,BRK,1, -22,11:44,3,0,1,0,3,1,1,0,0,0,0
2021-04-02,CHO,IND,1, +17,1:41,0,0,0,0,1,0,0,0,0,0,0
2021-04-04,CHO,BOS,1, -30,18:34,5,1,2,0,6,1,0,0,1,2,2
2021-04-07,CHO,OKC,1, +11,6:42,3,1,1,0,3,2,0,1,1,1,2
2021-04-09,CHO,MIL,1, +8,14:11,7,1,5,0,4,5,0,0,3,2,2
2021-04-11,CHO,ATL,0, -4,18:39,3,1,2,0,3,2,0,0,0,1,4
2021-04-13,CHO,LAL,0, -8,35:07,14,7,7,3,10,5,1,0,1,2,17
2021-04-14,CHO,CLE,0, -13,23:17,5,0,4,0,5,1,0,0,1,2,0
2021-04-16,CHO,BRK,1, -15,30:20,10,3,5,1,5,1,1,0,0,2,10
2021-04-18,CHO,POR,0, +8,21:34,6,3,4,1,5,1,0,0,0,3,8
2021-04-20,CHO,NYK,1, -12,23:08,5,2,1,0,1,1,2,1,0,1,5
2021-04-22,CHO,CHI,1, -17,25:19,7,3,4,0,3,1,1,0,1,2,7
2021-04-25,CHO,BOS,0, +21,1:46,0,0,0,0,1,0,0,0,0,0,0
2021-04-28,CHO,BOS,1, -9,6:42,0,0,0,0,1,1,0,0,0,2,3
2021-05-02,CHO,MIA,0, -10,4:53,0,0,0,0,1,2,0,0,0,1,0
2021-05-04,CHO,DET,1, +3,33:56,14,6,8,2,5,2,2,1,1,2,17
2021-05-06,CHO,CHI,0, -21,26:19,6,2,3,1,3,1,2,0,2,1,7
2021-05-07,CHO,ORL,0, +10,22:00,3,0,2,0,4,5,1,0,0,2,3
2021-05-09,CHO,NOP,0, -2,22:43,6,1,6,1,2,1,0,2,0,3,3
2021-05-11,CHO,DEN,0, -5,6:33,1,0,0,0,0,0,0,0,0,0,0
2021-05-13,CHO,LAC,0, -23,17:10,7,4,3,1,0,1,0,0,1,1,9
