Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,Rebounds,Assists,Steals,Blocks,Turnovers,Fouls,Points
2020-12-23,PHO,DAL,0, +4,20:15,9,5,2,1,3,3,0,1,1,2,11
2020-12-26,PHO,SAC,1, -3,15:13,7,4,1,0,1,4,1,0,2,2,8
2020-12-27,PHO,SAC,1, +16,19:37,5,2,2,1,5,6,2,0,0,6,7
2020-12-29,PHO,NOP,0, +25,23:07,9,5,6,3,2,7,0,0,0,3,13
2020-12-31,PHO,UTA,1, +11,18:10,8,4,3,2,1,2,0,0,1,3,10
2021-01-01,PHO,DEN,1, +3,15:33,3,1,1,0,4,3,1,0,2,1,2
2021-01-03,PHO,LAC,0, -5,16:29,6,3,2,1,1,1,0,0,2,0,7
2021-01-06,PHO,TOR,0, +8,16:24,3,1,1,1,3,10,0,0,1,2,5
2021-01-08,PHO,DET,1, -5,15:09,6,3,3,0,2,3,2,0,3,1,6
2021-01-18,PHO,MEM,1, -4,16:39,3,2,1,1,2,4,0,0,1,2,5
2021-01-20,PHO,HOU,1, +6,18:18,7,3,3,1,2,5,0,1,0,3,10
2021-01-22,PHO,DEN,0, -4,16:16,1,0,1,0,2,1,0,1,3,1,0
2021-01-23,PHO,DEN,0, -8,15:59,5,0,3,0,0,2,2,0,0,2,2
2021-02-13,PHO,PHI,0, +9,14:39,4,2,1,0,0,1,1,0,2,0,4
2021-02-14,PHO,ORL,0, +19,19:33,8,3,4,1,2,2,0,0,0,3,7
2021-02-16,PHO,BRK,0, -4,13:18,5,3,4,3,0,4,0,0,1,2,9
2021-02-19,PHO,NOP,1, +18,17:19,2,2,1,1,0,4,0,0,1,0,6
2021-02-20,PHO,MEM,1, +31,25:31,10,7,7,5,2,7,1,0,2,1,19
2021-02-22,PHO,POR,0, +32,17:16,8,2,5,1,3,0,0,1,0,0,7
2021-02-24,PHO,CHO,0, -3,10:25,2,1,1,0,1,4,1,0,1,2,2
2021-02-26,PHO,CHI,1, +9,9:09,2,1,1,0,1,1,1,0,0,0,2
2021-02-28,PHO,MIN,1, +19,3:05,1,0,1,0,1,1,0,0,0,1,0
2021-03-02,PHO,LAL,1, +10,10:23,2,0,0,0,1,1,0,0,0,2,0
2021-03-04,PHO,GSW,0, +22,26:41,11,7,3,2,5,10,3,1,2,3,17
2021-03-11,PHO,POR,1, +6,20:01,5,4,3,3,3,6,1,0,1,0,13
2021-03-13,PHO,IND,0, -11,15:39,6,4,1,1,2,1,0,1,1,2,9
2021-03-15,PHO,MEM,0, +23,23:41,7,4,4,2,2,4,0,0,1,3,13
2021-03-18,PHO,MIN,0, -4,16:33,3,1,3,1,5,5,0,0,3,2,3
2021-03-19,PHO,MIN,0, +12,18:34,8,4,2,1,5,4,0,0,1,0,11
2021-03-21,PHO,LAL,0, +17,18:44,3,1,2,1,1,4,0,0,2,3,5
2021-03-23,PHO,MIA,1, +10,21:41,8,3,4,0,3,5,1,0,1,1,9
2021-03-24,PHO,ORL,1, -1,17:52,4,0,2,0,2,2,1,1,0,0,0
2021-03-26,PHO,TOR,1, +4,12:51,4,2,1,0,3,2,0,0,1,2,4
2021-03-28,PHO,CHO,1, +4,14:49,6,2,3,1,2,2,1,0,0,3,6
2021-03-30,PHO,ATL,0, +7,17:21,7,2,3,0,4,5,1,0,0,3,4
2021-03-31,PHO,CHI,0, +5,15:58,7,4,3,1,4,4,0,0,0,3,9
2021-04-02,PHO,OKC,0, +37,26:12,9,4,3,1,6,8,1,2,2,1,9
2021-04-05,PHO,HOU,1, +3,12:57,2,1,0,0,0,3,1,0,2,1,2
2021-04-07,PHO,UTA,0, +4,10:03,6,2,1,1,3,0,1,0,0,1,5
2021-04-08,PHO,LAC,1, -10,16:22,6,3,2,0,2,2,1,0,3,2,9
2021-04-10,PHO,WAS,0, +28,23:00,9,6,4,2,1,7,1,0,0,1,14
2021-04-12,PHO,HOU,0, +6,21:24,12,4,6,3,2,4,0,0,0,2,11
2021-04-13,PHO,MIA,0, +20,22:17,8,4,3,2,5,7,1,0,1,0,14
2021-04-15,PHO,SAC,0, +8,18:19,7,4,1,0,1,4,1,0,2,3,8
2021-04-17,PHO,SAS,0, -26,25:41,11,5,2,0,5,3,0,0,3,3,12
2021-04-19,PHO,MIL,1, +1,14:59,9,5,4,2,1,0,0,0,1,0,12
2021-04-21,PHO,PHI,1, +3,14:05,4,1,2,1,1,1,0,1,2,2,3
2021-04-22,PHO,BOS,1, -13,17:43,9,3,4,1,3,1,1,0,1,0,7
2021-04-25,PHO,BRK,1, -9,14:59,6,2,2,1,1,4,1,1,0,2,5
2021-04-26,PHO,NYK,1, +8,16:25,6,4,4,2,3,4,1,1,0,2,11
2021-04-28,PHO,LAC,0, +8,21:32,14,6,6,3,4,4,0,0,0,0,15
2021-04-30,PHO,UTA,0, +21,22:30,9,3,3,1,6,1,0,1,1,2,11
2021-05-04,PHO,CLE,1, +16,17:29,5,3,2,0,2,5,0,0,1,1,6
2021-05-05,PHO,ATL,1, -32,20:14,6,2,4,2,1,3,1,1,0,3,8
