Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,Rebounds,Assists,Steals,Blocks,Turnovers,Fouls,Points
2020-12-25,BOS,BRK,0, -28,2:30,1,0,0,0,0,0,0,0,0,0,0
2020-12-30,BOS,MEM,0, +19,12:00,8,4,3,1,3,2,0,1,1,2,9
2021-01-01,BOS,DET,1, -3,4:28,2,0,0,0,0,0,0,0,0,1,0
2021-01-06,BOS,MIA,1, +2,9:43,4,2,2,0,0,0,0,0,0,0,4
2021-01-24,BOS,CLE,0, +38,19:22,12,7,6,2,5,1,1,0,1,2,18
2021-01-25,BOS,CHI,1, +16,12:17,4,2,2,1,0,0,2,0,0,3,6
2021-01-27,BOS,SAS,1, -4,3:53,0,0,0,0,0,0,0,0,0,0,0
2021-02-03,BOS,SAC,1, -5,7:57,2,1,2,1,0,0,0,0,0,2,3
2021-02-05,BOS,LAC,1, +4,29:44,8,5,5,3,4,2,0,0,0,3,16
2021-02-07,BOS,PHO,1, -9,17:07,6,1,4,0,1,0,1,0,0,1,2
2021-02-11,BOS,TOR,0, +14,5:44,2,1,2,1,0,0,0,0,0,1,3
2021-02-12,BOS,DET,0, -6,4:25,2,0,2,0,0,0,0,0,0,1,0
2021-02-14,BOS,WAS,1, -13,5:18,4,1,2,1,0,0,0,0,0,0,4
2021-02-24,BOS,ATL,1, -15,12:13,8,5,4,1,1,1,0,0,0,0,11
2021-03-14,BOS,HOU,1, +27,12:00,6,3,2,0,4,3,1,0,0,2,6
2021-03-17,BOS,CLE,1, -7,3:56,0,0,0,0,0,0,0,0,0,1,0
2021-03-26,BOS,MIL,1, +8,2:13,0,0,0,0,0,0,0,0,0,0,0
2021-03-27,BOS,OKC,1, +17,16:16,8,5,3,2,1,0,0,0,1,1,12
2021-04-02,BOS,HOU,0, +16,3:50,1,0,1,0,0,0,0,0,0,1,0
2021-04-04,BOS,CHO,0, +30,6:18,4,1,3,0,0,0,0,0,0,0,2
2021-04-06,BOS,PHI,0, -10,1:43,0,0,0,0,0,1,0,0,0,0,0
2021-04-11,BOS,DEN,1, +18,1:33,0,0,0,0,0,0,0,0,0,0,0
2021-04-15,BOS,LAL,1, +8,7:23,2,1,1,0,1,0,0,0,1,1,2
2021-04-23,BOS,BRK,1, -5,7:10,1,0,1,0,2,0,0,0,0,0,0
2021-04-25,BOS,CHO,1, -21,3:25,1,0,1,0,0,1,0,0,0,0,0
2021-05-05,BOS,ORL,1, +36,7:00,3,1,2,1,0,0,0,0,0,1,5
2021-05-07,BOS,CHI,1, -22,3:02,2,1,2,1,0,0,0,0,1,0,3
2021-05-09,BOS,MIA,0, -6,9:10,3,1,3,1,2,0,0,0,0,1,5
2021-05-11,BOS,MIA,0, -8,12:48,1,1,0,0,0,3,1,0,1,0,2
2021-05-12,BOS,CLE,1, -8,4:36,3,0,2,0,0,0,0,0,0,0,0
2021-05-16,BOS,NYK,1, -4,26:31,13,4,8,2,2,0,1,0,1,1,10
