Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2020-12-23,CLE,CHO,0,7,17.95,9,4,6,3,0,0,1,4,2,0,0,1,2,11,-4
2020-12-26,CLE,DET,1,9,25.93,12,7,7,4,4,6,0,4,0,1,0,0,1,22,-12
2020-12-27,CLE,PHI,0,24,21.77,8,5,4,2,2,2,0,2,2,1,1,1,4,14,20
2020-12-29,CLE,NYK,0,-9,28.85,12,2,5,0,2,2,1,1,3,0,0,1,2,6,-14
2020-12-31,CLE,IND,1,-20,21.33,8,1,5,1,0,2,1,2,1,1,0,0,1,3,-19
2021-01-02,CLE,ATL,1,5,25.83,12,4,9,3,0,0,0,4,2,0,0,0,1,11,5
2021-01-04,CLE,ORL,1,-20,38.45,14,6,8,4,2,2,1,7,7,2,1,3,3,18,-10
2021-01-06,CLE,ORL,1,-11,32.88,12,1,7,0,2,2,0,5,7,3,0,2,4,4,-20
2021-01-07,CLE,MEM,1,4,38.15,19,6,11,4,0,2,1,5,7,1,0,2,3,16,7
2021-01-09,CLE,MIL,1,-10,30.68,13,4,8,1,0,0,2,5,2,0,0,5,4,9,-5
2021-01-11,CLE,MEM,0,-10,33.6,13,5,7,3,1,1,0,3,4,2,0,1,3,14,-1
2021-01-12,CLE,UTA,0,-30,37.7,15,7,6,0,3,3,0,4,6,0,1,2,3,17,-29
2021-01-15,CLE,NYK,0,3,39.57,20,10,9,5,0,1,1,3,5,2,0,3,3,25,24
2021-01-20,CLE,BRK,0,12,50.37,17,9,9,4,3,3,0,7,7,0,0,1,4,25,18
2021-01-22,CLE,BRK,0,12,28.67,8,2,5,1,0,0,0,2,2,1,0,1,0,5,4
2021-01-24,CLE,BOS,1,-38,17.72,10,4,7,4,0,0,1,2,0,0,0,2,4,12,-37
2021-01-25,CLE,LAL,0,-7,32.0,11,6,8,5,3,4,1,2,2,3,0,2,2,20,8
2021-01-27,CLE,DET,0,15,26.88,8,4,5,2,0,0,0,1,2,0,0,0,3,10,-12
2021-01-29,CLE,NYK,1,-21,16.63,7,1,4,1,0,0,0,0,1,1,0,0,3,3,-28
2021-01-31,CLE,MIN,1,-5,23.23,6,3,2,1,2,2,0,1,0,1,0,1,1,9,-5
2021-02-01,CLE,MIN,0,2,17.73,12,4,4,2,0,0,6,7,2,2,0,0,1,10,-3
2021-02-03,CLE,LAC,0,-22,18.27,9,4,2,1,0,0,2,4,1,1,0,0,1,9,7
2021-02-05,CLE,MIL,0,-18,22.42,11,4,8,2,2,2,0,3,1,0,0,0,1,12,-9
2021-02-06,CLE,MIL,0,-25,15.2,10,3,5,1,0,0,0,0,2,0,0,0,0,7,-13
2021-02-08,CLE,PHO,1,-6,15.45,6,1,4,0,0,0,0,2,1,0,0,0,1,2,-1
2021-02-10,CLE,DEN,1,-38,21.83,5,1,4,0,0,0,0,2,1,1,0,0,0,2,-16
2021-02-12,CLE,POR,1,-19,7.42,1,0,1,0,0,0,0,2,0,0,0,0,2,0,-7
2021-02-14,CLE,LAC,1,-17,24.58,12,6,7,3,5,6,2,3,2,0,0,0,2,20,-2
2021-02-15,CLE,GSW,1,-31,35.23,15,6,9,3,2,2,0,10,2,2,0,2,2,17,-35
2021-02-19,CLE,DEN,0,-17,26.35,8,3,7,3,2,3,2,6,7,1,0,1,2,11,-9
2021-02-21,CLE,OKC,0,-16,33.55,12,3,8,0,0,0,1,6,4,3,0,1,2,6,-4
2021-02-23,CLE,ATL,0,1,19.95,7,3,7,3,2,2,1,2,3,0,0,2,2,11,10
2021-02-24,CLE,HOU,0,16,20.55,8,3,4,1,0,0,0,8,2,1,1,1,1,7,16
2021-03-01,CLE,HOU,1,11,20.0,7,3,6,3,2,2,0,5,1,0,0,1,2,11,4
2021-03-03,CLE,IND,0,-3,17.32,8,1,3,0,0,0,0,4,2,0,0,1,1,2,-16
2021-03-12,CLE,NOP,1,-34,23.75,9,1,6,0,4,4,0,1,1,1,1,1,3,6,-23
2021-03-14,CLE,ATL,1,-18,26.25,11,4,4,2,0,1,1,4,2,1,1,1,1,10,3
2021-03-16,CLE,MIA,1,-15,21.75,8,3,5,1,1,2,2,3,7,2,0,2,0,8,-4
2021-03-17,CLE,BOS,0,7,18.63,5,2,4,2,4,5,0,1,3,2,0,3,1,10,-1
2021-03-19,CLE,SAS,0,-6,18.77,6,0,5,0,0,0,1,4,1,1,0,1,0,0,-4
2021-03-21,CLE,TOR,0,11,23.97,6,1,4,1,2,2,0,6,6,2,0,0,3,5,10
2021-03-22,CLE,SAC,0,-14,18.77,7,2,2,0,1,2,0,3,1,1,0,0,0,5,4
2021-03-24,CLE,CHI,1,9,21.47,14,4,5,0,0,0,0,2,2,1,0,0,1,8,11
2021-03-26,CLE,LAL,1,-14,24.1,8,2,5,1,1,4,0,1,0,2,0,2,2,6,1
2021-04-01,CLE,PHI,0,-20,19.68,4,2,3,1,1,2,0,1,1,0,1,0,1,6,-19
2021-04-03,CLE,MIA,1,-14,10.1,6,1,2,0,0,0,0,0,2,0,0,0,1,2,-3
2021-04-10,CLE,TOR,0,-20,7.13,4,2,2,0,0,0,1,3,0,0,0,1,1,4,-12
2021-04-11,CLE,NOP,0,-7,28.55,11,7,2,0,1,1,0,3,7,1,1,4,1,15,-10
2021-04-14,CLE,CHO,1,13,12.3,0,0,0,0,1,2,0,1,1,0,0,0,2,1,10
