Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2020-12-25,MIA,NOP,0,13,0.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-29,MIA,MIL,0,-47,5.35,0,0,0,0,2,2,0,0,0,0,1,1,2,2,0
2021-01-04,MIA,OKC,0,28,5.02,1,1,0,0,0,0,1,5,1,0,0,3,1,2,-2
2021-01-12,MIA,PHI,1,-3,16.68,1,0,0,0,3,4,5,8,4,0,0,1,6,3,-4
2021-01-14,MIA,PHI,1,-17,20.6,6,4,0,0,5,6,1,4,1,1,1,3,5,13,1
2021-01-16,MIA,DET,0,-20,4.93,1,1,1,1,0,0,0,1,0,0,0,0,0,3,-1
2021-03-11,MIA,ORL,0,8,10.8,0,0,0,0,1,3,0,4,0,0,1,1,3,1,5
2021-03-12,MIA,CHI,1,11,11.75,2,2,0,0,0,0,0,3,0,0,2,0,0,4,5
2021-03-14,MIA,ORL,1,5,1.93,0,0,0,0,0,0,0,0,0,0,0,0,2,0,-6
2021-03-16,MIA,CLE,0,15,0.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-19,MIA,IND,0,-27,5.03,2,1,0,0,0,0,0,0,0,0,0,0,1,2,1
2021-03-29,SAC,SAS,1,17,1.18,1,1,0,0,0,0,0,0,0,0,0,1,0,2,0
2021-03-31,SAC,SAS,1,-14,2.77,1,0,0,0,0,0,0,1,0,0,0,0,1,0,4
2021-04-18,SAC,DAL,1,14,3.05,1,0,0,0,0,0,0,1,0,0,0,0,1,0,-6
2021-04-20,SAC,MIN,0,-14,2.45,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1
