Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,Rebounds,Assists,Steals,Blocks,Turnovers,Fouls,Points
2020-12-23,CHI,ATL,0, -20,30:28,11,2,7,1,2,7,2,0,3,2,9
2020-12-26,CHI,IND,0, -19,24:57,10,4,7,4,2,3,0,1,4,2,12
2020-12-27,CHI,GSW,0, -1,35:38,19,8,9,4,7,5,0,0,3,1,20
2020-12-29,CHI,WAS,1, +8,36:57,14,6,5,2,5,6,0,0,2,0,18
2020-12-31,CHI,WAS,1, +3,40:10,16,5,9,3,6,10,0,0,3,4,16
2021-01-01,CHI,MIL,1, -30,28:51,13,4,5,1,4,3,0,0,4,2,12
2021-01-03,CHI,DAL,0, +10,32:50,14,7,9,4,7,4,0,0,4,5,23
2021-01-05,CHI,POR,1, +3,38:39,19,8,7,2,10,5,0,0,2,2,21
2021-01-06,CHI,SAC,1, -4,39:38,23,15,9,4,3,7,0,0,0,1,36
2021-01-08,CHI,LAL,1, -2,31:45,14,6,5,2,3,5,0,0,3,3,14
2021-01-10,CHI,LAC,1, -3,42:55,11,4,4,0,8,13,1,0,5,4,9
2021-01-15,CHI,OKC,1, -2,44:24,20,8,9,4,9,7,0,0,4,5,22
2021-01-17,CHI,DAL,1, +16,25:18,5,0,2,0,3,4,1,0,1,1,0
2021-01-18,CHI,HOU,0, +5,31:42,12,4,7,2,4,4,2,0,3,4,10
2021-01-22,CHI,CHO,1, +13,32:45,15,6,8,3,2,8,2,0,1,3,18
2021-01-23,CHI,LAL,0, -11,32:06,13,5,4,2,7,4,0,0,2,4,14
2021-01-25,CHI,BOS,0, -16,23:59,6,2,3,1,2,1,0,0,2,3,5
2021-01-30,CHI,POR,0, -1,33:56,11,6,6,3,3,6,0,0,1,2,20
2021-02-01,CHI,NYK,0, +8,37:28,12,5,4,1,4,6,0,0,4,0,13
2021-02-03,CHI,NYK,0, -4,32:16,13,4,8,2,3,6,1,0,2,2,13
2021-02-05,CHI,ORL,1, -4,33:40,17,6,9,4,1,3,0,1,1,2,16
2021-02-06,CHI,ORL,1, +26,27:22,12,5,6,2,7,3,1,0,1,2,13
2021-02-08,CHI,WAS,0, -4,30:09,10,3,4,0,8,3,0,0,1,2,8
2021-02-10,CHI,NOP,0, +13,34:27,20,10,17,8,2,7,0,0,2,2,30
2021-02-12,CHI,LAC,0, -19,33:45,14,7,8,3,3,4,0,1,2,3,17
2021-02-15,CHI,IND,1, +8,43:41,18,7,6,1,7,8,0,0,3,2,19
2021-02-17,CHI,DET,0, +3,24:16,10,3,6,1,6,4,0,0,3,2,8
2021-02-19,CHI,PHI,1, -7,26:54,11,4,5,1,6,5,0,0,0,3,9
2021-02-20,CHI,SAC,0, +8,35:04,14,6,8,5,3,2,1,1,0,3,19
2021-02-22,CHI,HOU,1, +20,30:48,16,10,7,4,10,2,0,1,0,4,24
2021-02-24,CHI,MIN,0, +7,32:31,17,9,6,0,8,6,0,0,7,2,20
2021-02-26,CHI,PHO,0, -9,31:10,16,7,6,1,5,4,0,0,3,3,19
2021-03-01,CHI,DEN,0, -6,37:06,17,7,7,2,10,3,0,0,3,3,20
2021-03-03,CHI,NOP,1, +4,32:47,16,8,7,4,2,3,1,0,1,3,25
2021-03-11,CHI,PHI,0, -22,24:37,16,7,7,4,2,4,0,0,1,3,18
2021-03-12,CHI,MIA,0, -11,33:45,13,3,8,2,3,5,2,0,0,3,8
2021-03-14,CHI,TOR,0, +23,27:24,12,5,8,2,4,5,0,1,3,3,13
2021-03-16,CHI,OKC,0, +21,28:20,7,2,3,0,1,3,2,0,0,2,4
2021-03-17,CHI,SAS,0, -7,22:30,11,3,7,1,3,0,2,0,3,4,9
2021-03-19,CHI,DEN,1, -4,28:17,13,7,3,3,4,2,0,0,3,2,17
2021-03-21,CHI,DET,1, +14,16:54,7,2,2,1,3,4,2,0,4,1,7
2021-03-22,CHI,UTA,0, -25,23:27,12,4,5,2,1,3,0,0,3,1,10
2021-03-24,CHI,CLE,0, -9,26:27,12,4,5,1,3,3,2,0,1,0,11
2021-03-27,CHI,SAS,1, -16,25:35,12,5,5,2,5,4,1,1,1,4,13
