Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2020-12-23,ORL,MIA,0,6,19.18,5,3,1,0,0,0,0,2,6,2,0,3,1,6,3
2020-12-26,ORL,WAS,1,10,16.92,11,4,4,1,0,0,1,5,5,0,0,0,2,9,5
2020-12-27,ORL,WAS,1,7,18.95,9,3,2,0,6,6,4,7,3,0,0,0,1,12,18
2020-12-29,ORL,OKC,1,11,16.33,5,1,2,1,4,4,1,4,3,1,0,0,2,7,2
2020-12-31,ORL,PHI,0,-24,30.33,18,5,4,1,5,5,1,7,2,0,0,2,2,16,-4
2021-01-02,ORL,OKC,0,-9,17.12,7,1,2,0,0,0,2,5,1,0,0,0,2,2,-4
2021-01-04,ORL,CLE,0,20,21.48,9,2,2,1,4,5,1,5,4,0,1,1,3,9,14
2021-01-06,ORL,CLE,0,11,32.1,12,4,4,0,0,0,0,4,3,0,1,3,1,8,11
2021-01-08,ORL,HOU,1,-42,28.1,14,6,3,0,3,4,1,2,3,2,0,4,1,15,-27
2021-01-09,ORL,DAL,1,-14,32.1,8,2,5,1,3,4,0,2,3,0,0,2,2,8,-9
2021-01-11,ORL,MIL,0,-22,23.18,13,4,4,1,3,3,0,3,1,1,0,2,2,12,-7
2021-01-15,ORL,BOS,1,-27,27.4,18,7,6,1,0,1,1,6,3,0,0,5,2,15,-22
2021-01-16,ORL,BRK,1,-7,29.43,15,6,5,2,2,2,0,3,8,3,1,1,3,16,0
2021-01-18,ORL,NYK,1,-7,27.7,12,2,5,2,0,0,0,5,1,1,1,1,3,6,-14
2021-01-20,ORL,MIN,1,1,27.95,7,5,3,3,0,0,0,7,3,0,1,1,3,13,10
2021-01-22,ORL,IND,1,-2,35.77,7,3,1,1,2,2,1,5,2,1,1,1,2,9,-12
2021-01-24,ORL,CHO,0,-3,32.62,13,6,4,2,0,0,2,5,6,1,1,2,2,14,0
2021-01-25,ORL,CHO,0,9,30.9,12,8,5,4,1,3,1,5,3,0,0,3,5,21,2
2021-01-27,ORL,SAC,0,-14,30.48,9,2,2,1,2,2,0,3,6,0,2,2,3,7,-3
2021-01-29,ORL,LAC,0,-26,30.1,10,2,5,0,2,2,0,3,6,0,0,4,2,6,-8
2021-01-31,ORL,TOR,1,-13,32.37,10,5,3,1,5,6,1,5,6,0,0,2,3,16,-10
2021-02-02,ORL,TOR,0,-15,30.58,12,7,3,1,1,1,1,7,2,1,0,4,1,16,-19
2021-02-05,ORL,CHI,0,4,32.45,10,6,3,2,3,5,0,4,9,2,0,4,2,17,16
2021-02-06,ORL,CHI,0,-26,29.32,16,5,3,1,0,0,2,3,5,2,2,2,1,11,-34
2021-02-09,ORL,POR,1,-9,14.17,7,2,2,0,0,0,0,4,0,0,0,2,0,4,-9
2021-04-07,ORL,WAS,0,-15,25.65,14,5,4,2,1,2,1,1,7,0,0,1,1,13,-9
2021-04-09,ORL,IND,0,-5,25.53,12,3,2,0,2,2,4,9,5,0,1,1,4,8,-15
2021-04-11,ORL,MIL,0,-37,26.67,16,5,6,0,2,2,1,7,5,1,1,1,1,12,-26
2021-04-12,ORL,SAS,0,-23,21.23,8,5,2,0,2,2,0,3,3,1,0,2,3,12,-18
2021-04-14,ORL,CHI,1,9,20.92,7,5,1,0,0,0,0,3,5,0,0,1,1,10,-2
2021-04-16,ORL,TOR,1,-11,29.1,12,6,5,3,4,5,1,7,5,0,0,2,3,19,2
2021-04-18,ORL,HOU,0,-4,33.97,14,5,6,1,5,5,1,4,9,1,2,4,4,16,-4
2021-04-20,ORL,ATL,1,-16,30.98,15,6,6,1,4,5,0,5,8,2,0,2,1,17,-2
2021-04-22,ORL,NOP,0,-35,25.13,13,6,4,2,0,2,1,2,3,1,0,0,1,14,-33
2021-04-25,ORL,IND,0,-19,29.1,14,5,3,1,3,4,1,7,7,0,1,1,2,14,-7
2021-04-26,ORL,LAL,0,-11,33.47,11,6,4,3,0,2,0,4,7,0,1,0,2,15,-7
2021-04-28,ORL,CLE,1,5,31.13,12,6,4,1,5,5,1,4,3,0,0,5,3,18,9
2021-04-30,ORL,MEM,1,-17,29.05,14,7,3,1,0,0,1,6,2,0,0,3,4,15,-4
2021-05-01,ORL,MEM,0,1,35.53,15,6,6,4,10,11,1,8,6,3,0,5,2,26,2
2021-05-03,ORL,DET,1,7,21.12,7,3,1,1,1,2,0,4,4,0,0,3,2,8,8
2021-05-05,ORL,BOS,0,-36,21.8,10,2,2,0,0,0,0,3,4,0,0,3,1,4,-16
2021-05-07,ORL,CHO,1,-10,29.32,14,6,5,2,6,6,2,5,1,1,1,2,5,20,-5
2021-05-09,ORL,MIN,0,-32,24.22,13,4,5,1,2,2,0,4,3,0,0,3,0,11,-29
2021-05-11,ORL,MIL,1,-12,30.43,16,8,6,2,0,0,0,4,0,0,0,4,0,18,-7
2021-05-13,ORL,ATL,1,-23,23.1,12,5,3,1,1,2,1,7,6,1,0,1,1,12,-22
2021-05-14,ORL,PHI,1,-25,20.55,9,4,2,2,1,3,0,5,3,1,0,5,3,11,-19
2021-05-16,ORL,PHI,1,-11,37.83,25,10,9,3,14,14,2,8,2,1,0,6,3,37,-17
