Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,Rebounds,Assists,Steals,Blocks,Turnovers,Fouls,Points
2020-12-23,CLE,CHO,0, +7,37:05,16,9,4,3,2,5,0,0,2,4,27
2020-12-26,CLE,DET,1, +9,45:14,23,15,3,2,2,3,3,0,4,5,32
2020-12-27,CLE,PHI,0, +24,29:20,15,8,2,1,3,3,1,0,1,1,22
2020-12-29,CLE,NYK,0, -9,40:35,17,6,4,1,2,4,1,0,2,2,20
2020-12-31,CLE,IND,1, -20,36:36,19,12,2,2,1,4,1,1,2,2,28
2021-01-02,CLE,ATL,1, +5,35:54,18,10,5,2,2,3,3,0,0,3,27
2021-01-04,CLE,ORL,1, -20,38:51,19,10,4,2,2,2,1,0,6,5,24
2021-01-06,CLE,ORL,1, -11,35:00,20,8,7,3,3,4,1,1,0,1,21
2021-01-20,CLE,BRK,0, +12,38:12,29,16,11,5,5,5,2,1,1,5,42
2021-01-22,CLE,BRK,0, +12,29:34,19,8,5,1,2,9,0,0,1,5,25
2021-01-24,CLE,BOS,1, -38,16:11,8,3,1,0,2,2,0,0,6,2,13
2021-01-25,CLE,LAL,0, -7,29:36,17,6,4,2,4,6,1,0,4,5,17
2021-01-27,CLE,DET,0, +15,34:46,14,10,1,1,5,5,2,0,5,2,29
2021-01-29,CLE,NYK,1, -21,34:54,18,6,4,0,1,5,0,0,2,2,17
2021-01-31,CLE,MIN,1, -5,31:47,16,8,1,0,2,2,0,0,5,2,16
2021-02-01,CLE,MIN,0, +2,41:28,17,7,4,2,3,3,0,0,2,0,26
2021-02-03,CLE,LAC,0, -22,38:28,21,11,1,1,1,5,1,0,1,1,27
2021-02-05,CLE,MIL,0, -18,37:50,17,7,3,1,2,4,1,1,1,4,19
2021-02-06,CLE,MIL,0, -25,34:18,18,6,6,2,3,3,1,0,3,2,17
2021-02-08,CLE,PHO,1, -6,34:13,15,10,4,2,2,5,0,0,2,4,23
2021-02-10,CLE,DEN,1, -38,28:54,9,1,2,0,3,8,1,0,3,2,4
2021-02-12,CLE,POR,1, -19,40:52,16,8,2,1,3,5,2,0,2,3,25
2021-02-14,CLE,LAC,1, -17,35:24,16,8,1,0,3,2,1,0,2,5,22
2021-02-15,CLE,GSW,1, -31,41:50,20,9,5,1,3,5,3,0,2,3,23
2021-02-19,CLE,DEN,0, -17,37:49,17,8,7,3,0,4,0,0,5,2,23
2021-02-21,CLE,OKC,0, -16,40:17,22,11,6,1,5,3,0,0,4,4,27
2021-02-23,CLE,ATL,0, +1,33:50,16,9,5,3,1,5,1,0,6,5,29
2021-02-24,CLE,HOU,0, +16,38:56,19,9,8,3,2,3,1,0,1,0,23
2021-02-27,CLE,PHI,1, +3,44:29,27,11,5,1,5,3,3,0,4,4,28
2021-03-01,CLE,HOU,1, +11,41:39,20,12,8,4,3,8,2,0,6,2,39
2021-03-03,CLE,IND,0, -3,43:26,25,12,5,2,4,10,3,0,6,1,32
2021-03-12,CLE,NOP,1, -34,31:18,18,7,3,0,2,1,3,0,0,2,19
2021-03-14,CLE,ATL,1, -18,28:30,17,5,5,1,2,1,0,0,3,1,15
2021-03-16,CLE,MIA,1, -15,33:32,17,7,8,2,1,3,1,0,1,5,21
2021-03-17,CLE,BOS,0, +7,36:34,20,10,5,2,7,6,0,0,4,2,29
2021-03-19,CLE,SAS,0, -6,38:46,25,12,6,3,5,2,0,0,1,4,29
2021-03-21,CLE,TOR,0, +11,38:45,24,13,9,6,3,4,2,0,6,1,36
2021-03-22,CLE,SAC,0, -14,28:43,15,6,3,0,4,7,0,0,2,1,15
2021-03-27,CLE,SAC,1, -2,40:01,24,11,5,1,6,4,2,0,0,4,26
2021-03-29,CLE,UTA,1, -39,35:21,18,8,5,0,3,2,2,0,1,1,20
2021-04-01,CLE,PHI,0, -20,33:29,15,7,4,1,3,3,2,0,3,3,24
2021-04-03,CLE,MIA,1, -14,35:19,17,11,4,0,3,3,3,0,5,3,26
2021-04-05,CLE,SAS,1, +24,33:59,17,7,5,1,3,5,0,0,0,2,22
2021-04-08,CLE,OKC,1, +27,33:18,17,9,1,0,3,4,1,0,0,0,27
2021-04-10,CLE,TOR,0, -20,35:22,20,10,3,1,0,5,0,0,2,2,29
2021-04-15,CLE,GSW,0, -18,34:20,19,10,5,3,4,2,0,0,0,4,30
2021-04-17,CLE,CHI,1, -10,34:43,20,8,6,3,5,2,0,1,5,2,22
2021-04-19,CLE,DET,1, -4,38:22,20,12,1,1,7,4,1,2,2,3,28
2021-04-21,CLE,CHI,0, +16,31:21,17,11,5,3,3,7,1,0,2,3,30
2021-04-23,CLE,CHO,1, -6,34:20,19,11,8,3,7,2,1,0,4,5,28
2021-04-30,CLE,WAS,0, -29,31:55,19,7,6,1,7,2,1,1,8,0,22
2021-05-01,CLE,MIA,0, -17,38:50,20,8,6,4,4,8,2,1,2,3,25
2021-05-04,CLE,PHO,0, -16,38:32,24,11,5,2,7,7,0,0,5,5,29
2021-05-05,CLE,POR,0, -36,34:24,15,6,3,0,0,4,2,0,1,2,15
2021-05-07,CLE,DAL,1, -20,36:25,18,9,2,0,4,4,0,0,2,3,27
2021-05-09,CLE,DAL,0, -27,32:17,19,8,5,3,3,7,0,0,2,1,24
2021-05-10,CLE,IND,0, -9,36:39,26,7,6,1,5,8,1,0,3,1,25
2021-05-12,CLE,BOS,0, +8,32:13,15,7,2,1,2,8,0,1,5,1,28
2021-05-14,CLE,WAS,1, -15,30:32,16,8,4,2,1,4,0,0,6,3,26
2021-05-16,CLE,BRK,1, -14,20:03,11,5,4,1,2,5,1,0,1,2,16
