Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,Rebounds,Assists,Steals,Blocks,Turnovers,Fouls,Points
2021-01-01,CHI,MIL,1, -30,6:18,1,0,0,0,3,2,0,0,0,0,0
2021-01-23,CHI,LAL,0, -11,7:03,2,2,0,0,2,0,1,0,0,1,7
2021-01-30,CHI,POR,0, -1,4:48,0,0,0,0,3,1,1,0,0,1,0
2021-02-06,CHI,ORL,1, +26,9:28,1,1,0,0,1,2,0,0,1,1,2
2021-02-08,CHI,WAS,0, -4,9:14,0,0,0,0,2,0,0,0,2,0,2
2021-02-12,CHI,LAC,0, -19,1:15,0,0,0,0,1,0,0,0,0,0,0
2021-03-22,CHI,UTA,0, -25,1:38,0,0,0,0,0,0,0,0,0,0,0
2021-03-27,CHI,SAS,1, -16,1:46,0,0,0,0,0,0,0,0,0,0,1
2021-03-29,CHI,GSW,1, -14,1:41,0,0,0,0,1,0,0,0,0,0,0
2021-04-06,CHI,IND,1, +16,1:21,0,0,0,0,0,0,0,0,0,0,0
2021-04-16,CHI,MEM,0, -11,1:49,0,0,0,0,0,0,0,0,0,1,0
2021-04-21,CHI,CLE,1, -16,8:30,2,0,1,0,1,3,0,0,1,3,0
2021-04-22,CHI,CHO,0, +17,2:43,1,1,0,0,0,0,0,0,0,0,2
2021-04-28,CHI,NYK,1, -19,1:33,0,0,0,0,0,0,0,0,0,0,0
2021-05-06,CHI,CHO,1, +21,1:57,0,0,0,0,0,0,0,0,0,1,0
2021-05-07,CHI,BOS,0, +22,1:42,0,0,0,0,0,1,0,0,0,0,0
2021-05-15,CHI,BRK,1, -14,2:50,1,1,0,0,4,0,1,0,0,0,4
2021-05-16,CHI,MIL,0, +6,17:57,5,2,1,0,8,0,1,0,0,2,5
