Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,Rebounds,Assists,Steals,Blocks,Turnovers,Fouls,Points
2020-12-23,MIN,DET,0, +10,33:20,16,7,11,4,5,4,1,0,2,2,18
2020-12-26,MIN,UTA,1, +5,34:11,21,9,6,3,2,6,1,0,2,4,25
2020-12-27,MIN,LAL,1, -36,20:35,7,2,1,0,0,3,1,1,7,4,4
2020-12-29,MIN,LAC,1, -23,31:03,19,9,11,4,3,4,2,0,3,2,22
2021-01-01,MIN,WAS,0, -21,25:54,16,6,7,2,4,3,1,0,5,0,14
2021-01-03,MIN,DEN,0, -15,30:00,15,7,7,4,4,7,2,1,3,2,18
2021-01-05,MIN,DEN,1, -7,37:21,21,10,9,4,3,11,2,0,3,3,33
2021-01-07,MIN,POR,1, -18,28:09,16,9,7,3,3,3,0,1,3,3,26
2021-01-09,MIN,SAS,0, -3,37:44,22,7,6,1,3,6,1,1,1,2,16
2021-01-10,MIN,SAS,0, +8,31:14,21,9,7,4,5,5,1,0,4,2,27
2021-01-13,MIN,MEM,0, -11,36:06,21,10,8,2,3,8,2,0,5,1,25
2021-01-18,MIN,ATL,1, -11,32:04,22,11,13,6,3,7,4,1,3,0,31
2021-01-20,MIN,ORL,0, -1,31:41,17,7,7,4,2,6,1,2,2,1,19
2021-01-22,MIN,ATL,0, -18,20:37,9,2,5,1,2,4,0,0,2,4,9
2021-01-29,MIN,PHI,0, -24,25:28,11,3,7,1,0,4,1,0,2,2,14
2021-01-31,MIN,CLE,0, +5,30:42,18,7,10,5,1,5,0,0,2,2,19
2021-02-01,MIN,CLE,1, -2,28:56,19,7,9,3,2,4,1,0,0,1,18
2021-02-03,MIN,SAS,1, -3,31:19,20,8,7,1,2,5,0,3,0,1,20
2021-02-05,MIN,OKC,1, +3,31:07,13,7,8,5,4,6,1,0,5,3,21
2021-02-08,MIN,DAL,1, -5,5:35,2,2,2,2,1,0,0,0,0,0,6
2021-04-05,MIN,SAC,0, +10,24:28,19,7,7,4,5,3,1,1,2,2,25
2021-04-07,MIN,IND,1, -4,23:47,15,5,7,2,1,5,0,0,1,2,17
2021-04-09,MIN,BOS,1, -9,28:48,18,10,9,3,4,8,0,0,2,3,26
2021-04-11,MIN,CHI,0, +4,25:36,13,9,6,3,2,4,0,0,2,2,27
2021-04-13,MIN,BRK,0, -30,20:22,12,5,5,3,1,1,1,0,4,2,15
2021-04-14,MIN,MIL,0, -25,22:51,14,4,5,1,2,6,1,0,5,0,15
2021-04-16,MIN,MIA,0, +8,23:44,8,4,6,3,0,5,2,0,3,0,11
2021-04-18,MIN,LAC,1, -19,22:17,13,5,5,1,1,4,1,1,6,2,11
2021-04-20,MIN,SAC,1, +14,24:52,13,10,8,6,3,6,0,0,2,2,28
2021-04-21,MIN,SAC,1, -3,28:52,12,6,5,2,3,9,2,1,2,0,15
2021-04-24,MIN,UTA,1, +5,30:49,18,8,10,3,3,1,2,0,2,0,23
2021-04-26,MIN,UTA,0, +1,30:58,16,10,12,7,2,12,0,1,3,1,27
2021-04-27,MIN,HOU,1, +7,29:15,17,5,8,1,3,7,1,0,2,1,15
2021-04-29,MIN,GSW,0, +12,24:23,11,3,5,1,2,8,1,0,3,3,7
2021-05-01,MIN,NOP,0, -4,33:16,22,8,12,1,2,11,2,0,4,3,17
2021-05-05,MIN,MEM,0, -4,37:01,13,6,5,2,4,14,1,0,5,0,22
2021-05-07,MIN,MIA,1, -9,25:52,12,6,7,4,3,4,0,0,0,0,17
2021-05-09,MIN,ORL,1, +32,29:56,21,9,9,5,6,7,0,0,1,1,27
2021-05-11,MIN,DET,1, +19,29:37,18,5,10,3,5,10,3,1,2,1,15
2021-05-13,MIN,DEN,0, -11,36:06,12,6,7,3,3,2,1,1,2,3,17
2021-05-15,MIN,BOS,0, -16,24:36,10,3,5,0,1,6,1,2,3,1,11
2021-05-16,MIN,DAL,0, +15,35:41,19,8,9,3,3,10,3,0,2,0,23
