Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,Rebounds,Assists,Steals,Blocks,Turnovers,Fouls,Points
2020-12-25,MIL,GSW,0,39,13.45,6,4,3,3,0,1,0,0,0,1,13
2020-12-27,MIL,NYK,1,-20,13.75,6,0,4,0,1,1,0,0,1,0,2
2020-12-29,MIL,MIA,1,47,20.73,5,3,4,2,4,2,0,0,1,0,10
2020-12-30,MIL,MIA,1,-11,12.72,5,1,3,1,0,1,1,0,1,1,3
2021-01-01,MIL,CHI,0,30,18.82,4,0,4,0,1,2,1,0,2,0,0
2021-01-04,MIL,DET,0,10,18.63,5,4,3,3,1,6,0,0,1,1,11
2021-01-06,MIL,DET,0,15,22.33,4,2,4,2,4,6,1,0,1,2,8
2021-01-08,MIL,UTA,0,-13,18.6,4,0,3,0,0,1,0,0,0,1,0
2021-01-09,MIL,CLE,0,10,20.22,7,2,4,1,2,5,0,0,1,0,5
2021-01-11,MIL,ORL,1,22,20.58,6,2,3,1,0,4,2,0,2,0,8
2021-01-13,MIL,DET,1,9,20.85,4,2,3,2,1,4,0,0,3,0,6
2021-01-15,MIL,DAL,0,3,21.0,4,2,1,0,2,1,0,0,0,0,7
2021-01-18,MIL,BRK,1,-2,19.08,7,0,3,0,0,0,0,0,0,0,2
2021-01-21,MIL,LAL,0,-7,17.15,5,2,1,0,2,3,2,0,1,0,4
2021-01-24,MIL,ATL,0,14,15.72,6,3,4,3,1,3,0,0,0,0,9
2021-01-27,MIL,TOR,1,7,13.75,7,3,6,3,1,1,1,0,0,1,9
2021-01-29,MIL,NOP,1,-5,10.12,2,1,0,0,1,3,0,0,1,0,2
2021-01-30,MIL,CHO,1,-12,4.37,0,0,0,0,0,0,0,0,0,1,0
2021-02-01,MIL,POR,0,28,17.57,7,4,6,4,5,6,1,0,1,0,13
2021-02-03,MIL,IND,0,20,19.0,6,1,5,1,0,4,0,0,1,0,6
2021-02-05,MIL,CLE,1,18,18.45,5,1,3,1,2,3,0,0,1,3,7
2021-02-06,MIL,CLE,1,25,17.48,5,3,3,1,1,3,2,0,1,1,9
2021-02-08,MIL,DEN,1,13,20.58,6,2,5,1,1,5,0,0,2,2,5
2021-02-10,MIL,PHO,1,-1,18.47,9,2,4,2,0,0,0,0,0,0,6
2021-02-12,MIL,UTA,1,-14,29.5,7,2,4,1,1,3,2,1,0,4,12
2021-02-14,MIL,OKC,1,-5,21.72,3,0,3,0,0,7,0,0,0,1,1
2021-02-16,MIL,TOR,0,-11,15.18,2,0,2,0,2,6,0,0,1,0,0
2021-02-18,MIL,TOR,0,-14,24.98,9,3,7,3,3,1,0,0,0,1,9
2021-02-19,MIL,OKC,0,13,32.47,8,4,7,3,2,5,1,0,2,2,11
2021-02-21,MIL,SAC,0,13,27.42,10,2,5,0,1,5,2,0,2,1,4
2021-02-23,MIL,MIN,0,27,25.82,6,4,4,2,2,5,1,0,0,2,10
2021-02-28,MIL,LAC,0,5,26.38,5,2,4,2,2,2,1,0,2,0,6
2021-03-02,MIL,DEN,0,-31,26.87,5,2,5,2,1,3,0,0,0,1,7
2021-03-04,MIL,MEM,1,1,20.68,3,1,3,1,2,1,1,0,2,1,3
2021-03-11,MIL,NYK,0,33,18.22,4,4,3,3,3,2,1,0,2,2,12
2021-03-13,MIL,WAS,1,6,16.47,1,1,0,0,0,2,0,0,1,0,2
2021-03-15,MIL,WAS,1,11,13.42,4,2,3,1,1,3,0,0,1,4,5
2021-03-19,HOU,DET,0,-13,20.4,6,2,2,1,3,3,1,0,0,0,7
2021-03-22,HOU,TOR,0,18,17.97,4,1,3,0,2,3,1,0,1,0,4
2021-03-24,HOU,CHO,0,-25,23.55,8,2,6,1,2,7,1,0,3,3,5
2021-03-26,HOU,MIN,1,-6,20.05,5,4,3,2,2,4,0,0,4,0,13
2021-03-27,HOU,MIN,1,22,24.28,14,8,5,2,3,4,0,0,1,2,20
2021-03-29,HOU,MEM,0,-10,20.0,7,4,4,2,2,5,1,0,2,2,13
2021-03-31,HOU,BRK,1,-12,17.68,5,3,4,3,5,4,0,0,1,3,11
2021-04-02,HOU,BOS,1,-16,18.67,8,1,4,0,0,1,1,0,3,1,8
2021-04-04,HOU,NOP,0,-7,19.68,8,4,3,1,6,5,0,0,3,0,9
2021-04-05,HOU,PHO,0,-3,22.53,5,3,2,1,1,6,0,0,0,1,11
2021-04-07,HOU,DAL,0,9,18.68,9,1,5,1,3,2,0,0,0,2,3
2021-04-09,HOU,LAC,1,-17,19.05,5,1,2,1,0,5,1,0,2,2,6
2021-04-10,HOU,GSW,1,-16,22.4,9,5,7,3,3,6,0,0,0,1,19
2021-04-12,HOU,PHO,1,-6,3.48,1,0,0,0,0,1,0,0,1,1,0
2021-05-07,HOU,MIL,1,-8,28.87,14,6,9,4,2,5,0,0,3,0,17
2021-05-08,HOU,UTA,1,-8,18.27,3,1,1,1,0,1,0,0,1,0,5
2021-05-10,HOU,POR,1,-11,25.45,10,6,6,4,2,2,0,0,2,2,21
2021-05-12,HOU,LAL,1,-2,23.63,7,2,5,1,0,4,1,0,1,1,8
2021-05-14,HOU,LAC,0,7,29.72,12,5,7,2,4,5,0,0,1,1,13
2021-05-16,HOU,ATL,1,-29,22.02,11,5,10,4,4,5,1,0,2,1,18
