Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,Rebounds,Assists,Steals,Blocks,Turnovers,Fouls,Points
2020-12-23,PHO,DAL,0, +4,7:37,0,0,0,0,1,0,1,1,1,5,0
2020-12-26,PHO,SAC,1, -3,15:27,3,1,0,0,2,0,0,0,0,2,2
2020-12-27,PHO,SAC,1, +16,1:09,0,0,0,0,1,0,0,0,0,0,0
2020-12-29,PHO,NOP,0, +25,6:06,0,0,0,0,2,0,0,1,1,0,0
2021-01-11,PHO,WAS,1, -21,11:36,3,2,1,0,3,0,0,1,1,2,6
2021-02-03,PHO,NOP,1, -22,6:09,1,1,0,0,3,0,0,0,0,1,5
2021-02-05,PHO,DET,0, +17,15:03,2,0,0,0,2,0,0,0,2,5,0
2021-02-07,PHO,BOS,0, +9,9:12,0,0,0,0,0,0,0,2,0,2,0
2021-02-08,PHO,CLE,0, +6,2:12,1,0,0,0,1,0,0,0,0,1,0
2021-02-13,PHO,PHI,0, +9,1:22,0,0,0,0,0,0,0,0,0,0,0
2021-02-14,PHO,ORL,0, +19,2:09,0,0,0,0,1,0,0,0,0,0,0
2021-02-19,PHO,NOP,1, +18,2:26,2,1,0,0,0,0,0,0,0,0,2
2021-02-20,PHO,MEM,1, +31,7:28,2,1,0,0,1,1,0,0,0,0,2
2021-02-22,PHO,POR,0, +32,5:35,2,2,0,0,1,3,0,0,1,1,5
2021-02-28,LAL,GSW,0, +26,8:23,3,3,0,0,3,0,0,2,0,2,8
2021-03-02,LAL,PHO,0, -10,7:26,2,2,0,0,1,0,0,1,0,1,4
2021-03-03,LAL,SAC,1, -3,14:41,0,0,0,0,1,0,0,1,0,3,0
2021-03-12,LAL,IND,0, +5,15:42,3,2,0,0,1,0,0,0,1,3,7
2021-03-15,LAL,GSW,1, +31,21:12,3,3,0,0,4,1,0,1,2,4,8
2021-03-16,LAL,MIN,0, +16,16:32,3,3,0,0,3,0,1,1,0,4,8
2021-03-18,LAL,CHO,0, +11,12:23,2,2,0,0,4,0,0,1,1,4,4
2021-03-20,LAL,ATL,0, -5,15:21,1,1,0,0,9,0,0,0,1,1,4
2021-04-12,SAC,NOP,1, -7,18:36,1,1,0,0,2,2,1,1,1,2,2
2021-04-14,SAC,WAS,0, -12,16:20,4,2,0,0,4,0,2,0,1,3,5
2021-04-15,SAC,PHO,1, -8,5:00,1,0,0,0,1,0,0,0,0,0,0
2021-04-21,SAC,MIN,0, +3,21:39,2,2,0,0,8,1,0,2,1,2,8
2021-04-25,SAC,GSW,1, -4,8:23,0,0,0,0,0,0,0,0,1,0,0
2021-04-26,SAC,DAL,0, +7,22:32,5,3,0,0,7,1,0,0,2,2,8
2021-04-28,SAC,UTA,0, -49,21:23,2,2,0,0,1,2,0,0,0,3,7
2021-04-30,SAC,LAL,1, +4,17:26,4,3,0,0,2,1,1,0,0,2,10
2021-05-02,SAC,DAL,1, +12,23:19,4,4,0,0,4,2,1,0,1,3,9
2021-05-04,SAC,OKC,1, +4,16:25,3,2,0,0,3,2,1,1,0,2,4
2021-05-05,SAC,IND,1, +11,16:43,3,0,1,0,4,1,1,1,0,1,0
2021-05-07,SAC,SAS,0, -9,15:11,3,2,0,0,7,0,1,1,2,2,6
2021-05-09,SAC,OKC,0, +28,21:26,6,5,1,1,6,2,0,4,1,5,11
2021-05-11,SAC,OKC,0, +16,21:31,7,3,0,0,7,1,0,2,1,1,6
2021-05-13,SAC,MEM,1, -6,23:59,5,2,0,0,5,5,0,4,1,2,6
2021-05-14,SAC,MEM,1, -1,34:41,7,6,0,0,11,3,0,0,0,2,17
2021-05-16,SAC,UTA,0, -22,35:56,13,9,2,0,5,1,1,1,3,4,19
