Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2020-12-23,CHI,ATL,0,-20,16.9,4,2,0,0,1,4,0,1,0,0,1,0,1,5,2
2020-12-26,CHI,IND,0,-19,11.95,3,1,0,0,1,2,2,4,0,0,1,0,0,3,-3
2020-12-29,CHI,WAS,1,8,6.52,1,0,0,0,3,4,0,1,0,0,1,0,3,3,-1
2020-12-31,CHI,WAS,1,3,22.27,8,7,0,0,1,2,3,5,2,2,1,1,3,15,23
2021-01-01,CHI,MIL,1,-30,15.62,2,2,0,0,1,2,1,3,1,2,1,0,1,5,-14
2021-01-03,CHI,DAL,0,10,19.08,3,3,0,0,6,6,2,3,1,0,0,1,3,12,12
2021-01-05,CHI,POR,1,3,9.53,2,1,0,0,0,0,2,2,0,0,1,0,1,2,-3
2021-01-06,CHI,SAC,1,-4,10.9,2,2,0,0,0,0,0,0,0,0,1,0,3,4,-1
2021-01-08,CHI,LAL,1,-2,15.57,0,0,0,0,0,0,0,2,2,2,2,2,3,0,0
2021-01-10,CHI,LAC,1,-3,10.55,2,1,0,0,0,0,0,1,0,1,2,2,1,2,-3
2021-01-17,CHI,DAL,1,16,13.13,3,3,0,0,1,2,0,3,0,0,2,0,2,7,14
2021-01-18,CHI,HOU,0,5,16.27,5,2,0,0,3,3,1,3,1,1,2,0,2,7,5
2021-01-22,CHI,CHO,1,13,18.58,5,3,0,0,1,1,3,6,0,0,2,2,1,7,-5
2021-01-23,CHI,LAL,0,-11,18.0,2,1,0,0,2,2,1,1,0,0,0,1,4,4,-5
2021-01-25,CHI,BOS,0,-16,10.7,2,0,0,0,0,2,3,3,1,0,1,1,0,0,-20
2021-01-30,CHI,POR,0,-1,10.1,4,2,0,0,0,0,2,5,1,0,0,0,1,4,-15
2021-02-01,CHI,NYK,0,8,21.82,8,6,0,0,0,1,5,9,0,0,0,0,4,12,1
2021-02-03,CHI,NYK,0,-4,19.5,2,2,0,0,0,0,0,6,1,1,1,0,1,4,1
2021-02-05,CHI,ORL,1,-4,10.72,2,2,0,0,0,0,2,4,0,0,1,0,1,4,-18
2021-02-06,CHI,ORL,1,26,12.8,3,1,0,0,0,0,1,5,1,0,3,1,3,2,12
2021-02-08,CHI,WAS,0,-4,14.87,4,4,0,0,2,2,3,5,2,1,2,1,5,10,-2
2021-02-10,CHI,NOP,0,13,16.58,5,4,0,0,1,2,1,2,2,0,3,2,2,9,3
2021-02-12,CHI,LAC,0,-19,7.78,1,0,0,0,2,2,1,2,1,1,1,4,2,2,-6
2021-02-19,CHI,PHI,1,-7,4.9,1,0,0,0,0,0,0,1,0,0,2,1,0,0,5
2021-02-22,CHI,HOU,1,20,2.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3
2021-03-03,CHI,NOP,1,4,5.75,1,1,0,0,1,2,1,5,0,0,1,0,1,3,-7
2021-03-11,CHI,PHI,0,-22,9.52,2,2,0,0,0,0,1,2,1,0,0,0,3,4,8
2021-03-16,CHI,OKC,0,21,3.0,2,1,0,0,0,0,2,2,0,0,0,1,0,2,-4
2021-03-21,CHI,DET,1,14,13.83,4,4,0,0,0,0,4,11,0,0,2,2,3,8,10
2021-03-22,CHI,UTA,0,-25,9.28,3,2,0,0,1,2,3,3,0,0,0,0,0,5,1
2021-03-24,CHI,CLE,0,-9,4.53,1,1,0,0,0,0,0,3,0,0,0,0,0,2,1
2021-03-27,WAS,DET,0,14,13.53,7,6,0,0,1,1,1,5,0,1,3,2,1,13,-3
2021-03-29,WAS,IND,0,8,14.83,6,4,0,0,3,4,4,6,0,0,2,1,1,11,0
2021-04-10,WAS,PHO,1,-28,17.0,6,4,0,0,1,2,2,5,2,1,1,0,0,9,-14
2021-04-12,WAS,UTA,1,4,17.85,8,6,0,0,3,4,0,4,0,1,0,1,1,15,1
2021-04-14,WAS,SAC,1,12,15.65,5,1,0,0,2,2,1,6,1,2,1,1,1,4,11
2021-04-16,WAS,NOP,0,2,25.95,11,7,0,0,4,6,0,7,0,0,4,2,5,18,16
2021-04-17,WAS,DET,0,21,16.12,7,4,0,0,0,3,3,8,0,0,4,0,2,8,0
2021-04-19,WAS,OKC,0,12,15.97,6,6,0,0,1,2,2,5,0,0,1,0,1,13,-1
2021-04-21,WAS,GSW,0,4,24.12,11,7,0,0,5,9,4,10,0,0,3,1,1,19,12
2021-04-23,WAS,OKC,1,20,15.22,3,1,0,0,0,0,4,6,1,1,1,1,1,2,-1
2021-04-25,WAS,CLE,0,9,26.75,7,5,0,0,2,3,1,6,2,4,4,0,2,12,14
2021-04-26,WAS,SAS,0,-3,15.25,3,1,0,0,4,6,3,4,0,0,2,1,4,6,-9
2021-04-28,WAS,LAL,0,9,13.08,5,4,0,0,0,0,3,6,0,0,0,2,3,8,-2
2021-04-30,WAS,CLE,1,29,21.82,7,6,0,0,1,2,1,7,0,1,1,1,3,13,28
2021-05-01,WAS,DAL,1,-1,25.15,5,4,0,0,1,2,5,7,0,0,2,0,2,9,-7
2021-05-03,WAS,IND,0,13,15.18,7,7,0,0,1,2,0,2,0,1,3,1,2,15,-2
2021-05-05,WAS,MIL,1,-1,14.03,6,4,0,0,4,7,6,10,2,0,1,0,2,12,-2
2021-05-06,WAS,TOR,1,2,15.03,1,0,0,0,0,0,0,3,1,0,3,0,1,0,0
2021-05-08,WAS,IND,1,1,16.8,3,2,0,0,2,2,1,2,1,1,0,0,4,6,12
2021-05-10,WAS,ATL,1,-1,14.68,2,1,0,0,2,2,3,5,1,1,1,1,2,4,9
2021-05-12,WAS,ATL,1,-4,16.78,11,8,0,0,0,0,2,4,1,1,0,0,0,16,-3
2021-05-14,WAS,CLE,0,15,21.03,5,3,0,0,6,6,3,5,0,0,3,1,1,12,15
2021-05-16,WAS,CHO,0,5,16.42,6,3,0,0,2,2,1,5,0,0,1,3,4,8,-13
