Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2020-12-25,LAC,DEN,1,13,0.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-27,LAC,DAL,0,-51,12.0,4,2,1,0,0,0,0,2,0,0,1,1,2,4,-4
2020-12-29,LAC,MIN,0,23,6.93,2,2,0,0,0,0,1,3,1,0,1,0,1,4,-5
2020-12-30,LAC,POR,0,23,2.75,2,1,0,0,0,0,0,2,1,0,0,0,0,2,0
2021-01-08,LAC,GSW,1,-10,0.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2021-01-15,LAC,SAC,1,38,7.23,2,1,0,0,2,2,2,4,1,0,0,0,0,4,7
2021-01-17,LAC,IND,0,33,5.1,4,2,0,0,0,0,2,3,1,0,0,0,1,4,7
2021-01-20,LAC,SAC,0,19,2.33,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4
2021-01-22,LAC,OKC,0,14,0.85,1,1,0,0,0,0,0,0,0,0,0,0,0,2,1
2021-01-29,LAC,ORL,1,26,3.72,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
2021-03-14,LAC,NOP,1,-20,12.0,2,1,0,0,0,0,0,2,1,0,0,1,1,2,7
2021-03-17,LAC,DAL,1,-16,1.45,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-3
2021-03-20,LAC,CHO,0,27,6.52,3,0,0,0,0,0,1,1,0,0,0,0,1,0,-3
2021-03-24,LAC,SAS,1,33,5.65,1,1,0,0,0,2,1,1,1,1,0,0,2,2,9
2021-03-27,LAC,PHI,0,10,2.77,1,1,0,0,0,0,1,1,0,0,0,1,1,2,-5
2021-03-29,LAC,MIL,0,24,2.55,1,0,0,0,0,0,0,1,0,0,0,0,0,0,4
2021-04-01,LAC,DEN,0,-7,0.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2021-04-04,LAC,LAL,0,18,3.35,0,0,0,0,0,0,0,1,0,0,0,0,1,0,-3
2021-04-08,LAC,PHO,0,10,1.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4
2021-04-09,LAC,HOU,0,17,2.97,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2021-04-13,LAC,IND,1,11,0.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2021-04-18,LAC,MIN,0,19,12.0,2,2,0,0,3,4,1,3,0,0,0,0,2,7,-16
2021-04-21,LAC,MEM,0,12,0.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3
2021-04-26,LAC,NOP,1,-17,7.28,2,1,0,0,0,0,2,4,1,0,0,0,0,2,4
2021-04-28,LAC,PHO,1,-8,0.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
2021-05-06,LAC,LAL,0,24,4.08,1,0,0,0,0,0,1,2,0,0,1,0,3,0,2
2021-05-11,LAC,TOR,1,19,2.88,0,0,0,0,0,0,0,1,0,0,0,0,1,0,4
2021-05-13,LAC,CHO,1,23,4.15,1,1,0,0,0,0,1,1,0,0,0,0,1,2,3
2021-05-14,LAC,HOU,1,-7,10.03,1,1,0,0,2,2,1,4,1,1,2,2,2,4,3
2021-05-16,LAC,OKC,1,-5,37.15,21,5,4,1,2,2,7,12,2,2,1,2,3,13,-2
