Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,Rebounds,Assists,Steals,Blocks,Turnovers,Fouls,Points
2020-12-23,BOS,MIL,0,1,24.67,8,4,6,2,3,3,0,0,0,1,10
2020-12-25,BOS,BRK,0,-28,23.35,3,1,2,0,5,3,0,0,1,3,2
2020-12-27,BOS,IND,1,-1,14.93,5,2,2,0,4,0,1,2,0,0,4
2020-12-29,BOS,IND,1,5,23.38,8,2,2,0,4,1,0,1,1,2,4
2020-12-30,BOS,MEM,0,19,19.15,7,5,1,0,5,2,1,2,2,4,12
2021-01-01,BOS,DET,1,-3,23.97,2,1,1,0,6,0,0,3,2,3,2
2021-01-03,BOS,DET,1,2,25.17,8,7,2,1,4,1,1,0,2,5,15
2021-01-04,BOS,TOR,1,12,13.72,1,1,0,0,3,0,0,0,0,1,2
2021-01-06,BOS,MIA,1,2,28.08,11,6,4,1,5,1,0,1,1,1,13
2021-01-08,BOS,WAS,0,9,28.83,7,4,1,1,6,3,1,1,2,3,10
2021-01-15,BOS,ORL,0,27,20.73,5,4,0,0,10,0,0,0,0,2,8
2021-01-17,BOS,NYK,0,-30,19.82,4,3,2,1,7,1,0,0,2,3,7
2021-01-20,BOS,PHI,1,-8,27.15,11,10,1,1,10,1,1,0,2,5,23
2021-01-22,BOS,PHI,1,-12,24.45,3,2,1,1,2,1,0,1,0,3,7
2021-01-24,BOS,CLE,0,38,24.02,6,4,3,1,6,1,2,2,0,3,17
2021-01-25,BOS,CHI,1,16,28.25,12,8,2,1,3,3,3,3,1,4,19
2021-01-27,BOS,SAS,1,-4,12.1,3,2,1,1,1,0,0,0,1,4,5
2021-01-30,BOS,LAL,0,-1,34.85,11,5,3,2,7,1,1,1,2,1,14
2021-02-02,BOS,GSW,1,4,28.68,7,3,2,1,11,1,1,1,1,4,8
2021-02-03,BOS,SAC,1,-5,27.4,5,3,4,2,4,4,0,1,0,1,11
2021-02-05,BOS,LAC,1,4,8.67,0,0,0,0,1,1,0,0,1,1,0
2021-02-07,BOS,PHO,1,-9,34.55,9,5,3,2,6,2,0,1,0,3,12
2021-02-09,BOS,UTA,1,-14,28.05,8,5,6,5,4,0,0,1,2,6,15
2021-02-11,BOS,TOR,0,14,27.17,7,4,2,0,5,3,2,4,1,4,8
2021-02-12,BOS,DET,0,-6,31.1,12,4,4,0,9,1,1,1,2,4,11
2021-02-14,BOS,WAS,1,-13,20.42,5,1,3,0,2,2,0,0,1,3,4
2021-02-19,BOS,ATL,0,12,32.98,9,7,1,0,8,4,1,3,2,4,14
2021-02-21,BOS,NOP,1,-5,38.75,7,2,3,1,6,1,1,3,2,5,5
