Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,Rebounds,Assists,Steals,Blocks,Turnovers,Fouls,Points
2020-12-23,PHI,WAS,0, +6,18:16,6,1,4,0,0,2,2,0,1,2,2
2020-12-26,PHI,NYK,1, +20,28:02,6,2,6,2,5,3,4,0,1,2,6
2020-12-27,PHI,CLE,1, -24,17:30,2,1,1,0,3,1,0,1,1,1,4
2020-12-29,PHI,TOR,0, +7,28:34,7,3,4,1,2,0,2,2,2,1,7
2020-12-31,PHI,ORL,1, +24,18:17,4,1,4,1,0,0,0,1,1,3,3
2021-01-02,PHI,CHO,0, +15,25:47,7,4,6,3,2,4,0,0,1,3,13
2021-01-04,PHI,CHO,0, +17,22:53,10,5,8,3,6,3,1,0,1,1,13
2021-01-06,PHI,WAS,0, +5,30:18,10,5,8,5,3,5,2,0,1,3,15
2021-01-07,PHI,BRK,1, -13,32:17,5,3,5,3,5,1,1,1,2,3,9
2021-01-09,PHI,DEN,0, -12,36:10,17,4,7,2,3,5,2,1,3,4,11
2021-01-11,PHI,ATL,1, -18,28:10,9,0,7,0,3,3,0,0,2,2,2
2021-01-12,PHI,MIA,0, +3,49:49,25,10,21,9,10,6,2,2,6,0,29
2021-01-14,PHI,MIA,0, +17,25:28,8,4,7,4,6,3,1,0,1,1,12
2021-01-16,PHI,MEM,1, -2,35:56,7,3,4,1,3,3,0,3,1,2,8
2021-01-20,PHI,BOS,0, +8,28:35,8,4,8,4,6,1,1,0,1,2,12
2021-01-22,PHI,BOS,0, +12,24:34,7,2,6,1,3,1,1,1,0,1,5
2021-01-23,PHI,DET,1, +4,31:47,8,3,5,1,2,1,2,0,0,1,7
2021-01-25,PHI,DET,1, -15,22:04,6,2,4,2,1,0,1,0,0,1,6
2021-01-27,PHI,LAL,0, +1,36:14,11,5,9,4,6,1,1,2,0,1,14
2021-01-29,PHI,MIN,1, +24,23:02,2,1,2,1,3,2,2,1,2,0,3
2021-01-31,PHI,IND,1, +9,21:57,8,3,4,0,5,2,0,1,1,1,6
2021-02-03,PHI,CHO,1, +7,30:58,9,6,7,4,1,1,2,2,1,1,16
2021-02-04,PHI,POR,0, -16,26:52,5,1,5,1,5,1,0,0,1,1,3
2021-02-06,PHI,BRK,0, +16,26:10,8,4,7,3,3,0,0,0,1,0,11
2021-02-09,PHI,SAC,1, +8,27:51,6,1,3,0,5,0,0,0,3,1,4
2021-02-11,PHI,POR,1, -4,31:13,4,2,3,1,4,0,2,0,1,3,5
2021-02-13,PHI,PHO,1, -9,30:30,5,4,3,2,4,0,2,1,1,1,10
2021-02-15,PHI,UTA,1, -11,28:32,6,1,4,1,4,1,0,0,1,4,3
2021-02-17,PHI,HOU,0, +5,36:04,6,4,6,4,3,0,0,2,3,2,12
2021-02-19,PHI,CHI,0, +7,37:04,10,4,8,4,2,5,0,0,0,2,13
2021-02-21,PHI,TOR,1, -7,23:43,6,3,6,3,2,1,5,2,2,6,9
2021-02-23,PHI,TOR,1, +7,31:58,9,3,9,3,5,2,3,0,2,2,11
2021-02-25,PHI,DAL,0, +14,23:16,4,2,4,2,4,1,2,0,0,2,6
2021-02-27,PHI,CLE,0, -3,36:41,8,3,8,3,4,1,2,3,2,4,9
2021-03-01,PHI,IND,0, +16,19:15,5,1,5,1,1,1,1,1,0,2,3
2021-03-03,PHI,UTA,0, +8,22:16,6,1,5,1,4,0,1,1,0,0,3
2021-03-11,PHI,CHI,1, +22,33:03,9,3,7,3,6,4,0,1,0,1,9
2021-03-12,PHI,WAS,1, +26,31:28,9,5,5,2,6,4,2,1,0,1,12
2021-03-14,PHI,SAS,0, +35,22:31,9,6,7,4,5,0,0,2,1,2,16
2021-03-16,PHI,NYK,0, +3,22:19,10,1,7,1,1,2,4,1,3,2,3
2021-03-17,PHI,MIL,0, -4,34:30,15,6,14,6,6,0,1,1,0,3,18
2021-03-20,PHI,SAC,0, +24,32:14,13,7,6,4,3,2,3,0,0,2,18
2021-03-21,PHI,NYK,1, +1,32:57,8,4,5,3,3,1,5,3,2,0,11
2021-03-23,PHI,GSW,1, +10,32:41,9,4,8,3,2,1,0,0,0,2,11
2021-03-25,PHI,LAL,1, +8,32:33,14,9,12,8,5,0,1,2,1,5,28
2021-03-27,PHI,LAC,1, -10,27:48,10,5,9,5,0,0,0,0,0,3,17
2021-03-30,PHI,DEN,1, -9,22:59,5,2,5,2,4,3,1,1,0,0,8
2021-04-01,PHI,CLE,1, +20,26:05,8,3,7,3,6,2,3,1,1,1,11
2021-04-03,PHI,MIN,0, +9,27:15,6,3,6,3,6,3,0,1,0,3,9
2021-04-04,PHI,MEM,0, -16,23:23,7,2,6,2,3,1,0,2,0,0,6
2021-04-06,PHI,BOS,1, +10,24:04,7,6,6,5,2,1,2,0,1,3,17
2021-04-09,PHI,NOP,1, -7,29:44,6,3,5,2,7,2,0,1,2,1,8
2021-04-12,PHI,DAL,1, +18,25:24,5,2,5,2,3,2,0,1,0,0,6
2021-04-14,PHI,BRK,0, +6,30:36,4,2,3,1,1,0,1,0,1,3,7
