Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2020-12-26,HOU,POR,1,-2,38.12,8,3,4,1,4,6,0,3,1,1,0,1,1,11,-6
2020-12-28,HOU,DEN,1,-13,28.93,9,1,5,0,1,2,0,4,6,0,0,0,5,3,-9
2020-12-31,HOU,SAC,0,3,27.9,6,5,2,1,0,0,0,5,1,0,0,0,2,11,7
2021-01-02,HOU,SAC,0,8,35.53,4,1,4,1,2,2,1,6,1,0,1,0,2,5,14
2021-01-26,HOU,WAS,0,19,13.52,4,1,0,0,0,0,0,1,0,0,1,1,2,2,9
2021-01-28,HOU,POR,0,3,19.23,7,4,5,2,1,1,1,2,1,0,0,0,0,11,9
2021-01-30,HOU,NOP,1,14,27.68,7,2,5,2,2,2,0,4,4,1,1,1,1,8,9
2021-02-01,HOU,OKC,1,30,25.85,8,4,6,4,1,1,0,4,1,1,1,0,0,13,12
2021-02-03,HOU,OKC,1,-17,25.4,7,1,5,0,0,0,0,4,3,1,0,3,2,2,-18
2021-02-04,HOU,MEM,1,12,31.57,9,5,5,3,0,1,0,2,5,3,0,0,3,13,-14
2021-02-06,HOU,SAS,0,-5,25.28,11,4,8,3,1,2,1,5,0,1,0,1,4,12,-3
2021-02-08,HOU,CHO,1,-25,30.38,11,5,7,2,1,2,1,3,2,0,0,1,1,13,-19
2021-02-09,HOU,NOP,1,-29,34.28,13,4,7,1,4,4,3,8,5,3,0,1,3,13,-21
2021-02-11,HOU,MIA,0,-7,31.02,13,3,9,1,2,2,0,2,1,1,1,1,2,9,-8
2021-02-13,HOU,NYK,1,-22,22.6,8,0,5,0,0,0,0,2,1,0,3,1,0,0,-10
2021-02-15,HOU,WAS,1,-12,35.88,10,6,4,1,4,5,1,5,3,1,1,4,2,17,-5
2021-02-17,HOU,PHI,1,-5,20.57,4,3,3,2,0,0,2,2,1,0,0,1,1,8,-13
2021-02-22,HOU,CHI,0,-20,26.03,9,5,5,4,1,2,1,6,2,1,0,0,1,15,-37
2021-02-24,HOU,CLE,1,-16,34.15,14,6,5,2,0,0,1,5,3,0,3,0,3,14,-9
2021-02-26,HOU,TOR,1,-11,33.3,8,3,7,3,2,2,1,6,1,0,0,3,5,11,-27
2021-02-28,HOU,MEM,0,-49,23.5,11,2,6,0,1,1,3,5,0,0,0,2,1,5,-26
2021-03-01,HOU,CLE,0,-11,10.85,3,1,2,1,1,2,0,3,0,0,0,0,2,4,-8
2021-03-17,HOU,GSW,0,-14,24.25,8,4,2,2,1,5,0,3,1,0,0,1,1,11,-15
2021-03-19,HOU,DET,0,-13,34.42,10,4,4,2,0,0,0,4,2,1,0,0,4,10,-11
2021-03-21,HOU,OKC,0,-2,33.15,9,7,4,3,1,2,1,8,2,1,0,0,1,18,-1
2021-03-22,HOU,TOR,0,18,36.78,5,4,3,2,2,3,0,3,6,0,1,3,3,12,14
2021-03-24,HOU,CHO,0,-25,24.73,7,4,3,2,0,0,1,5,1,1,0,0,2,10,-16
2021-03-29,HOU,MEM,0,-10,24.05,3,0,1,0,2,4,0,3,3,1,0,1,1,2,0
2021-03-31,HOU,BRK,1,-12,30.12,10,5,8,4,4,6,0,5,1,1,1,3,3,18,-5
2021-04-02,HOU,BOS,1,-16,22.35,6,2,4,1,0,0,0,2,0,0,0,1,1,5,-13
2021-04-04,HOU,NOP,0,-7,11.77,2,0,1,0,1,2,0,1,1,0,0,0,2,1,-6
2021-04-23,HOU,LAC,0,-5,20.97,4,2,3,1,0,0,0,1,0,0,0,0,1,5,-4
2021-04-27,HOU,MIN,0,-7,20.75,3,1,2,0,0,0,0,2,2,0,2,1,1,2,0
2021-05-07,HOU,MIL,1,-8,16.03,7,2,5,1,1,3,0,2,7,1,0,2,3,6,1
2021-05-08,HOU,UTA,1,-8,18.08,8,3,5,2,1,1,0,3,1,0,0,1,1,9,9
2021-05-10,HOU,POR,1,-11,13.37,6,3,2,0,0,0,0,3,0,0,0,2,0,6,-1
