Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,Rebounds,Assists,Steals,Blocks,Turnovers,Fouls,Points
2020-12-29,PHO,NOP,0, +25,14:16,4,3,3,2,4,1,1,0,3,1,10
2020-12-31,PHO,UTA,1, +11,18:10,7,1,5,1,5,1,0,0,2,2,5
2021-01-03,PHO,LAC,0, -5,17:02,9,6,5,2,4,1,1,0,2,3,15
2021-01-06,PHO,TOR,0, +8,16:34,11,6,3,2,5,1,0,0,0,2,15
2021-01-08,PHO,DET,1, -5,28:19,12,4,6,2,6,0,2,0,4,3,12
2021-01-09,PHO,IND,1, +8,16:54,7,2,2,0,2,2,0,0,0,1,4
2021-01-11,PHO,WAS,1, -21,20:19,8,4,4,1,6,1,0,1,0,2,13
2021-02-13,PHO,PHI,0, +9,19:50,10,5,4,1,2,4,4,1,1,4,15
2021-02-14,PHO,ORL,0, +19,15:51,7,2,2,0,5,0,0,0,2,1,7
2021-02-16,PHO,BRK,0, -4,13:25,5,2,1,0,1,1,2,0,0,1,8
2021-02-19,PHO,NOP,1, +18,10:27,5,2,3,1,3,0,0,0,2,0,5
2021-02-20,PHO,MEM,1, +31,19:08,9,7,5,3,1,1,0,0,1,4,19
2021-02-22,PHO,POR,0, +32,21:23,12,5,4,2,9,1,0,0,0,0,14
2021-02-24,PHO,CHO,0, -3,15:31,4,2,1,0,4,2,3,0,0,2,6
2021-02-28,PHO,MIN,1, +19,15:53,7,5,5,3,3,0,0,1,1,3,13
2021-03-02,PHO,LAL,1, +10,26:20,17,7,5,2,5,3,1,0,2,1,21
2021-03-04,PHO,GSW,0, +22,17:49,9,6,3,1,3,3,0,0,1,3,13
2021-03-11,PHO,POR,1, +6,24:12,9,5,2,0,5,2,0,0,1,4,11
2021-03-13,PHO,IND,0, -11,26:12,9,6,4,3,5,1,0,0,3,4,17
2021-03-15,PHO,MEM,0, +23,20:11,7,3,3,1,6,2,0,0,2,5,7
2021-03-18,PHO,MIN,0, -4,21:39,8,3,3,1,8,1,0,0,3,3,8
2021-03-19,PHO,MIN,0, +12,23:33,4,1,2,0,5,1,0,0,3,1,2
2021-03-21,PHO,LAL,0, +17,15:05,6,1,3,0,2,2,0,0,2,2,4
2021-03-23,PHO,MIA,1, +10,12:13,4,1,0,0,2,0,0,0,2,5,2
2021-03-24,PHO,ORL,1, -1,14:11,6,2,1,0,5,1,0,0,0,0,4
2021-03-26,PHO,TOR,1, +4,18:48,9,3,3,0,4,1,0,0,0,2,8
2021-03-28,PHO,CHO,1, +4,17:56,5,1,1,0,4,1,1,0,1,1,6
2021-03-30,PHO,ATL,0, +7,17:53,8,7,3,3,5,2,0,0,1,0,20
2021-03-31,PHO,CHI,0, +5,20:27,9,6,5,3,4,2,1,0,0,2,16
2021-04-02,PHO,OKC,0, +37,17:04,9,4,5,1,3,2,0,0,0,1,11
2021-04-05,PHO,HOU,1, +3,14:21,6,0,3,0,2,2,1,0,0,1,1
2021-04-07,PHO,UTA,0, +4,11:20,3,2,0,0,8,1,0,0,0,2,6
2021-04-08,PHO,LAC,1, -10,12:44,4,0,1,0,1,0,1,0,2,0,2
2021-04-10,PHO,WAS,0, +28,18:50,8,4,2,1,3,3,1,0,0,1,9
2021-04-12,PHO,HOU,0, +6,17:51,8,3,3,2,5,0,1,0,1,1,9
2021-04-13,PHO,MIA,0, +20,17:56,5,4,1,0,5,2,0,0,0,0,13
2021-04-15,PHO,SAC,0, +8,12:15,6,3,3,2,4,1,1,0,1,4,8
2021-04-17,PHO,SAS,0, -26,9:17,1,0,1,0,2,2,0,0,2,1,2
2021-04-19,PHO,MIL,1, +1,18:25,7,1,4,0,5,1,1,0,4,2,2
2021-04-21,PHO,PHI,1, +3,18:27,4,2,2,0,1,3,0,0,0,5,7
2021-04-22,PHO,BOS,1, -13,11:03,5,1,2,0,0,0,2,0,2,1,2
2021-04-30,PHO,UTA,0, +21,22:40,4,3,1,1,1,1,1,0,1,0,8
2021-05-02,PHO,OKC,1, +3,14:01,4,2,3,2,5,3,0,1,0,2,8
2021-05-04,PHO,CLE,1, +16,12:03,3,2,2,2,5,0,0,0,1,3,7
2021-05-05,PHO,ATL,1, -32,8:02,2,0,1,0,0,0,0,0,0,0,0
2021-05-07,PHO,NYK,0, +23,5:31,1,0,1,0,0,0,0,0,0,1,0
2021-05-09,PHO,LAL,1, -13,13:12,3,1,1,0,2,0,0,0,1,3,4
2021-05-13,PHO,POR,0, +1,30:50,12,4,4,1,5,1,1,0,2,2,12
2021-05-15,PHO,SAS,1, +37,18:15,8,3,1,0,6,1,2,0,0,2,13
2021-05-16,PHO,SAS,1, +2,26:52,12,6,3,1,4,4,2,0,1,1,13
