Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2020-12-23,SAC,DEN,1,2,38.72,20,8,2,1,4,5,2,4,7,1,1,2,2,21,-2
2020-12-26,SAC,PHO,0,3,34.9,14,7,7,3,7,8,1,4,7,1,2,5,2,24,-3
2020-12-27,SAC,PHO,0,-16,26.57,12,4,2,0,4,6,0,0,4,0,0,5,5,12,-9
2020-12-29,SAC,DEN,0,10,35.05,15,8,4,2,6,7,1,3,9,2,1,2,2,24,7
2020-12-31,SAC,HOU,1,-3,35.17,23,9,7,1,3,6,2,5,6,4,1,2,2,22,-3
2021-01-02,SAC,HOU,1,-8,35.77,19,8,3,0,7,10,0,2,4,2,1,3,4,23,-9
2021-01-04,SAC,GSW,1,-31,30.8,17,7,4,2,2,4,0,4,7,3,1,3,3,18,-15
2021-01-06,SAC,CHI,0,4,5.23,2,1,1,0,1,2,0,0,1,0,0,0,0,3,2
2021-01-08,SAC,TOR,0,-21,24.9,11,9,1,0,5,7,0,1,3,2,1,4,1,23,-8
2021-01-09,SAC,POR,0,-26,25.45,9,3,1,0,4,6,0,2,2,0,0,3,4,10,-32
2021-01-11,SAC,IND,0,5,38.43,19,7,6,2,5,7,0,5,9,1,1,5,3,21,9
2021-01-13,SAC,POR,0,-6,36.38,18,9,8,5,6,8,2,6,6,1,0,2,1,29,0
2021-01-15,SAC,LAC,0,-38,23.15,11,6,3,1,1,2,0,1,3,0,0,4,0,14,-15
2021-01-17,SAC,NOP,0,-5,39.03,27,17,9,3,6,8,1,4,13,4,0,2,3,43,18
2021-01-20,SAC,LAC,1,-19,34.0,18,10,4,2,3,8,0,4,7,1,0,6,2,25,-22
2021-01-22,SAC,NYK,0,9,37.32,20,7,7,3,5,8,0,3,7,1,1,0,3,22,9
2021-01-27,SAC,ORL,1,14,39.0,17,4,5,1,7,8,1,8,10,0,1,2,5,16,19
2021-01-29,SAC,TOR,1,2,34.42,14,8,5,3,5,7,1,2,4,1,0,7,4,24,-2
2021-01-30,SAC,MIA,1,-1,31.63,26,12,11,3,3,8,2,6,6,1,0,5,5,30,-1
2021-02-01,SAC,NOP,1,9,39.68,24,14,10,3,7,7,2,4,12,1,0,6,3,38,7
2021-02-03,SAC,BOS,0,5,38.08,17,9,5,2,6,6,0,1,11,2,0,3,2,26,4
2021-02-06,SAC,DEN,0,5,38.15,20,9,7,4,2,4,0,2,5,0,0,2,0,24,3
2021-02-07,SAC,LAC,1,3,35.98,25,15,7,2,4,8,1,4,7,0,1,1,5,36,7
2021-02-09,SAC,PHI,0,-8,38.93,30,13,10,3,5,8,0,6,10,1,0,3,4,34,-10
2021-02-14,SAC,MEM,0,-14,29.98,15,7,8,1,8,11,1,2,9,1,1,1,3,23,-22
2021-02-15,SAC,BRK,0,-11,33.72,17,8,3,1,2,2,1,3,8,2,0,3,2,19,-21
2021-02-18,SAC,MIA,0,-8,31.98,12,5,3,0,1,2,0,4,10,1,0,4,3,11,-8
2021-02-20,SAC,CHI,1,-8,39.65,17,7,4,1,5,9,1,3,9,2,0,4,4,20,-16
2021-02-21,SAC,MIL,1,-13,34.37,17,5,5,2,1,2,0,1,10,2,0,4,3,13,-16
2021-02-23,SAC,BRK,1,-9,38.48,18,9,8,5,4,7,0,1,8,0,1,4,3,27,-22
2021-02-25,SAC,NYK,1,-19,38.5,18,9,7,3,8,10,1,4,11,1,0,6,3,29,-14
2021-02-26,SAC,DET,1,3,38.4,21,9,7,1,8,11,0,5,6,1,2,2,3,27,10
2021-02-28,SAC,CHO,0,-1,40.55,22,9,3,1,1,4,0,1,14,1,0,2,4,20,-3
2021-03-03,SAC,LAL,0,3,36.37,18,9,4,1,4,6,0,0,8,3,0,7,6,23,-5
2021-03-04,SAC,POR,1,-4,38.83,26,12,6,2,6,10,3,8,12,0,1,1,3,32,-5
2021-03-11,SAC,HOU,0,20,33.62,19,11,7,3,5,6,0,7,9,2,0,3,3,30,31
2021-03-13,SAC,ATL,1,-15,40.23,24,11,10,2,8,10,3,7,6,1,0,3,5,32,-5
2021-03-15,SAC,CHO,1,-6,37.27,22,11,5,1,6,9,0,4,8,0,0,2,5,29,1
2021-03-17,SAC,WAS,1,2,36.25,21,8,6,1,11,13,0,1,7,5,0,3,5,28,7
2021-03-19,SAC,BOS,1,11,37.03,20,11,7,3,4,5,0,2,5,2,0,2,1,29,13
2021-03-20,SAC,PHI,1,-24,33.07,14,5,4,0,6,9,0,4,6,0,0,2,3,16,-23
2021-03-22,SAC,CLE,1,14,38.07,23,13,5,1,3,6,0,6,6,2,0,3,4,30,17
2021-03-24,SAC,ATL,0,2,39.55,20,13,4,3,8,9,0,2,3,2,1,3,0,37,5
2021-03-25,SAC,GSW,0,22,35.67,22,16,7,3,9,10,0,2,7,3,0,2,3,44,9
2021-03-27,SAC,CLE,0,2,38.23,24,15,8,2,4,4,0,4,6,1,2,3,4,36,5
2021-03-29,SAC,SAS,1,17,33.83,18,9,6,2,4,5,0,3,5,2,2,0,2,24,18
2021-03-31,SAC,SAS,1,-14,33.68,18,7,5,1,5,6,0,0,4,0,1,4,3,20,-25
2021-04-02,SAC,LAL,0,-21,28.73,20,5,4,0,2,4,0,1,5,3,1,2,0,12,-24
2021-04-03,SAC,MIL,0,-1,37.65,24,10,7,2,5,5,0,3,6,1,1,3,4,27,-10
2021-04-05,SAC,MIN,1,-10,37.5,16,8,4,2,13,15,1,6,9,2,0,4,3,31,-6
2021-04-08,SAC,DET,0,-12,36.7,19,8,5,0,7,11,1,9,7,2,0,3,5,23,-6
2021-04-10,SAC,UTA,1,-16,39.25,20,11,7,4,4,6,0,2,8,2,0,1,3,30,-26
2021-04-12,SAC,NOP,1,-7,38.82,30,15,13,5,8,15,0,6,6,1,0,4,3,43,-7
2021-04-14,SAC,WAS,0,-12,39.53,28,13,3,1,6,6,2,5,6,6,1,3,3,33,-3
2021-04-15,SAC,PHO,1,-8,40.43,21,11,4,0,5,7,1,3,8,1,0,4,1,27,-13
2021-04-18,SAC,DAL,1,14,36.78,21,12,2,0,6,7,0,4,12,2,0,0,2,30,23
2021-04-20,SAC,MIN,0,-14,27.63,17,5,4,2,2,3,2,4,6,2,0,3,2,14,-21
2021-04-21,SAC,MIN,0,3,39.02,20,8,6,1,13,14,0,5,7,2,1,2,4,30,13
