Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,Rebounds,Assists,Steals,Blocks,Turnovers,Fouls,Points
2020-12-23,CLE,CHO,0,7,15.87,4,3,2,1,0,3,3,0,2,3,7
2020-12-27,CLE,PHI,0,24,14.42,4,1,3,1,4,0,0,1,1,2,3
2020-12-29,CLE,NYK,0,-9,2.53,0,0,0,0,0,0,1,0,1,1,0
2020-12-31,CLE,IND,1,-20,6.17,0,0,0,0,0,0,0,0,0,1,0
2021-01-02,CLE,ATL,1,5,9.13,2,0,2,0,1,0,0,0,0,1,0
2021-01-04,CLE,ORL,1,-20,14.7,4,0,3,0,1,0,0,0,0,0,0
2021-01-06,CLE,ORL,1,-11,12.87,2,0,1,0,0,0,0,0,0,0,2
2021-01-07,CLE,MEM,1,4,12.22,2,2,2,2,1,2,0,0,0,1,6
2021-01-09,CLE,MIL,1,-10,14.58,3,3,1,1,3,0,0,0,0,0,7
2021-01-11,CLE,MEM,0,-10,14.4,3,0,1,0,4,0,0,0,1,1,0
2021-01-12,CLE,UTA,0,-30,19.28,6,2,5,2,3,2,1,0,0,0,6
2021-01-15,CLE,NYK,0,3,1.85,0,0,0,0,1,0,0,0,0,1,0
2021-01-22,CLE,BRK,0,12,1.23,0,0,0,0,0,0,0,0,1,1,0
2021-01-24,CLE,BOS,1,-38,7.53,0,0,0,0,0,2,0,0,0,0,0
2021-01-27,CLE,DET,0,15,1.57,0,0,0,0,0,0,0,0,0,0,0
2021-01-29,CLE,NYK,1,-21,6.05,2,0,1,0,0,0,0,0,2,1,0
2021-02-03,CLE,LAC,0,-22,3.93,2,0,0,0,0,0,0,0,0,0,0
2021-02-05,CLE,MIL,0,-18,1.68,1,0,1,0,1,0,0,0,0,0,0
2021-02-06,CLE,MIL,0,-25,5.12,2,0,2,0,1,0,0,0,0,1,0
2021-02-10,CLE,DEN,1,-38,7.67,5,3,4,2,2,0,0,1,1,1,8
2021-02-12,CLE,POR,1,-19,2.32,1,1,1,1,0,0,0,0,0,0,3
2021-02-14,CLE,LAC,1,-17,4.02,2,1,1,0,1,1,0,0,0,0,3
2021-02-15,CLE,GSW,1,-31,13.12,4,1,3,1,6,0,0,0,1,1,4
2021-02-23,CLE,ATL,0,1,20.8,3,2,2,1,2,2,0,2,0,1,5
2021-02-24,CLE,HOU,0,16,20.08,4,4,2,2,6,2,0,0,0,1,11
2021-02-27,CLE,PHI,1,3,27.45,4,1,3,1,12,1,0,0,0,0,6
2021-03-01,CLE,HOU,1,11,28.38,5,3,4,2,5,1,0,1,0,2,8
2021-03-03,CLE,IND,0,-3,30.75,9,6,8,5,6,2,1,0,2,3,17
2021-03-12,CLE,NOP,1,-34,14.22,4,0,3,0,1,1,0,3,0,0,0
