Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,Rebounds,Assists,Steals,Blocks,Turnovers,Fouls,Points
2020-12-23,DET,MIN,1, -10,19:09,5,2,3,1,2,4,1,0,1,0,5
2020-12-26,DET,CLE,0, -9,42:12,9,5,3,2,6,4,0,1,1,0,19
2020-12-28,DET,ATL,1, -8,21:45,9,5,2,1,5,4,0,2,2,3,18
2020-12-29,DET,GSW,0, -10,28:01,5,2,2,1,1,3,0,0,2,1,5
2021-01-01,DET,BOS,0, +3,21:56,4,1,1,0,2,2,0,0,2,1,2
2021-01-03,DET,BOS,0, -2,18:25,2,1,0,0,3,3,2,1,1,0,4
2021-01-04,DET,MIL,1, -10,9:58,2,1,1,0,2,2,1,0,1,1,2
2021-01-06,DET,MIL,1, -15,25:00,8,1,5,1,1,3,1,0,0,0,3
2021-01-08,DET,PHO,0, +5,33:35,11,7,1,0,5,6,0,0,1,1,16
2021-01-10,DET,UTA,0, -10,36:09,9,2,1,0,5,3,2,2,0,0,6
2021-01-13,DET,MIL,0, -9,32:24,10,1,3,1,8,7,1,1,0,1,3
2021-01-16,DET,MIA,1, +20,25:38,7,3,5,2,4,10,0,1,1,1,8
2021-01-18,DET,MIA,1, -6,21:28,4,1,0,0,3,2,2,0,0,0,2
2021-01-20,DET,ATL,1, -8,25:28,7,3,2,0,5,4,3,1,1,6,7
2021-01-22,DET,HOU,0, -1,28:27,14,8,3,2,6,2,3,0,1,1,18
2021-01-23,DET,PHI,0, -4,35:41,8,3,2,1,7,6,0,1,2,2,10
2021-01-25,DET,PHI,0, +15,36:00,12,8,8,4,7,9,2,1,3,1,28
2021-01-27,DET,CLE,1, -15,30:25,8,3,3,1,4,7,3,1,2,1,11
2021-01-28,DET,LAL,0, +15,26:44,7,3,2,0,8,6,2,0,0,0,6
2021-01-30,DET,GSW,1, -27,23:24,6,2,3,1,6,4,1,0,0,1,7
2021-02-02,DET,UTA,1, -12,31:51,13,4,3,0,5,1,4,0,2,1,8
2021-02-05,DET,PHO,1, -17,24:54,7,2,2,0,8,6,4,0,0,0,5
2021-02-06,DET,LAL,1, -6,45:31,10,8,4,4,1,10,2,0,3,4,22
2021-02-09,DET,BRK,0, +11,37:06,16,7,3,0,4,9,2,0,2,1,22
2021-02-11,DET,IND,0, -16,32:14,10,3,2,0,5,3,0,2,1,1,6
2021-02-12,DET,BOS,1, +6,34:54,9,7,1,1,6,7,1,1,2,0,22
2021-02-14,DET,NOP,0, +11,36:11,7,6,1,1,7,6,0,0,1,1,17
2021-02-17,DET,CHI,1, -3,38:32,9,5,2,0,4,4,3,0,2,1,12
2021-02-19,DET,MEM,1, -14,24:54,7,6,5,4,3,4,2,0,1,2,16
2021-03-11,DET,CHO,1, -3,21:55,4,2,3,1,3,4,0,0,1,4,5
2021-03-13,DET,BRK,1, -5,31:23,10,5,3,2,4,5,3,0,2,2,13
2021-03-15,DET,SAS,0, -10,31:30,11,4,2,0,4,8,3,1,1,1,8
2021-03-17,DET,TOR,0, +4,37:37,12,7,3,0,10,8,2,0,5,3,18
2021-03-19,DET,HOU,1, +13,28:01,6,1,1,0,3,8,2,1,0,1,6
2021-03-21,DET,CHI,0, -14,26:13,8,4,2,0,3,4,1,0,2,1,8
2021-03-24,DET,IND,1, -5,27:33,7,3,2,0,4,3,5,2,2,1,6
2021-03-27,SAC,CLE,0, +2,22:49,4,1,1,0,3,2,0,0,1,0,4
2021-03-29,SAC,SAS,1, +17,22:52,2,0,1,0,4,5,1,0,1,2,2
2021-03-31,SAC,SAS,1, -14,22:08,10,5,3,2,3,3,2,0,0,1,16
2021-04-02,SAC,LAL,0, -21,21:15,7,5,4,3,3,1,0,0,0,0,13
2021-04-03,SAC,MIL,0, -1,17:47,8,3,2,0,3,2,1,0,0,0,10
2021-04-05,SAC,MIN,1, -10,19:37,7,2,4,0,2,1,0,0,3,1,4
2021-04-08,SAC,DET,0, -12,21:54,7,2,2,1,4,1,2,0,0,0,5
2021-04-10,SAC,UTA,1, -16,8:52,0,0,0,0,1,1,0,0,0,0,0
2021-04-12,SAC,NOP,1, -7,22:44,11,5,2,1,1,0,4,0,2,2,12
2021-04-14,SAC,WAS,0, -12,15:21,2,0,1,0,0,1,1,0,1,2,0
2021-04-15,SAC,PHO,1, -8,27:55,10,6,3,2,4,4,1,0,1,0,16
2021-04-18,SAC,DAL,1, +14,25:51,6,3,2,1,5,3,2,0,0,0,13
2021-04-20,SAC,MIN,0, -14,26:41,8,5,7,4,3,5,3,1,0,2,14
2021-04-21,SAC,MIN,0, +3,14:35,3,1,0,0,0,1,0,0,0,0,2
2021-04-25,SAC,GSW,1, -4,27:04,5,2,2,0,6,5,2,1,0,3,7
2021-04-26,SAC,DAL,0, +7,21:50,9,3,1,1,6,1,0,0,2,0,7
2021-04-28,SAC,UTA,0, -49,26:10,9,3,2,0,2,0,2,1,2,4,8
2021-04-30,SAC,LAL,1, +4,26:34,11,4,5,3,6,7,1,1,2,1,11
2021-05-02,SAC,DAL,1, +12,31:04,9,7,2,0,2,5,2,0,3,1,14
2021-05-04,SAC,OKC,1, +4,36:42,15,6,5,1,10,8,4,4,1,1,13
2021-05-05,SAC,IND,1, +11,39:43,14,8,5,3,7,6,6,1,2,1,23
2021-05-07,SAC,SAS,0, -9,38:58,16,8,3,1,7,9,1,0,4,4,17
2021-05-09,SAC,OKC,0, +28,32:36,10,6,6,3,7,5,1,0,3,0,15
2021-05-11,SAC,OKC,0, +16,33:15,11,8,7,5,4,8,4,0,2,1,21
2021-05-13,SAC,MEM,1, -6,37:21,15,7,5,1,4,8,1,0,1,2,15
2021-05-14,SAC,MEM,1, -1,23:39,8,1,3,0,5,2,1,0,2,1,2
2021-05-16,SAC,UTA,0, -22,30:32,8,3,5,1,3,3,1,2,2,1,7
