Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,Rebounds,Assists,Steals,Blocks,Turnovers,Fouls,Points
2020-12-23,WAS,PHI,1,-6,28.1,2,2,2,2,4,1,1,0,1,3,7
2020-12-26,WAS,ORL,0,-10,14.67,2,2,1,1,3,2,0,0,0,4,5
2020-12-27,WAS,ORL,0,-7,36.18,11,4,5,1,9,3,2,0,1,1,9
2020-12-29,WAS,CHI,0,-8,26.32,6,3,5,3,4,4,2,1,1,5,9
2020-12-31,WAS,CHI,0,-3,24.53,5,2,3,0,4,3,0,0,0,1,6
2021-01-01,WAS,MIN,1,21,27.23,7,4,5,3,7,3,3,0,1,3,11
2021-01-03,WAS,BRK,1,1,16.38,4,1,2,1,1,1,1,1,1,2,3
2021-01-06,WAS,PHI,1,-5,15.52,1,0,1,0,0,0,0,1,0,3,1
2021-01-08,WAS,BOS,1,-9,14.42,3,0,2,0,2,1,0,0,0,2,0
2021-01-09,WAS,MIA,0,-4,31.63,15,7,9,5,5,5,2,0,0,2,20
2021-01-11,WAS,PHO,0,21,19.8,6,3,0,0,5,1,0,0,2,3,6
2021-01-31,WAS,BRK,0,3,15.68,4,1,2,0,2,0,0,0,0,2,2
2021-02-02,WAS,POR,0,-11,23.07,6,5,3,2,7,3,0,0,0,3,13
2021-02-03,WAS,MIA,1,3,32.92,9,5,5,3,4,0,1,0,2,2,13
2021-02-05,WAS,MIA,1,-27,16.1,5,2,2,0,6,0,1,1,0,3,4
2021-02-07,WAS,CHO,1,-22,15.42,5,2,2,0,2,2,0,0,1,1,4
2021-02-08,WAS,CHI,1,4,28.45,9,2,5,0,10,1,3,0,1,4,4
2021-02-10,WAS,TOR,0,-22,26.67,7,3,6,2,7,3,0,0,2,3,9
2021-02-12,WAS,NYK,0,-18,21.5,9,3,5,1,6,0,0,0,2,3,8
2021-02-14,WAS,BOS,0,13,27.98,9,2,5,1,10,0,0,0,2,4,8
2021-02-15,WAS,HOU,0,12,19.65,4,2,3,1,3,0,0,0,0,5,5
2021-02-17,WAS,DEN,0,2,20.67,3,1,3,1,7,2,1,0,1,2,3
2021-02-20,WAS,POR,1,7,11.08,1,1,0,0,3,0,0,0,0,2,2
2021-02-22,WAS,LAL,1,3,22.53,5,3,3,2,9,2,1,0,1,1,8
2021-02-23,WAS,LAC,1,-19,11.52,2,0,1,0,1,0,0,0,2,3,0
2021-02-25,WAS,DEN,1,2,19.52,1,1,0,0,2,1,0,0,0,0,2
2021-02-27,WAS,MIN,0,16,20.82,6,1,2,0,2,0,0,1,1,4,2
2021-02-28,WAS,BOS,1,-1,6.77,1,0,1,0,1,0,1,0,0,3,0
2021-03-02,WAS,MEM,0,-14,25.68,7,4,4,2,7,1,0,0,2,0,10
2021-03-04,WAS,LAC,0,2,24.88,2,2,0,0,7,0,1,1,0,1,4
2021-03-10,WAS,MEM,1,-15,24.22,8,5,5,3,6,1,1,0,0,2,13
2021-03-12,WAS,PHI,0,-26,28.27,6,2,3,0,5,1,0,0,1,5,4
2021-03-13,WAS,MIL,0,-6,35.0,10,4,6,1,4,1,1,1,1,5,9
2021-03-15,WAS,MIL,0,-11,31.32,9,5,4,1,6,2,0,0,1,3,11
2021-03-17,WAS,SAC,0,-2,17.73,5,3,2,0,2,1,0,1,1,2,6
2021-03-18,WAS,UTA,0,9,20.38,3,0,3,0,4,1,0,0,0,3,2
2021-03-21,WAS,BRK,1,-7,11.12,2,0,1,0,1,0,0,0,0,1,0
2021-03-23,WAS,NYK,1,-18,21.78,7,5,4,2,4,0,0,0,0,6,14
2021-03-25,WAS,NYK,1,-4,10.92,4,0,1,0,2,0,0,1,0,4,0
2021-03-27,WAS,DET,0,14,26.85,6,2,3,1,5,2,2,0,0,0,5
2021-03-29,WAS,IND,0,8,31.52,6,4,3,2,8,1,0,0,0,2,12
2021-03-30,WAS,CHO,0,-10,32.17,10,1,7,1,8,0,0,1,1,6,3
2021-04-01,WAS,DET,1,-29,33.97,10,4,4,1,10,1,1,0,1,3,11
2021-04-03,WAS,DAL,0,-22,39.35,11,4,4,0,8,1,0,0,0,3,9
2021-04-05,WAS,TOR,1,-2,39.65,10,4,6,2,10,1,0,1,0,1,12
2021-04-07,WAS,ORL,1,15,29.52,10,6,7,4,5,2,0,0,0,2,16
2021-04-09,WAS,GSW,1,3,21.4,6,0,3,0,4,3,2,0,0,1,2
2021-04-10,WAS,PHO,1,-28,31.28,6,2,4,2,6,2,0,0,1,4,9
2021-04-12,WAS,UTA,1,4,9.85,0,0,0,0,2,0,0,1,0,4,0
2021-04-14,WAS,SAC,1,12,31.12,7,5,2,1,4,0,1,1,0,2,11
2021-04-16,WAS,NOP,0,2,20.17,2,0,2,0,4,2,1,1,0,3,0
2021-04-17,WAS,DET,0,21,23.57,1,1,1,1,5,2,2,1,1,1,3
2021-04-19,WAS,OKC,0,12,26.2,11,3,6,0,6,0,0,0,0,2,6
2021-04-21,WAS,GSW,0,4,13.85,5,2,0,0,3,0,1,0,1,0,6
