Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,Rebounds,Assists,Steals,Blocks,Turnovers,Fouls,Points
2020-12-26,NYK,PHI,0, -20,17:38,5,1,2,0,2,2,1,0,1,4,4
2021-01-10,NYK,DEN,0, -25,6:22,3,1,1,0,0,1,2,0,0,0,4
2021-01-17,NYK,BOS,1, +30,3:44,2,0,1,0,0,0,0,0,0,0,1
2021-02-11,DET,IND,0, -16,15:46,5,2,1,0,2,0,0,0,1,0,4
2021-02-12,DET,BOS,1, +6,13:06,3,0,1,0,2,5,0,0,2,1,0
2021-02-14,DET,NOP,0, +11,11:49,6,3,2,1,2,2,0,1,1,0,9
2021-02-17,DET,CHI,1, -3,16:32,9,4,4,1,0,1,0,0,0,0,10
2021-02-19,DET,MEM,1, -14,23:06,7,0,4,0,4,5,3,3,2,5,0
2021-02-21,DET,ORL,1, -9,15:25,6,2,4,2,0,2,2,0,4,2,6
2021-02-23,DET,ORL,1, +12,18:20,9,6,3,2,3,1,1,2,1,1,14
2021-02-24,DET,NOP,1, -10,26:06,12,5,3,1,3,7,3,0,0,2,11
2021-02-26,DET,SAC,0, -3,26:33,13,7,5,2,1,6,0,1,0,2,17
2021-02-28,DET,NYK,0, -19,26:54,11,3,4,1,7,4,3,1,0,2,7
2021-03-03,DET,TOR,1, +24,27:09,9,3,5,2,12,11,3,0,3,2,10
2021-03-04,DET,NYK,1, -10,26:00,9,5,4,2,2,2,0,0,2,2,12
2021-03-11,DET,CHO,1, -3,21:52,7,2,5,2,3,2,0,2,0,2,6
2021-03-19,DET,HOU,1, +13,18:59,3,2,1,1,0,5,0,1,2,2,5
2021-03-21,DET,CHI,0, -14,18:18,5,3,1,0,4,5,2,1,1,1,7
2021-03-24,DET,IND,1, -5,15:28,4,2,0,0,3,5,0,2,3,2,4
2021-04-03,DET,NYK,0, -44,11:34,4,2,2,1,3,2,1,0,1,1,5
2021-04-06,DET,DEN,1, -15,13:42,3,1,1,1,1,2,0,0,1,0,6
2021-04-08,DET,SAC,1, +12,26:44,5,3,1,0,1,4,0,0,0,5,8
2021-04-10,DET,POR,1, -15,18:53,5,1,3,0,0,3,2,0,1,1,4
