Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2020-12-23,POR,UTA,0,-20,25.58,9,3,5,3,0,0,1,4,0,0,0,1,3,9,-16
2020-12-26,POR,HOU,0,2,36.4,4,2,0,0,2,4,2,6,1,1,1,0,5,6,5
2020-12-28,POR,LAL,1,8,36.78,9,1,5,0,3,4,0,2,1,0,3,1,4,5,0
2020-12-30,POR,LAC,1,-23,34.9,6,2,3,1,1,2,0,3,0,1,0,0,0,6,-14
2021-01-01,POR,GSW,1,25,32.78,7,3,2,1,1,2,4,8,3,5,0,0,4,8,32
2021-01-03,POR,GSW,1,-15,16.9,2,1,1,0,1,2,1,1,0,0,0,2,5,3,-8
2021-01-05,POR,CHI,0,-3,31.37,7,2,3,0,1,4,2,3,1,3,1,1,0,5,-5
2021-01-07,POR,MIN,0,18,18.82,4,3,2,1,2,2,0,3,1,1,0,0,4,9,16
2021-01-09,POR,SAC,1,26,20.53,6,4,2,1,0,0,0,2,0,1,1,1,2,9,32
2021-01-11,POR,TOR,0,1,19.28,3,1,2,0,2,2,1,3,1,1,1,0,0,4,8
2021-01-13,POR,SAC,1,6,22.27,5,3,3,1,1,2,2,4,0,0,0,0,4,8,3
2021-01-14,POR,IND,0,-24,21.85,4,4,1,1,0,0,2,6,0,0,3,2,2,9,-8
2021-01-16,POR,ATL,0,6,34.12,12,5,4,0,0,0,5,9,0,2,0,2,3,10,15
2021-01-18,POR,SAS,0,-21,29.77,4,2,2,0,1,3,1,5,1,2,3,0,1,5,-2
2021-01-24,POR,NYK,0,3,31.38,8,5,3,1,3,5,2,5,2,0,0,2,3,14,2
2021-01-25,POR,OKC,0,-3,26.8,4,2,2,0,1,2,1,2,0,0,0,1,3,5,-14
2021-01-28,POR,HOU,1,-3,26.9,8,5,3,1,0,0,4,7,0,1,3,0,1,11,0
2021-02-06,POR,NYK,1,-11,18.03,3,1,2,1,0,0,0,0,1,0,0,1,1,3,-4
2021-02-09,POR,ORL,0,9,29.1,6,3,3,1,1,1,6,10,0,0,0,0,3,8,2
2021-02-11,POR,PHI,0,4,23.13,9,3,5,2,1,2,4,7,1,0,1,0,4,9,0
2021-02-12,POR,CLE,0,19,19.2,2,1,1,0,3,4,0,5,0,0,0,1,2,5,24
2021-02-14,POR,DAL,1,3,32.27,4,2,2,0,2,2,1,4,0,0,2,0,3,6,2
2021-02-16,POR,OKC,1,11,30.53,9,4,4,1,4,6,2,7,1,0,1,0,1,13,-1
2021-02-17,POR,NOP,1,2,31.73,8,6,2,1,0,0,3,7,3,2,2,1,4,13,3
2021-02-20,POR,WAS,0,-7,30.72,9,4,5,2,1,2,3,9,2,1,2,2,2,11,-18
2021-02-22,POR,PHO,1,-32,22.07,4,4,0,0,0,2,2,5,2,0,2,0,1,8,-21
2021-02-23,POR,DEN,1,-5,29.28,9,7,3,2,2,2,2,5,0,0,3,0,2,18,7
2021-02-26,POR,LAL,1,-9,34.1,6,4,1,1,2,2,3,6,2,1,2,3,4,11,-3
2021-03-01,POR,CHO,0,12,24.6,2,1,1,1,0,0,1,3,0,1,2,0,0,3,-2
2021-03-03,POR,GSW,0,2,18.82,6,2,4,2,2,2,2,4,0,0,0,1,1,8,-9
2021-03-04,POR,SAC,0,4,28.3,3,2,2,1,3,3,1,4,4,1,1,0,2,8,3
2021-03-11,POR,PHO,0,-6,25.27,4,3,2,1,2,2,0,2,2,1,0,1,4,9,-15
2021-03-13,POR,MIN,1,4,21.08,8,4,3,1,2,3,1,2,1,0,1,1,3,11,-4
2021-03-14,POR,MIN,1,-2,19.85,4,0,2,0,0,0,0,3,0,1,0,0,2,0,-11
2021-03-16,POR,NOP,0,1,17.52,4,4,2,2,0,0,0,0,0,0,0,1,3,10,0
2021-03-18,POR,NOP,0,8,32.28,11,3,6,1,1,2,2,5,1,2,4,1,3,8,-3
2021-03-19,POR,DAL,0,6,30.28,4,1,2,1,0,0,2,4,4,1,0,0,1,3,9
2021-03-21,POR,DAL,0,-40,20.2,4,3,2,1,1,2,1,3,0,1,1,0,2,8,-27
2021-03-23,POR,BRK,0,-4,31.47,14,6,8,1,0,0,1,2,1,1,1,0,4,13,-5
2021-03-25,POR,MIA,1,3,23.2,8,2,4,1,1,1,1,3,1,0,2,0,3,6,5
2021-03-26,POR,ORL,1,7,19.83,4,2,3,2,1,2,0,3,1,0,0,0,1,7,-8
2021-03-28,POR,TOR,1,5,21.28,9,7,3,1,1,1,2,3,0,1,2,1,5,16,-8
2021-03-31,POR,DET,1,23,18.23,5,1,2,1,0,0,3,4,0,1,2,0,1,3,4
2021-04-02,POR,MIL,0,-18,11.1,3,0,2,0,2,2,0,3,0,0,1,0,0,2,3
2021-04-06,POR,LAC,1,-17,11.83,5,2,3,1,1,2,1,2,0,0,0,0,1,6,-6
2021-04-08,POR,UTA,1,-19,14.97,2,1,1,0,0,0,0,2,0,0,1,0,0,2,-15
2021-04-10,POR,DET,0,15,17.75,3,2,1,1,0,0,1,4,0,1,1,1,2,5,13
2021-04-11,POR,MIA,0,-9,13.73,5,4,2,1,0,1,0,1,0,0,0,1,1,9,-13
2021-04-13,POR,BOS,0,-1,14.62,1,0,1,0,0,2,0,1,1,0,0,0,2,0,-13
2021-04-16,POR,SAS,1,1,17.48,2,0,1,0,0,0,2,2,1,1,1,0,1,0,-20
2021-04-20,POR,LAC,0,-1,20.62,6,2,3,0,0,0,0,2,2,1,0,0,1,4,0
2021-04-23,POR,MEM,0,-2,13.22,3,1,1,1,3,4,1,1,1,0,1,0,1,6,0
2021-04-25,POR,MEM,0,-7,4.8,2,0,1,0,0,0,0,0,0,0,1,0,1,0,-1
2021-04-27,POR,IND,1,21,3.65,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4
2021-05-03,POR,ATL,1,-9,5.22,0,0,0,0,0,0,0,0,0,0,1,0,1,0,11
2021-05-05,POR,CLE,1,36,20.28,2,2,0,0,1,2,0,1,0,0,0,3,4,5,2
2021-05-10,POR,HOU,0,11,23.33,6,4,1,0,3,3,1,3,3,1,0,0,3,11,13
2021-05-16,POR,DEN,0,16,6.57,3,1,2,0,0,0,0,0,1,0,0,0,1,2,-8
