Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,Rebounds,Assists,Steals,Blocks,Turnovers,Fouls,Points
2020-12-23,DET,MIN,1,-10,26.8,13,7,3,1,1,6,2,1,1,1,15
2020-12-26,DET,CLE,0,-9,33.12,15,4,2,1,4,4,0,0,6,1,13
2020-12-29,DET,GSW,0,-10,26.43,18,6,4,1,2,7,2,0,2,4,15
2021-01-01,DET,BOS,0,3,24.18,12,7,3,0,5,4,2,0,4,2,17
2021-01-03,DET,BOS,0,-2,23.48,12,4,3,1,1,8,0,1,4,0,13
2021-01-04,DET,MIL,1,-10,24.63,18,9,4,2,2,8,1,0,0,1,24
2021-01-06,DET,MIL,1,-15,11.05,7,3,1,0,1,1,0,0,0,1,10
2021-01-08,DET,PHO,0,5,19.42,7,1,1,0,0,5,1,1,2,1,4
2021-01-16,DET,MIA,1,20,21.3,12,8,5,3,1,4,4,0,1,2,23
2021-01-18,DET,MIA,1,-6,26.57,11,6,4,1,3,4,2,0,3,1,21
2021-01-20,DET,ATL,1,-8,28.5,15,7,1,0,1,1,1,1,1,2,14
2021-01-22,DET,HOU,0,-1,19.55,11,3,2,1,5,3,0,0,1,1,9
2021-01-27,DET,CLE,1,-15,19.12,10,5,3,2,0,3,0,0,2,0,13
2021-01-28,DET,LAL,0,15,20.35,12,6,2,0,1,3,2,0,2,0,14
2021-01-30,DET,GSW,1,-27,17.05,11,3,1,0,2,2,1,0,0,0,8
2021-02-09,NYK,MIA,1,-2,20.33,9,5,3,2,1,3,1,1,2,0,14
2021-02-12,NYK,WAS,1,18,19.97,11,7,1,0,3,6,4,0,2,0,14
2021-02-13,NYK,HOU,0,22,22.53,11,5,3,1,1,3,0,0,1,0,16
2021-02-15,NYK,ATL,0,11,23.62,9,3,1,0,3,3,0,2,2,4,8
2021-02-17,NYK,ORL,1,-18,16.55,10,1,1,0,6,2,0,0,1,0,4
2021-02-21,NYK,MIN,0,4,18.73,8,1,1,0,1,2,1,0,1,1,4
2021-02-23,NYK,GSW,0,-8,27.17,15,6,4,2,4,8,1,1,1,1,16
2021-02-25,NYK,SAC,0,19,27.58,11,7,2,2,3,6,0,0,3,2,18
2021-02-27,NYK,IND,0,3,37.7,11,6,3,1,1,11,4,0,4,2,17
2021-02-28,NYK,DET,1,19,32.15,14,6,3,2,3,5,0,2,2,2,14
2021-03-27,NYK,MIL,1,6,29.1,15,6,5,1,1,1,2,1,1,1,13
2021-03-29,NYK,MIA,0,-10,26.32,13,6,5,3,2,2,0,1,1,1,16
2021-04-02,NYK,DAL,0,-13,25.4,10,1,2,0,5,4,0,0,0,0,2
2021-04-03,NYK,DET,1,44,20.57,6,3,3,0,2,2,2,0,0,0,7
2021-04-05,NYK,BRK,1,-2,25.42,14,6,4,2,1,3,1,0,0,1,16
2021-04-07,NYK,BOS,1,-2,26.55,10,4,1,1,0,3,0,0,0,0,11
2021-04-09,NYK,MEM,0,4,26.28,17,8,4,0,4,3,1,2,2,1,19
2021-04-11,NYK,TOR,0,6,23.28,10,4,1,0,1,2,0,0,3,2,11
2021-04-12,NYK,LAL,0,15,19.83,9,5,0,0,3,2,0,1,1,1,14
2021-04-14,NYK,NOP,1,10,28.07,14,5,4,1,4,4,2,1,0,0,11
2021-04-16,NYK,DAL,1,8,24.75,13,7,2,1,1,5,1,0,0,1,15
2021-04-18,NYK,NOP,0,10,35.22,17,9,4,2,3,5,1,1,2,1,23
2021-04-20,NYK,CHO,0,12,25.25,12,8,4,1,1,5,0,0,0,1,17
2021-04-21,NYK,ATL,0,10,30.28,12,8,1,1,4,3,1,0,2,6,20
2021-04-24,NYK,TOR,0,17,33.27,10,7,1,0,4,7,2,0,1,2,19
2021-04-26,NYK,PHO,0,-8,33.22,18,10,1,0,6,6,0,0,2,2,22
2021-04-28,NYK,CHI,0,19,25.0,11,2,1,0,1,6,1,1,0,0,6
2021-05-02,NYK,HOU,1,25,31.02,11,8,5,4,6,4,1,0,1,0,24
2021-05-03,NYK,MEM,1,14,26.62,15,11,5,3,2,2,1,0,1,1,25
2021-05-05,NYK,DEN,1,-16,26.8,10,6,3,2,2,3,0,0,2,2,14
2021-05-07,NYK,PHO,1,-23,29.1,14,7,3,1,4,6,0,0,1,1,17
2021-05-09,NYK,LAC,1,6,32.43,17,11,3,2,6,8,1,0,4,1,25
2021-05-11,NYK,LAL,1,-2,38.83,22,10,4,1,6,6,3,1,3,0,27
2021-05-15,NYK,CHO,0,9,25.07,9,6,2,1,1,3,0,0,2,1,15
2021-05-16,NYK,BOS,0,4,23.32,9,3,0,0,5,2,0,0,1,1,7
