Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,Rebounds,Assists,Steals,Blocks,Turnovers,Fouls,Points
2021-01-01,SAS,LAL,0, -6,22:52,9,3,4,1,1,1,0,2,2,1,9
2021-01-30,SAS,MEM,0, -17,21:40,11,6,6,3,2,1,2,0,1,2,18
2021-02-01,SAS,MEM,0, -31,21:23,10,2,5,1,1,5,0,2,1,3,5
2021-02-03,SAS,MIN,0, +3,25:13,11,4,6,2,2,8,0,1,0,3,10
2021-02-06,SAS,HOU,1, +5,29:07,14,6,7,2,2,5,0,2,2,2,14
2021-02-08,SAS,GSW,0, +5,24:45,11,1,5,0,2,3,1,0,1,0,2
2021-02-12,SAS,ATL,1, +11,16:58,5,3,3,2,2,4,1,1,0,4,11
2021-02-14,SAS,CHO,1, +12,26:51,15,9,8,4,2,4,4,0,0,3,25
2021-03-10,SAS,DAL,1, -11,27:05,8,1,4,0,0,1,0,1,2,3,6
2021-03-12,SAS,ORL,0, +27,25:15,12,7,4,2,1,2,0,0,3,2,17
2021-03-14,SAS,PHI,1, -35,25:14,11,4,8,3,4,4,2,4,1,2,17
2021-03-15,SAS,DET,1, +10,24:07,9,4,3,1,5,2,0,0,3,5,9
2021-03-17,SAS,CHI,1, +7,32:59,14,4,7,2,4,5,0,2,1,3,17
2021-03-19,SAS,CLE,1, +6,34:49,11,4,5,2,4,2,0,0,1,4,17
2021-03-20,SAS,MIL,1, -7,33:20,14,3,8,0,4,6,0,0,3,1,6
2021-03-22,SAS,CHO,0, -3,35:39,11,7,9,5,3,1,1,3,3,3,21
2021-03-24,SAS,LAC,0, -33,25:16,10,4,3,1,3,3,0,1,1,2,13
2021-03-25,SAS,LAC,0, -13,38:30,12,4,9,3,3,1,1,1,0,4,11
2021-03-27,SAS,CHI,0, +16,32:47,14,5,10,4,4,7,1,1,1,4,16
2021-03-29,SAS,SAC,0, -17,31:54,11,7,7,3,3,1,1,0,2,5,19
2021-03-31,SAS,SAC,0, +14,30:56,17,5,8,2,6,3,1,0,0,2,18
2021-04-01,SAS,ATL,0, -5,44:33,20,10,13,7,1,3,1,2,2,1,29
2021-04-03,SAS,IND,0, -6,36:48,15,6,10,2,3,3,0,1,3,3,18
2021-04-05,SAS,CLE,0, -24,28:24,16,4,6,0,3,6,1,0,0,2,13
2021-04-07,SAS,DEN,1, -10,29:05,15,7,7,1,4,2,0,2,4,4,18
2021-04-09,SAS,DEN,1, -2,34:13,16,9,7,3,1,3,3,1,0,2,25
2021-04-11,SAS,DAL,1, +2,32:51,8,3,3,1,4,1,2,2,0,4,9
2021-04-12,SAS,ORL,1, +23,28:14,14,7,6,1,2,4,0,0,2,2,15
2021-04-14,SAS,TOR,1, -5,34:08,16,7,11,6,3,5,0,0,1,4,25
2021-04-16,SAS,POR,0, -1,32:28,11,4,5,3,3,2,0,3,1,1,13
2021-04-17,SAS,PHO,1, +26,25:45,13,4,7,3,2,6,0,0,1,3,12
2021-04-19,SAS,IND,1, +15,33:39,17,8,11,6,3,4,1,0,0,2,25
2021-04-21,SAS,MIA,0, -20,31:26,12,5,8,2,5,7,0,0,1,0,13
2021-04-22,SAS,DET,0, +15,28:37,17,8,8,2,7,8,1,3,1,0,26
2021-04-24,SAS,NOP,1, +2,37:33,16,8,8,4,5,2,2,1,1,5,22
2021-04-26,SAS,WAS,1, +3,19:08,7,3,4,0,3,2,0,0,0,0,9
