Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,Rebounds,Assists,Steals,Blocks,Turnovers,Fouls,Points
2021-01-01,CHI,MIL,1, -30,9:32,4,2,0,0,1,0,0,0,0,1,4
2021-03-27,CHI,SAS,1, -16,1:46,0,0,0,0,1,0,1,0,0,0,0
2021-03-29,CHI,GSW,1, -14,3:18,0,0,0,0,0,0,0,0,0,0,0
2021-04-16,CHI,MEM,0, -11,1:49,1,0,0,0,1,2,0,0,0,0,0
2021-04-21,CHI,CLE,1, -16,3:54,2,1,1,0,0,0,0,0,0,0,2
2021-04-22,CHI,CHO,0, +17,1:24,0,0,0,0,0,0,0,0,0,0,0
2021-04-30,CHI,MIL,0, -10,0:56,1,1,0,0,0,0,1,0,0,0,2
2021-05-06,CHI,CHO,1, +21,1:57,0,0,0,0,0,1,0,0,0,0,0
2021-05-07,CHI,BOS,0, +22,1:42,2,2,0,0,0,0,1,0,0,0,4
2021-05-15,CHI,BRK,1, -14,2:29,1,0,1,0,0,0,0,0,0,0,0
2021-05-16,CHI,MIL,0, +6,21:25,10,5,5,1,2,4,1,0,0,2,11
