Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2020-12-23,MIL,BOS,1,-1,27.22,11,6,4,3,0,0,2,5,3,2,0,1,3,15,4
2020-12-25,MIL,GSW,0,39,19.98,8,5,5,3,0,0,1,4,0,2,0,2,1,13,5
2020-12-27,MIL,NYK,1,-20,23.5,7,4,4,2,0,1,0,2,1,0,0,1,0,10,-11
2020-12-29,MIL,MIA,1,47,19.27,8,6,6,5,0,0,0,1,2,2,0,1,2,17,28
2020-12-30,MIL,MIA,1,-11,30.12,14,5,7,3,2,2,4,5,1,3,1,3,2,15,-4
2021-01-01,MIL,CHI,0,30,19.35,5,4,4,3,0,0,0,1,1,1,0,1,0,11,20
2021-01-04,MIL,DET,0,10,29.7,9,2,6,1,0,0,1,5,9,2,1,2,2,5,13
2021-01-06,MIL,DET,0,15,22.28,8,2,3,0,0,0,1,4,1,0,0,2,2,4,10
2021-01-08,MIL,UTA,0,-13,29.83,10,4,4,1,2,3,0,5,3,2,1,0,0,11,3
2021-01-09,MIL,CLE,0,10,26.9,10,3,8,3,2,2,0,4,4,2,0,1,0,11,-3
2021-01-11,MIL,ORL,1,22,26.03,7,4,3,1,0,0,0,4,3,2,0,1,1,9,20
2021-01-13,MIL,DET,1,9,25.6,9,3,5,1,0,0,1,10,3,0,0,0,1,7,14
2021-01-15,MIL,DAL,0,3,26.48,5,2,4,2,0,0,0,3,2,1,0,1,2,6,9
2021-01-18,MIL,BRK,1,-2,31.33,9,3,5,2,0,0,1,1,2,1,0,0,0,8,-12
2021-01-21,MIL,LAL,0,-7,23.25,8,4,5,2,0,0,0,4,2,1,0,2,2,10,1
2021-01-24,MIL,ATL,0,14,25.7,8,4,4,1,0,0,4,9,5,0,0,2,0,9,14
2021-01-27,MIL,TOR,1,7,26.52,9,2,5,0,4,4,2,3,3,2,0,3,1,8,10
2021-01-29,MIL,NOP,1,-5,24.47,8,4,3,2,0,0,0,3,2,0,0,1,3,10,-10
2021-01-30,MIL,CHO,1,-12,27.35,6,0,5,0,0,0,0,2,1,1,0,0,2,0,-12
2021-02-01,MIL,POR,0,28,18.1,10,2,3,1,1,2,2,4,3,2,0,1,0,6,5
2021-02-03,MIL,IND,0,20,21.83,11,6,8,4,0,0,1,4,3,0,1,0,1,16,36
2021-02-05,MIL,CLE,1,18,28.32,9,4,3,2,1,3,3,11,6,1,0,1,3,11,22
2021-02-06,MIL,CLE,1,25,28.92,5,3,2,1,0,0,1,5,1,1,0,1,1,7,4
2021-02-08,MIL,DEN,1,13,30.58,12,5,6,3,0,0,1,7,2,3,2,1,3,13,11
2021-02-10,MIL,PHO,1,-1,31.63,9,4,6,2,0,0,1,6,3,2,0,2,2,10,16
2021-02-12,MIL,UTA,1,-14,26.03,9,2,4,1,0,0,1,2,2,0,0,1,4,5,-14
2021-02-14,MIL,OKC,1,-5,30.02,10,6,7,5,0,2,1,8,2,1,0,1,3,17,3
2021-02-16,MIL,TOR,0,-11,31.95,14,5,8,1,1,2,1,3,8,0,0,2,1,12,-6
2021-02-18,MIL,TOR,0,-14,26.67,15,6,6,2,0,0,2,7,4,0,0,1,3,14,3
2021-02-19,MIL,OKC,0,13,30.47,8,2,5,1,0,0,3,6,1,0,0,2,2,5,9
2021-02-21,MIL,SAC,0,13,30.7,12,7,4,1,1,2,2,2,3,0,1,0,0,16,15
2021-02-23,MIL,MIN,0,27,25.52,10,5,6,3,0,0,1,5,5,0,0,2,1,13,10
2021-02-25,MIL,NOP,0,4,34.72,16,9,7,4,2,2,2,7,9,2,1,1,1,24,14
2021-02-28,MIL,LAC,0,5,27.98,12,5,5,1,0,2,1,7,0,1,0,0,2,11,11
2021-03-02,MIL,DEN,0,-31,21.33,5,0,2,0,3,4,1,3,3,1,0,1,2,3,-12
2021-03-04,MIL,MEM,1,1,29.85,9,2,5,1,2,2,2,7,4,0,0,2,0,7,5
2021-03-11,MIL,NYK,0,33,23.1,9,3,4,1,4,5,0,8,2,1,0,1,0,11,34
2021-03-13,MIL,WAS,1,6,28.97,9,4,4,1,1,2,4,13,3,2,0,4,2,10,-3
2021-03-15,MIL,WAS,1,11,33.1,8,5,5,2,0,0,2,7,6,1,0,2,3,12,24
2021-03-17,MIL,PHI,1,4,36.28,16,7,9,4,2,2,1,8,5,3,0,1,3,20,-3
2021-03-20,MIL,SAS,0,7,30.58,13,5,7,1,1,2,2,13,3,3,0,1,1,12,10
2021-03-22,MIL,IND,0,27,28.22,6,3,5,2,0,0,2,13,4,0,0,4,1,8,21
2021-03-24,MIL,BOS,0,2,31.08,7,5,6,5,2,2,0,4,1,0,1,2,1,17,5
2021-03-26,MIL,BOS,0,-8,28.08,15,5,9,3,0,0,1,3,2,1,0,2,3,13,-12
2021-03-29,MIL,LAC,1,-24,28.58,7,2,4,1,0,0,1,6,3,2,0,1,2,5,-22
2021-03-31,MIL,LAL,1,15,31.23,8,4,6,3,2,2,2,5,2,3,0,2,3,13,7
2021-04-02,MIL,POR,1,18,29.47,7,1,5,1,2,2,0,4,2,0,0,2,2,5,10
2021-04-03,MIL,SAC,1,1,31.12,9,4,4,2,2,2,3,14,7,1,0,3,4,12,1
2021-04-06,MIL,GSW,1,-1,29.6,8,2,6,2,0,0,2,5,5,3,0,1,1,6,-4
2021-04-08,MIL,DAL,1,-15,29.45,13,7,10,6,2,2,0,6,2,2,0,2,2,22,-11
2021-04-11,MIL,ORL,1,37,26.15,12,4,7,1,0,0,0,7,4,1,0,1,1,9,16
2021-04-14,MIL,MIN,1,25,23.48,5,2,3,1,2,2,0,6,4,0,0,1,1,7,14
2021-04-19,MIL,PHO,0,-1,31.33,10,4,4,1,0,0,4,7,3,0,0,1,3,9,-6
2021-04-22,MIL,PHI,0,7,25.85,5,1,5,1,0,0,1,5,6,0,0,3,1,3,4
2021-04-24,MIL,PHI,0,38,21.87,7,4,5,3,0,0,1,4,2,1,1,1,0,11,16
2021-04-25,MIL,ATL,1,-7,30.05,7,2,3,0,1,1,1,6,0,1,1,2,4,5,-18
2021-04-27,MIL,CHO,1,10,28.53,9,4,4,1,0,0,1,3,3,3,1,2,1,9,-1
2021-04-29,MIL,HOU,1,-7,21.28,5,1,4,1,0,0,0,5,2,0,0,0,1,3,-14
2021-05-02,MIL,BRK,0,3,30.17,5,0,2,0,0,0,0,8,1,0,1,0,2,0,9
2021-05-04,MIL,BRK,0,6,29.18,10,5,3,0,0,1,6,15,2,0,0,1,3,10,2
2021-05-05,MIL,WAS,0,1,20.17,8,6,7,5,2,3,1,3,4,1,0,2,6,19,-7
2021-05-07,MIL,HOU,0,8,33.52,14,7,10,4,0,0,2,7,4,2,0,3,3,18,0
2021-05-10,MIL,SAS,1,-21,25.78,9,4,8,3,1,2,0,6,6,0,1,0,1,12,-20
2021-05-11,MIL,ORL,0,12,28.73,12,7,7,3,2,2,0,2,2,1,0,1,1,19,5
2021-05-13,MIL,IND,1,9,32.35,5,2,5,2,2,2,1,9,2,1,1,1,0,8,5
2021-05-15,MIL,MIA,0,14,27.6,10,3,8,3,2,4,0,9,4,1,0,1,3,11,11
