Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,Rebounds,Assists,Steals,Blocks,Turnovers,Fouls,Points
2020-12-23,DAL,PHO,1, -4,35:48,11,4,6,1,8,3,2,0,0,3,11
2020-12-25,DAL,LAL,1, -23,29:22,9,4,6,2,2,0,3,0,1,4,10
2020-12-27,DAL,LAC,1, +51,18:02,4,2,4,2,1,1,0,0,0,1,8
2020-12-30,DAL,CHO,0, -19,24:05,8,2,6,1,6,0,1,1,1,2,5
2021-01-01,DAL,MIA,0, +10,22:25,8,5,5,2,5,0,0,0,0,4,12
2021-01-03,DAL,CHI,1, -10,35:43,5,2,3,0,6,1,1,1,1,3,5
2021-01-04,DAL,HOU,1, +13,32:38,8,3,5,2,4,1,1,1,1,3,9
2021-01-07,DAL,DEN,1, +7,36:29,12,5,8,4,8,2,3,2,0,4,14
2021-01-27,DAL,UTA,1, -12,24:11,8,1,6,1,4,2,0,0,0,1,3
2021-01-29,DAL,UTA,1, -19,22:33,9,4,8,3,0,0,1,0,1,3,11
2021-01-30,DAL,PHO,0, -6,34:04,5,3,4,2,5,1,1,0,1,2,9
2021-02-01,DAL,PHO,0, -1,37:17,7,2,4,1,5,1,1,0,1,3,5
2021-02-03,DAL,ATL,1, +6,28:50,10,5,7,3,5,0,1,0,1,3,13
2021-02-04,DAL,GSW,0, -31,26:38,3,1,3,1,4,2,0,0,0,4,5
2021-02-06,DAL,GSW,0, +2,35:08,9,4,5,2,6,2,0,0,1,3,10
2021-02-08,DAL,MIN,0, +5,32:45,4,3,1,0,7,3,1,1,1,1,7
2021-02-10,DAL,ATL,0, +1,37:16,6,3,4,2,7,3,1,1,1,2,8
2021-02-12,DAL,NOP,0, +13,34:52,6,5,5,4,5,0,1,0,0,3,14
2021-02-14,DAL,POR,0, -3,34:33,8,5,7,4,3,1,1,1,1,3,14
2021-02-22,DAL,MEM,0, +10,31:40,10,2,6,0,9,2,0,0,0,3,4
2021-02-23,DAL,BOS,0, +3,38:32,5,0,3,0,3,1,2,0,0,2,0
2021-02-25,DAL,PHI,1, -14,31:08,7,2,4,2,5,1,1,0,1,4,6
2021-02-27,DAL,BRK,1, +17,34:43,6,5,3,2,8,4,2,1,0,2,12
2021-03-01,DAL,ORL,1, +6,34:05,5,3,2,0,4,2,0,1,1,3,6
2021-03-03,DAL,OKC,0, +9,34:22,7,2,4,0,8,1,1,0,1,1,4
2021-03-10,DAL,SAS,0, +11,31:03,5,1,4,1,7,2,0,0,1,3,7
2021-03-11,DAL,OKC,1, -8,35:15,7,2,6,2,8,1,0,2,0,3,6
2021-03-13,DAL,DEN,1, +13,27:39,8,4,5,2,8,2,1,0,0,0,11
2021-03-15,DAL,LAC,0, -10,26:48,8,3,5,2,3,2,1,0,2,2,8
2021-03-21,DAL,POR,1, +40,28:07,8,4,6,3,5,2,0,0,1,3,13
2021-03-24,DAL,MIN,1, +20,28:36,7,4,3,1,4,2,1,0,0,2,11
2021-03-26,DAL,IND,0, -15,33:16,6,4,2,0,5,2,1,0,2,2,8
2021-03-27,DAL,NOP,1, -9,37:31,5,2,1,0,4,4,0,0,1,4,6
2021-03-29,DAL,OKC,1, +21,27:05,8,5,3,2,1,2,0,0,0,1,12
2021-03-31,DAL,BOS,1, +5,39:31,7,4,5,3,9,0,2,0,1,3,11
2021-04-02,DAL,NYK,1, +13,32:38,8,2,6,2,9,0,0,0,0,1,6
2021-04-03,DAL,WAS,1, +22,37:17,8,4,6,3,4,2,1,1,0,1,11
2021-04-05,DAL,UTA,0, +8,34:24,17,8,12,5,6,4,1,1,0,4,23
2021-04-07,DAL,HOU,1, -9,35:55,8,3,6,3,7,1,2,1,1,3,9
2021-04-08,DAL,MIL,0, +15,35:59,10,3,7,2,10,3,0,3,0,1,9
2021-04-11,DAL,SAS,0, -2,33:36,7,4,4,1,7,3,0,1,1,2,9
2021-04-12,DAL,PHI,0, -18,34:38,10,5,7,2,11,1,1,0,1,2,12
2021-04-14,DAL,MEM,1, +1,29:10,8,3,4,1,6,1,1,1,0,3,7
2021-04-16,DAL,NYK,0, -8,34:42,12,5,6,3,7,1,1,0,0,2,13
2021-04-18,DAL,SAC,0, -14,35:24,11,8,8,6,4,1,0,1,1,1,22
2021-04-21,DAL,DET,0, +10,35:01,7,4,6,3,3,0,1,0,0,3,11
2021-04-22,DAL,LAL,0, +5,36:52,5,4,3,2,3,2,3,0,2,1,10
2021-04-24,DAL,LAL,0, +15,32:11,13,8,7,4,7,2,0,0,1,0,21
2021-04-26,DAL,SAC,1, -7,33:00,9,4,7,2,7,4,2,1,1,3,10
2021-04-27,DAL,GSW,1, +30,30:10,5,4,4,3,8,1,2,0,0,2,13
2021-05-01,DAL,WAS,0, +1,40:29,12,8,9,6,5,2,1,0,3,2,22
2021-05-02,DAL,SAC,0, -12,35:27,7,1,5,0,5,4,2,0,4,1,3
2021-05-04,DAL,MIA,1, +14,33:26,6,5,3,2,4,3,0,1,2,2,12
2021-05-06,DAL,BRK,0, +4,38:38,11,6,6,3,8,3,0,0,1,1,17
2021-05-07,DAL,CLE,0, +20,26:02,6,2,5,1,5,2,1,1,0,2,5
2021-05-09,DAL,CLE,1, +27,22:19,10,2,6,0,5,2,1,0,2,3,4
2021-05-11,DAL,MEM,1, -29,27:12,5,1,4,0,1,3,1,1,2,1,2
2021-05-12,DAL,NOP,0, +18,27:45,5,4,1,1,5,1,0,0,0,3,9
2021-05-14,DAL,TOR,0, +4,27:57,8,6,6,4,3,2,0,0,0,3,17
2021-05-16,DAL,MIN,1, -15,28:18,9,6,5,3,4,1,0,0,3,1,15
