Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,Rebounds,Assists,Steals,Blocks,Turnovers,Fouls,Points
2021-01-01,GSW,POR,0,-25,17.63,3,0,2,0,4,4,1,0,1,4,0
2021-01-03,GSW,POR,0,15,27.83,2,0,1,0,3,8,1,1,1,3,1
2021-01-04,GSW,SAC,0,31,21.23,3,1,2,1,5,5,2,0,1,3,5
2021-01-06,GSW,LAC,0,-7,31.28,3,1,2,0,6,6,2,0,3,4,4
2021-01-08,GSW,LAC,0,10,30.62,4,2,1,0,3,3,2,0,2,3,4
2021-01-10,GSW,TOR,0,1,29.37,8,3,5,2,9,10,0,1,3,1,10
2021-01-12,GSW,IND,0,-9,31.93,7,2,2,0,6,10,2,0,3,3,7
2021-01-14,GSW,DEN,1,-10,25.25,2,0,0,0,4,7,1,0,5,5,1
2021-01-18,GSW,LAL,1,2,30.9,6,3,2,1,8,9,1,0,3,5,7
2021-01-20,GSW,SAS,0,22,25.55,7,4,3,1,1,6,0,0,1,0,9
2021-01-21,GSW,NYK,0,-15,17.08,3,1,3,1,0,8,0,0,2,2,3
2021-01-23,GSW,UTA,1,-19,24.72,9,2,3,0,4,6,0,0,2,2,4
2021-01-25,GSW,MIN,0,22,30.38,8,4,4,1,6,4,1,0,4,4,10
2021-01-27,GSW,MIN,0,12,29.63,6,3,0,0,6,8,2,0,4,3,6
2021-01-28,GSW,PHO,1,-21,24.92,7,1,1,0,4,6,3,0,2,3,2
2021-01-30,GSW,DET,0,27,27.75,5,2,2,0,5,6,1,0,1,0,4
2021-02-02,GSW,BOS,0,-4,36.5,7,1,3,0,11,7,2,2,5,5,2
2021-02-04,GSW,DAL,1,31,28.75,5,3,0,0,6,15,0,0,1,1,11
2021-02-06,GSW,DAL,1,-2,37.07,2,0,1,0,6,15,7,4,7,5,2
2021-02-08,GSW,SAS,1,-5,35.62,11,3,4,1,10,10,1,2,5,5,7
2021-02-09,GSW,SAS,1,23,31.93,4,3,0,0,7,11,1,0,3,4,6
2021-02-11,GSW,ORL,0,6,36.83,7,3,1,0,6,11,1,2,3,3,8
2021-02-13,GSW,BRK,0,-17,32.4,5,2,1,0,7,8,0,1,0,3,6
2021-02-15,GSW,CLE,0,31,29.78,6,3,0,0,8,16,2,2,1,3,6
2021-02-19,GSW,ORL,1,-4,33.58,5,2,2,2,6,9,1,0,3,4,6
2021-02-20,GSW,CHO,1,-2,31.9,7,2,4,1,7,3,0,2,1,3,5
2021-02-23,GSW,NYK,1,8,36.75,9,3,4,1,9,12,3,2,3,4,7
2021-02-24,GSW,IND,1,4,35.93,5,4,1,0,9,11,3,1,3,5,12
2021-02-26,GSW,CHO,0,9,35.88,8,5,3,1,12,19,1,1,5,4,11
2021-02-28,GSW,LAL,1,-26,12.9,5,3,1,0,1,2,0,1,3,1,6
2021-03-03,GSW,POR,1,-2,36.28,5,2,1,1,9,12,3,0,3,5,5
2021-03-11,GSW,LAC,1,-26,25.17,7,3,3,2,3,2,2,1,3,3,12
2021-03-14,GSW,UTA,0,12,35.63,10,5,4,1,12,12,4,0,1,2,11
2021-03-15,GSW,LAL,0,-31,29.22,3,0,2,0,6,6,1,1,4,1,2
2021-03-17,GSW,HOU,1,14,32.45,8,7,2,1,12,10,0,1,4,4,16
2021-03-19,GSW,MEM,1,13,34.35,6,0,2,0,11,13,1,2,4,3,2
2021-03-20,GSW,MEM,1,-8,31.35,4,2,0,0,8,3,1,1,2,3,7
2021-03-23,GSW,PHI,0,-10,33.9,7,2,2,0,9,6,2,2,3,5,6
2021-03-26,GSW,ATL,0,-16,27.23,0,0,0,0,2,9,0,0,4,4,0
2021-03-29,GSW,CHI,0,14,33.7,7,4,5,3,5,9,1,1,3,1,11
2021-04-01,GSW,MIA,1,-7,35.8,13,7,3,1,10,8,4,0,4,4,16
2021-04-04,GSW,ATL,1,-6,36.02,6,4,2,1,7,11,4,0,4,1,11
2021-04-06,GSW,MIL,0,1,29.48,8,3,3,0,5,8,0,1,2,6,6
2021-04-09,GSW,WAS,0,-3,33.2,9,2,3,0,5,8,2,2,3,2,5
2021-04-10,GSW,HOU,0,16,34.63,3,0,0,0,7,7,3,0,5,2,2
2021-04-12,GSW,DEN,0,9,36.72,8,7,3,2,7,7,4,0,2,5,18
2021-04-14,GSW,OKC,1,38,30.35,10,5,2,0,10,16,3,2,4,1,12
2021-04-15,GSW,CLE,1,18,32.3,8,2,4,1,10,8,3,2,6,2,5
2021-04-17,GSW,BOS,1,-5,37.35,6,2,2,1,5,10,1,1,2,3,5
2021-04-19,GSW,PHI,1,11,30.88,8,4,3,0,6,6,2,0,1,5,8
2021-04-21,GSW,WAS,1,-4,32.3,6,3,2,0,4,8,3,0,2,6,8
