Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,Rebounds,Assists,Steals,Blocks,Turnovers,Fouls,Points
2020-12-23,ORL,MIA,0, +6,18:59,5,0,1,0,3,3,0,0,0,2,0
2020-12-26,ORL,WAS,1, +10,20:21,3,2,2,2,1,1,1,0,1,1,6
2020-12-27,ORL,WAS,1, +7,17:16,4,2,1,0,3,0,0,1,1,1,6
2020-12-29,ORL,OKC,1, +11,23:06,10,9,0,0,8,0,0,0,0,2,18
2020-12-31,ORL,PHI,0, -24,27:31,9,4,3,1,3,1,0,0,2,1,10
2021-01-02,ORL,OKC,0, -9,29:57,11,2,4,0,4,1,1,0,0,3,5
2021-01-04,ORL,CLE,0, +20,25:16,7,3,4,2,2,1,1,0,3,0,8
2021-01-06,ORL,CLE,0, +11,31:31,14,8,5,2,2,1,0,0,0,0,19
2021-01-08,ORL,HOU,1, -42,27:55,10,4,1,0,1,1,0,0,1,2,10
2021-01-09,ORL,DAL,1, -14,27:22,13,4,1,0,3,1,1,0,0,4,9
2021-01-11,ORL,MIL,0, -22,28:28,11,5,1,0,3,0,0,1,1,2,11
2021-01-15,ORL,BOS,1, -27,25:36,14,5,1,0,8,1,0,0,0,1,15
2021-01-16,ORL,BRK,1, -7,28:40,10,4,3,1,0,0,2,0,0,2,10
2021-01-18,ORL,NYK,1, -7,27:10,7,1,3,0,1,1,0,0,1,5,2
2021-01-20,ORL,MIN,1, +1,19:41,5,2,1,0,4,1,0,0,0,0,4
2021-01-22,ORL,IND,1, -2,17:19,12,7,3,2,1,1,1,0,1,2,16
2021-01-24,ORL,CHO,0, -3,18:15,7,1,3,0,3,2,0,0,3,4,2
2021-01-25,ORL,CHO,0, +9,18:02,11,6,2,1,3,0,1,0,0,1,15
2021-01-27,ORL,SAC,0, -14,17:50,12,4,1,0,4,0,3,0,0,4,12
2021-01-29,ORL,LAC,0, -26,22:37,7,1,3,1,6,4,2,0,1,0,6
2021-01-31,ORL,TOR,1, -13,19:38,10,5,3,2,1,1,2,0,1,0,13
2021-02-02,ORL,TOR,0, -15,21:18,10,5,6,4,5,1,0,0,0,0,15
2021-02-05,ORL,CHI,0, +4,18:55,5,2,1,0,3,0,0,0,0,2,7
2021-02-06,ORL,CHI,0, -26,30:33,14,6,3,2,3,0,1,0,0,1,16
2021-02-09,ORL,POR,1, -9,30:41,12,4,6,3,4,2,0,0,0,1,11
2021-02-11,ORL,GSW,1, -6,36:50,18,7,7,4,3,1,3,0,2,3,20
2021-02-12,ORL,SAC,1, +11,38:51,8,3,5,1,4,4,1,0,1,1,11
2021-02-14,ORL,PHO,1, -19,32:44,12,6,6,0,2,1,1,0,1,2,19
2021-02-17,ORL,NYK,0, +18,18:22,8,6,3,3,3,0,1,1,0,1,15
2021-02-19,ORL,GSW,0, +4,16:24,0,0,0,0,0,0,0,0,0,1,0
2021-02-21,ORL,DET,0, +9,16:43,7,2,4,1,3,0,0,0,1,2,7
2021-02-23,ORL,DET,0, -12,18:10,12,4,2,0,1,0,0,0,0,2,8
2021-02-25,ORL,BRK,1, -37,24:21,10,4,6,1,2,0,0,0,4,1,11
2021-02-27,ORL,UTA,0, -15,29:10,8,5,3,1,3,0,0,0,0,0,13
2021-03-01,ORL,DAL,0, -6,30:50,9,2,2,0,1,1,0,0,0,3,7
2021-03-03,ORL,ATL,0, -3,29:39,4,1,2,0,2,4,1,0,1,0,6
2021-03-11,ORL,MIA,1, -8,31:41,15,6,5,3,3,2,0,0,1,3,21
2021-03-12,ORL,SAS,1, -27,33:14,16,5,8,3,2,3,0,0,1,1,15
2021-03-14,ORL,MIA,0, -5,31:34,9,2,6,1,6,2,0,0,1,3,9
2021-03-18,ORL,NYK,1, -1,26:15,6,3,3,1,3,0,0,0,0,1,7
2021-03-19,ORL,BRK,0, +8,27:57,7,2,4,1,2,4,0,0,0,2,5
2021-03-21,ORL,BOS,1, -16,18:19,7,1,3,1,2,0,0,0,0,1,5
2021-03-23,ORL,DEN,0, -11,16:26,2,0,0,0,1,1,0,0,0,1,0
