Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,Rebounds,Assists,Steals,Blocks,Turnovers,Fouls,Points
2020-12-23,PHI,WAS,0,6,13.17,2,2,0,0,10,2,0,1,2,3,4
2020-12-26,PHI,NYK,1,20,15.4,7,4,0,0,6,0,1,1,0,4,9
2020-12-27,PHI,CLE,1,-24,15.0,4,4,0,0,3,0,0,0,3,4,9
2020-12-29,PHI,TOR,0,7,10.12,0,0,0,0,3,0,0,1,3,2,0
2020-12-31,PHI,ORL,1,24,14.38,4,3,1,1,5,1,1,1,3,4,7
2021-01-02,PHI,CHO,0,15,11.27,2,1,0,0,1,0,0,0,2,1,5
2021-01-04,PHI,CHO,0,17,17.52,6,4,0,0,13,1,0,0,3,4,9
2021-01-06,PHI,WAS,0,5,11.4,0,0,0,0,4,0,0,2,0,2,1
2021-01-07,PHI,BRK,1,-13,15.13,6,4,0,0,12,1,0,0,1,6,9
2021-01-09,PHI,DEN,0,-12,23.58,6,4,2,1,11,2,0,0,4,5,11
2021-01-11,PHI,ATL,1,-18,34.77,8,3,3,1,11,2,0,1,1,2,7
2021-01-12,PHI,MIA,0,3,13.67,4,4,0,0,8,0,0,1,0,2,10
2021-01-14,PHI,MIA,0,17,22.03,2,2,0,0,4,0,1,0,2,4,8
2021-01-16,PHI,MEM,1,-2,33.88,8,3,1,0,18,3,0,3,3,3,8
2021-01-20,PHI,BOS,0,8,15.12,7,3,0,0,10,1,0,1,0,1,7
2021-01-22,PHI,BOS,0,12,17.78,2,0,0,0,12,0,3,2,5,2,3
2021-01-23,PHI,DET,1,4,12.92,4,2,0,0,7,0,0,2,2,5,5
2021-01-25,PHI,DET,1,-15,24.15,5,2,0,0,4,0,2,1,1,3,5
2021-01-27,PHI,LAL,0,1,7.45,0,0,0,0,4,0,1,1,0,4,0
2021-01-29,PHI,MIN,1,24,17.08,2,1,0,0,10,0,0,1,3,4,3
2021-01-31,PHI,IND,1,9,25.27,6,3,0,0,15,0,0,2,2,3,11
2021-02-03,PHI,CHO,1,7,14.17,2,1,0,0,10,1,2,0,3,2,5
2021-02-04,PHI,POR,0,-16,10.48,2,1,0,0,2,1,1,0,3,4,2
2021-02-06,PHI,BRK,0,16,13.48,2,1,0,0,2,0,0,0,1,1,2
2021-02-09,PHI,SAC,1,8,13.03,5,3,0,0,9,4,0,2,1,4,8
2021-02-11,PHI,POR,1,-4,13.35,2,1,0,0,5,0,0,1,1,2,3
2021-02-13,PHI,PHO,1,-9,9.68,2,0,0,0,6,0,0,0,0,2,2
2021-02-15,PHI,UTA,1,-11,26.13,8,5,1,0,12,0,0,1,1,4,14
2021-02-17,PHI,HOU,0,5,11.12,2,0,0,0,6,0,0,0,4,4,3
2021-02-19,PHI,CHI,0,7,12.73,5,4,0,0,10,1,0,0,0,1,8
2021-02-21,PHI,TOR,1,-7,10.18,3,1,0,0,5,0,0,1,0,1,4
2021-02-23,PHI,TOR,1,7,12.37,2,1,1,0,4,2,0,0,0,3,2
2021-02-25,PHI,DAL,0,14,16.22,7,6,1,0,8,1,1,3,3,2,14
2021-02-27,PHI,CLE,0,-3,12.52,1,0,0,0,4,2,0,1,3,4,1
2021-03-01,PHI,IND,0,16,15.27,4,4,0,0,6,0,1,0,2,3,8
2021-03-03,PHI,UTA,0,8,12.3,6,4,1,1,4,2,1,1,0,0,12
2021-03-11,PHI,CHI,1,22,24.27,12,8,1,0,12,0,1,2,2,5,18
2021-03-12,PHI,WAS,1,26,18.42,4,2,1,0,10,1,0,1,2,4,6
2021-03-14,PHI,SAS,0,35,19.72,5,4,0,0,8,2,1,1,1,3,8
2021-03-16,PHI,NYK,0,3,27.68,9,4,1,0,12,0,0,3,1,3,11
2021-03-17,PHI,MIL,0,-4,29.53,11,6,0,0,15,0,1,1,2,5,13
