Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,Rebounds,Assists,Steals,Blocks,Turnovers,Fouls,Points
2020-12-23,DAL,PHO,1, -4,17:32,3,1,0,0,2,1,1,0,2,3,2
2020-12-25,DAL,LAL,1, -23,23:32,4,4,1,1,3,1,3,0,1,2,11
2020-12-27,DAL,LAC,1, +51,17:54,1,1,0,0,4,0,1,0,1,2,4
2020-12-30,DAL,CHO,0, -19,24:16,6,2,1,0,4,2,1,1,2,3,9
2021-01-01,DAL,MIA,0, +10,28:07,1,0,1,0,8,1,2,0,0,4,2
2021-01-03,DAL,CHI,1, -10,20:13,5,1,0,0,4,4,1,1,1,3,4
2021-01-04,DAL,HOU,1, +13,14:33,2,1,0,0,2,0,1,1,0,3,2
2021-01-07,DAL,DEN,1, +7,10:28,2,2,0,0,0,0,1,0,0,1,7
2021-01-09,DAL,ORL,0, +14,20:55,6,2,2,0,5,2,0,2,1,2,4
2021-01-27,DAL,UTA,1, -12,13:10,1,0,0,0,3,1,0,1,0,1,0
2021-01-29,DAL,UTA,1, -19,14:07,4,2,1,0,5,0,0,0,0,0,6
2021-01-30,DAL,PHO,0, -6,17:59,3,2,1,0,2,1,2,0,2,6,8
2021-02-04,DAL,GSW,0, -31,14:30,0,0,0,0,6,1,0,0,0,4,1
2021-02-06,DAL,GSW,0, +2,16:31,3,3,0,0,5,0,0,0,1,3,8
2021-02-08,DAL,MIN,0, +5,16:47,5,3,0,0,7,2,0,0,0,2,12
2021-02-10,DAL,ATL,0, +1,4:52,1,0,0,0,1,0,0,0,0,2,0
2021-02-12,DAL,NOP,0, +13,1:11,0,0,0,0,0,0,0,0,0,0,0
2021-02-22,DAL,MEM,0, +10,26:41,8,2,1,0,4,3,0,1,2,5,6
2021-02-23,DAL,BOS,0, +3,10:50,4,1,0,0,2,0,0,0,0,0,4
2021-02-25,DAL,PHI,1, -14,9:46,2,0,0,0,1,1,0,0,2,2,6
2021-02-27,DAL,BRK,1, +17,5:28,2,1,0,0,0,0,0,0,0,1,2
2021-03-01,DAL,ORL,1, +6,12:50,4,3,0,0,4,0,0,0,1,3,8
2021-03-03,DAL,OKC,0, +9,3:59,0,0,0,0,1,0,0,0,0,1,0
2021-03-11,DAL,OKC,1, -8,11:54,2,0,0,0,4,0,0,1,1,3,1
2021-03-13,DAL,DEN,1, +13,19:04,4,2,1,0,10,0,1,0,0,4,6
2021-03-17,DAL,LAC,0, +16,3:19,0,0,0,0,0,0,0,0,0,0,0
2021-03-19,DAL,POR,1, -6,11:48,1,0,1,0,2,1,0,0,0,1,0
2021-03-21,DAL,POR,1, +40,13:20,4,4,1,1,2,1,0,1,0,1,11
2021-03-24,DAL,MIN,1, +20,19:20,10,7,2,1,8,2,1,1,0,4,16
2021-03-26,DAL,IND,0, -15,10:28,2,0,2,0,2,2,1,0,1,3,0
2021-03-27,DAL,NOP,1, -9,17:02,2,0,1,0,1,0,1,0,0,3,0
2021-03-29,DAL,OKC,1, +21,15:19,2,2,1,1,6,0,0,0,0,4,7
2021-04-02,DAL,NYK,1, +13,12:21,4,2,0,0,0,0,0,1,0,1,4
2021-04-03,DAL,WAS,1, +22,24:02,5,1,1,1,7,2,0,1,0,4,5
2021-04-05,DAL,UTA,0, +8,13:40,2,2,0,0,3,1,0,0,0,1,4
2021-04-07,DAL,HOU,1, -9,8:58,2,1,1,0,2,1,0,0,0,0,3
2021-04-08,DAL,MIL,0, +15,14:43,2,2,0,0,4,0,2,1,0,2,8
2021-04-11,DAL,SAS,0, -2,15:14,4,4,0,0,1,0,1,0,0,0,9
2021-04-12,DAL,PHI,0, -18,13:50,2,1,1,0,4,2,3,0,2,1,3
2021-04-14,DAL,MEM,1, +1,15:24,7,6,0,0,8,0,1,0,1,3,12
2021-04-16,DAL,NYK,0, -8,9:55,0,0,0,0,2,0,0,0,2,1,0
2021-04-18,DAL,SAC,0, -14,16:41,1,0,0,0,4,2,1,2,0,2,0
2021-04-21,DAL,DET,0, +10,11:26,4,3,0,0,3,0,0,0,1,1,6
2021-04-22,DAL,LAL,0, +5,16:55,5,4,0,0,2,1,2,0,1,2,10
2021-04-24,DAL,LAL,0, +15,28:28,12,11,0,0,9,1,0,0,1,4,25
2021-04-26,DAL,SAC,1, -7,12:41,4,2,0,0,4,0,0,0,1,2,5
2021-04-27,DAL,GSW,1, +30,18:31,2,1,0,0,8,0,0,0,1,2,3
2021-04-29,DAL,DET,1, +10,25:50,4,3,1,0,2,1,1,1,1,1,8
2021-05-01,DAL,WAS,0, +1,18:52,5,3,0,0,3,0,0,0,0,3,11
2021-05-02,DAL,SAC,0, -12,20:09,3,3,0,0,7,0,2,3,3,3,13
2021-05-04,DAL,MIA,1, +14,28:33,4,3,0,0,10,3,3,2,0,5,7
2021-05-06,DAL,BRK,0, +4,27:11,4,4,0,0,10,5,1,1,0,2,12
2021-05-07,DAL,CLE,0, +20,21:45,4,3,0,0,4,3,0,1,2,5,8
2021-05-09,DAL,CLE,1, +27,27:03,8,6,0,0,9,4,1,4,2,3,12
2021-05-11,DAL,MEM,1, -29,11:27,1,1,0,0,1,2,0,0,1,3,2
2021-05-12,DAL,NOP,0, +18,30:19,5,5,0,0,8,0,1,0,1,3,12
2021-05-14,DAL,TOR,0, +4,26:13,3,1,0,0,4,1,0,1,1,0,7
2021-05-16,DAL,MIN,1, -15,27:37,3,2,0,0,7,8,0,2,1,5,6
