Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,Rebounds,Assists,Steals,Blocks,Turnovers,Fouls,Points
2020-12-31,IND,CLE,0,20,2.35,0,0,0,0,0,0,0,0,0,0,0
2021-01-09,IND,PHO,0,-8,6.17,2,2,0,0,0,0,1,0,1,0,4
2021-01-11,IND,SAC,1,-5,11.47,4,3,2,1,3,2,0,0,0,1,8
2021-01-12,IND,GSW,1,9,30.63,11,6,3,0,4,0,1,0,3,2,12
2021-01-14,IND,POR,1,24,19.53,8,3,4,1,3,2,2,0,0,1,7
2021-01-17,IND,LAC,1,-33,21.25,7,3,3,1,3,2,3,0,2,4,9
2021-01-20,IND,DAL,0,-12,14.57,4,2,2,1,2,0,0,0,1,2,7
2021-01-22,IND,ORL,0,2,2.52,3,1,0,0,0,0,0,0,0,1,2
2021-01-25,IND,TOR,0,15,9.3,3,1,1,0,3,0,0,0,2,3,3
2021-01-29,IND,CHO,1,-3,0.75,1,1,1,1,0,0,1,0,1,0,3
2021-01-31,IND,PHI,0,-9,0.1,0,0,0,0,0,0,0,0,0,0,0
2021-02-02,IND,MEM,0,18,3.08,0,0,0,0,0,0,0,0,0,0,0
2021-02-03,IND,MIL,1,-20,6.22,1,0,0,0,1,1,0,1,0,0,2
2021-02-10,IND,BRK,1,-10,8.37,2,0,0,0,1,1,0,0,0,0,0
2021-02-11,IND,DET,1,16,1.65,1,1,0,0,0,0,0,0,0,0,2
2021-02-15,IND,CHI,0,-8,11.68,1,1,0,0,1,0,0,0,0,3,3
2021-02-24,IND,GSW,0,-4,3.47,1,1,0,0,0,0,0,0,0,1,2
2021-02-26,IND,BOS,1,-6,15.73,4,1,2,0,4,1,2,0,0,1,6
2021-02-27,IND,NYK,1,-3,17.1,4,3,1,1,2,1,0,0,0,2,9
2021-03-01,IND,PHI,1,-16,28.45,14,7,3,1,3,0,2,0,2,2,18
2021-03-03,IND,CLE,1,3,17.47,8,4,1,0,1,0,1,1,2,2,8
2021-03-04,IND,DEN,0,-10,19.35,3,2,3,2,0,0,0,0,3,1,8
2021-03-12,IND,LAL,1,-5,14.57,2,0,1,0,0,0,0,0,3,4,2
2021-03-13,IND,PHO,1,11,12.18,3,2,2,1,2,0,1,0,1,0,5
2021-03-15,IND,DEN,1,-15,13.5,4,1,2,1,1,0,0,0,0,1,3
2021-03-17,IND,BRK,0,-9,12.2,5,3,1,0,2,0,1,0,1,3,8
2021-03-19,IND,MIA,1,27,11.32,2,2,0,0,1,1,0,0,1,1,6
2021-03-21,IND,MIA,1,3,11.9,4,1,3,1,1,0,0,1,1,1,3
2021-03-22,IND,MIL,1,-27,15.3,5,1,3,1,2,1,0,0,0,1,3
2021-03-24,IND,DET,0,5,15.88,9,7,6,4,0,3,0,0,0,3,18
2021-03-26,IND,DAL,1,15,17.25,7,3,4,2,4,2,1,0,0,1,10
2021-03-29,IND,WAS,1,-8,19.25,6,3,1,0,1,0,0,0,0,1,8
2021-03-31,IND,MIA,0,-5,15.0,5,1,2,1,3,1,0,0,1,0,3
2021-04-02,IND,CHO,0,-17,22.42,8,4,2,0,6,3,0,1,4,2,10
2021-04-03,IND,SAS,1,6,29.78,9,6,0,0,6,3,1,0,1,4,15
2021-04-06,IND,CHI,0,-16,18.3,8,6,2,0,1,1,2,0,3,2,15
2021-04-07,IND,MIN,0,4,22.35,6,3,1,1,1,1,0,1,1,3,7
2021-04-09,IND,ORL,1,5,20.93,5,4,1,1,0,1,1,1,0,2,12
2021-04-11,IND,MEM,1,7,20.72,8,4,3,1,0,0,0,1,1,0,11
2021-04-13,IND,LAC,0,-11,20.1,6,3,2,0,3,1,2,0,2,1,7
2021-04-14,IND,HOU,1,8,15.22,4,3,1,1,0,0,0,0,0,0,7
2021-04-16,IND,UTA,1,-8,21.03,4,1,1,0,2,1,3,0,2,3,4
2021-04-18,IND,ATL,1,-12,27.77,10,5,3,0,2,2,0,1,1,5,14
2021-04-19,IND,SAS,0,-15,23.48,5,3,2,1,5,6,2,0,1,2,7
2021-04-21,IND,OKC,0,6,25.25,8,4,3,2,2,1,0,1,1,2,10
2021-04-24,IND,DET,0,6,34.15,15,9,5,4,1,2,1,1,0,2,22
2021-04-25,IND,ORL,1,19,36.53,13,7,3,0,7,2,1,0,2,3,21
2021-04-27,IND,POR,0,-21,20.17,6,1,3,1,2,2,1,0,2,5,4
2021-04-29,IND,BRK,0,-17,22.57,9,6,2,1,1,1,0,0,0,2,16
2021-05-01,IND,OKC,1,57,12.08,5,4,0,0,1,1,1,0,0,1,10
2021-05-03,IND,WAS,1,-13,16.05,6,3,2,2,2,1,0,0,0,2,10
2021-05-08,IND,WAS,0,-1,29.78,8,5,0,0,2,1,2,0,2,1,13
2021-05-10,IND,CLE,1,9,13.0,5,1,1,0,2,1,0,0,3,4,2
