Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,Rebounds,Assists,Steals,Blocks,Turnovers,Fouls,Points
2020-12-23,UTA,POR,1, +20,3:09,1,0,0,0,1,1,0,0,0,0,3
2021-01-03,UTA,SAS,1, +21,5:35,2,0,1,0,0,0,0,1,0,0,0
2021-01-05,UTA,BRK,1, -34,7:34,6,2,4,1,2,0,0,0,2,0,5
2021-01-08,UTA,MIL,1, +13,0:53,1,0,1,0,0,1,1,0,0,0,0
2021-01-12,UTA,CLE,1, +30,4:53,4,2,4,2,1,0,0,0,1,0,6
2021-01-15,UTA,ATL,0, +24,4:55,1,1,0,0,0,1,0,0,1,0,2
2021-03-18,UTA,WAS,1, -9,0:57,0,0,0,0,0,0,0,0,0,0,0
2021-03-24,UTA,BRK,0, +30,4:29,2,1,2,1,2,1,0,0,0,0,3
2021-03-27,UTA,MEM,0, +16,2:10,0,0,0,0,0,0,0,0,0,0,0
2021-03-29,UTA,CLE,0, +39,3:37,1,1,1,1,0,0,0,0,1,0,3
2021-04-08,UTA,POR,0, +19,1:17,1,1,1,1,1,0,0,0,0,0,3
2021-04-19,UTA,LAL,1, +14,2:08,1,0,1,0,0,0,0,0,0,1,0
2021-04-21,UTA,HOU,1, +23,4:45,2,0,2,0,0,0,0,0,1,0,0
2021-04-28,UTA,SAC,1, +49,3:52,1,0,1,0,0,1,0,0,0,0,0
2021-04-30,UTA,PHO,1, -21,4:41,3,0,2,0,0,0,0,0,0,0,0
2021-05-03,UTA,SAS,0, +11,1:16,1,0,1,0,0,0,0,0,0,0,0
2021-05-05,UTA,SAS,0, +32,5:42,3,2,2,2,0,1,0,0,0,0,6
2021-05-12,UTA,POR,0, -7,1:49,0,0,0,0,2,0,0,0,0,0,0
