Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,Rebounds,Assists,Steals,Blocks,Turnovers,Fouls,Points
2020-12-23,NOP,TOR,1, +14,34:27,12,6,8,4,2,6,1,1,4,1,18
2020-12-25,NOP,MIA,1, -13,33:10,10,2,6,1,2,6,1,0,5,2,5
2020-12-27,NOP,SAS,0, +3,28:22,11,3,5,1,2,0,1,1,1,1,7
2020-12-29,NOP,PHO,1, -25,24:12,5,3,2,0,0,2,1,0,0,0,7
2020-12-31,NOP,OKC,1, +33,25:11,11,7,5,2,3,1,1,0,0,0,17
2021-01-02,NOP,TOR,0, +4,31:16,12,5,6,4,5,10,1,1,0,3,19
2021-01-04,NOP,IND,0, -2,34:23,9,4,3,1,11,5,0,0,4,5,12
2021-01-06,NOP,OKC,0, -1,25:04,9,5,4,2,3,3,2,0,2,1,13
2021-01-08,NOP,CHO,0, -8,33:13,8,3,6,2,1,6,2,0,2,2,8
2021-01-15,NOP,LAL,1, -17,20:30,7,3,3,1,1,2,0,1,3,3,7
2021-01-17,NOP,SAC,1, +5,29:49,14,8,4,3,6,1,1,0,2,1,21
2021-01-19,NOP,UTA,1, -16,24:06,9,3,4,2,4,2,0,0,1,1,9
2021-01-21,NOP,UTA,1, -11,28:04,12,4,3,0,6,3,2,0,2,3,8
2021-01-23,NOP,MIN,1, -10,34:11,23,11,5,3,5,3,1,0,1,1,28
2021-01-27,NOP,WAS,0, +18,35:59,14,6,9,3,7,4,0,0,3,2,18
2021-01-29,NOP,MIL,0, +5,34:27,21,9,14,7,2,4,0,1,2,1,25
2021-01-30,NOP,HOU,0, -14,28:44,13,6,8,2,4,5,0,0,2,0,15
2021-02-01,NOP,SAC,0, -9,36:17,11,5,7,2,2,4,0,1,3,3,14
2021-02-03,NOP,PHO,0, +22,29:12,7,4,6,3,3,3,0,0,1,0,11
2021-02-05,NOP,IND,1, +1,27:02,6,2,1,1,4,3,0,0,3,3,5
2021-02-06,NOP,MEM,0, +9,31:23,15,7,9,4,4,5,0,0,0,1,21
2021-02-09,NOP,HOU,0, +29,23:10,10,3,6,2,2,4,1,0,0,0,10
2021-02-10,NOP,CHI,1, -13,17:09,5,2,3,1,2,3,0,0,2,1,5
2021-02-12,NOP,DAL,1, -13,32:30,7,5,4,4,4,4,1,0,1,3,16
2021-02-14,NOP,DET,1, -11,31:25,9,1,9,1,5,2,0,0,0,1,6
2021-02-16,NOP,MEM,1, +31,23:15,7,3,4,1,3,5,2,1,1,0,7
2021-02-17,NOP,POR,0, -2,23:13,7,4,3,2,3,3,0,0,2,1,10
2021-02-19,NOP,PHO,0, -18,25:58,9,5,4,1,1,1,1,1,1,0,12
2021-02-21,NOP,BOS,0, +5,24:43,6,3,1,0,1,3,0,1,1,2,8
2021-02-24,NOP,DET,0, +10,33:08,11,5,1,0,3,2,2,0,1,0,11
2021-02-25,NOP,MIL,1, -4,34:59,13,5,10,4,4,5,1,0,2,3,16
2021-02-27,NOP,SAS,1, -3,34:17,13,6,5,2,6,4,2,1,1,2,19
2021-03-01,NOP,UTA,0, +5,37:28,13,5,2,1,5,5,2,0,0,1,11
2021-03-03,NOP,CHI,0, -4,41:50,8,3,4,0,5,10,2,0,2,3,12
2021-03-04,NOP,MIA,0, -10,25:55,6,2,5,2,3,5,0,0,1,3,9
2021-03-11,NOP,MIN,0, -30,20:56,8,1,4,0,2,2,0,1,1,3,2
2021-03-12,NOP,CLE,0, +34,20:15,4,0,0,0,1,3,0,0,2,0,0
2021-03-14,NOP,LAC,0, +20,25:42,5,3,2,0,2,8,0,0,1,4,7
2021-03-16,NOP,POR,1, -1,26:52,9,3,3,2,4,3,0,0,1,5,11
2021-03-18,NOP,POR,1, -8,28:44,8,3,4,1,3,3,1,1,1,3,7
2021-03-21,NOP,DEN,1, +5,31:19,8,3,3,0,2,2,0,1,1,1,6
2021-03-23,NOP,LAL,0, +17,33:28,8,1,3,0,4,2,1,0,2,1,2
2021-03-26,NOP,DEN,0, -5,34:06,11,5,5,2,4,9,2,0,1,1,16
2021-03-27,NOP,DAL,0, +9,36:15,9,4,7,2,2,2,0,0,1,0,11
2021-03-29,NOP,BOS,1, +6,35:45,9,4,8,4,3,5,0,0,1,4,13
2021-04-01,NOP,ORL,0, -5,45:50,12,5,6,3,5,6,2,2,6,2,14
2021-04-02,NOP,ATL,0, -23,31:49,14,5,5,0,3,5,0,0,1,1,14
2021-04-04,NOP,HOU,1, +7,34:17,15,4,12,4,4,2,1,1,2,1,19
2021-04-06,NOP,ATL,1, -16,33:00,10,4,8,4,2,4,0,0,1,2,14
2021-04-07,NOP,BRK,1, -28,28:32,17,9,6,2,5,1,0,0,1,1,26
2021-04-09,NOP,PHI,0, +7,28:41,9,3,4,1,4,2,0,0,2,1,9
2021-04-11,NOP,CLE,1, +7,32:38,9,2,8,1,6,5,1,0,1,1,7
2021-04-12,NOP,SAC,0, +7,34:54,11,3,6,1,2,5,2,0,5,1,13
2021-04-14,NOP,NYK,0, -10,27:09,7,3,3,0,3,0,0,0,0,1,6
2021-04-16,NOP,WAS,1, -2,33:33,6,2,2,0,5,1,1,1,2,2,8
2021-04-18,NOP,NYK,1, -10,38:11,20,8,9,3,4,4,0,0,2,3,22
2021-04-20,NOP,BRK,0, -5,16:49,6,2,5,2,1,3,0,0,2,1,6
2021-04-22,NOP,ORL,1, +35,21:44,7,5,7,5,2,3,0,0,0,0,15
2021-04-24,NOP,SAS,0, -2,22:40,6,2,2,0,3,3,3,0,2,4,6
2021-04-26,NOP,LAC,0, +17,25:36,13,6,4,1,4,2,4,0,1,0,18
2021-04-28,NOP,DEN,1, -2,27:11,12,7,6,2,3,4,2,0,3,3,17
2021-04-29,NOP,OKC,1, +14,29:30,8,3,4,0,3,4,0,1,0,0,7
2021-05-01,NOP,MIN,1, +4,35:00,10,6,6,2,3,3,0,1,2,1,16
2021-05-03,NOP,GSW,0, -15,32:45,7,4,2,1,5,4,1,1,1,0,11
2021-05-04,NOP,GSW,0, +5,34:07,11,5,5,2,5,4,0,0,1,1,14
2021-05-07,NOP,PHI,1, -2,40:05,20,7,7,1,5,4,2,0,2,0,18
2021-05-09,NOP,CHO,1, +2,33:02,17,8,9,3,4,11,2,0,1,0,24
2021-05-10,NOP,MEM,1, -5,29:10,12,4,2,0,5,5,1,1,4,3,11
2021-05-12,NOP,DAL,1, -18,26:01,11,5,5,1,2,4,1,0,3,3,15
2021-05-14,NOP,GSW,1, -3,15:43,9,5,0,0,1,4,0,1,1,4,11
2021-05-16,NOP,LAL,0, -12,22:07,9,5,4,2,4,2,0,2,0,0,13
