Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2020-12-22,GSW,BRK,1,-26,21.55,6,2,1,1,1,2,1,1,0,0,1,0,1,6,-28
2020-12-25,GSW,MIL,1,-39,24.98,8,3,3,0,1,1,1,2,1,1,0,1,2,7,-23
2020-12-27,GSW,CHI,1,1,19.12,8,4,2,1,6,7,1,2,2,2,0,1,2,15,-13
2020-12-29,GSW,DET,1,10,13.48,4,3,0,0,4,6,0,2,1,0,0,0,3,10,-3
2021-01-01,GSW,POR,0,-25,16.92,7,5,1,0,3,3,0,4,1,0,1,1,1,13,5
2021-01-03,GSW,POR,0,15,16.53,6,5,0,0,0,0,1,3,1,0,0,0,3,10,-2
2021-01-04,GSW,SAC,0,31,21.82,10,6,3,2,0,0,0,7,4,0,0,1,2,14,12
2021-01-06,GSW,LAC,0,-7,20.12,14,7,3,0,5,5,2,3,1,0,0,0,1,19,3
2021-01-08,GSW,LAC,0,10,20.02,10,5,3,2,0,0,2,6,1,0,0,0,0,12,21
2021-01-10,GSW,TOR,0,1,18.63,10,5,2,1,4,5,1,2,1,0,0,0,3,15,4
2021-01-14,GSW,DEN,1,-10,20.83,9,2,2,1,3,4,1,5,0,0,0,0,2,8,-8
2021-01-18,GSW,LAL,1,2,19.27,11,8,1,0,3,4,1,4,3,1,0,0,1,19,1
2021-01-20,GSW,SAS,0,22,16.05,8,3,2,0,1,2,0,3,3,0,0,0,1,7,-1
2021-01-21,GSW,NYK,0,-15,18.82,10,5,1,0,2,2,2,4,0,0,0,1,3,12,-9
2021-01-23,GSW,UTA,1,-19,13.55,6,2,2,0,0,0,0,1,2,0,0,3,4,4,2
2021-01-25,GSW,MIN,0,22,13.32,10,2,1,1,0,2,3,5,1,0,0,0,0,5,3
2021-01-27,GSW,MIN,0,12,14.78,3,1,1,0,2,2,0,0,1,0,0,0,4,4,-16
2021-01-28,GSW,PHO,1,-21,18.67,10,6,1,0,0,0,1,1,2,0,0,2,1,12,-5
2021-01-30,GSW,DET,0,27,8.23,4,1,0,0,0,0,0,2,2,0,0,1,0,2,3
2021-02-02,GSW,BOS,0,-4,14.05,4,1,0,0,3,6,0,0,0,0,0,1,0,5,-8
2021-02-08,GSW,SAS,1,-5,12.38,5,2,0,0,0,0,1,3,0,0,0,1,1,4,-8
2021-02-09,GSW,SAS,1,23,15.98,7,6,3,3,0,2,2,6,2,0,0,0,4,15,8
2021-02-11,GSW,ORL,0,6,12.2,5,1,2,0,0,0,1,3,0,0,0,1,2,2,-22
2021-02-13,GSW,BRK,0,-17,17.35,10,7,0,0,2,2,0,4,0,0,0,2,0,16,7
2021-02-15,GSW,CLE,0,31,18.22,11,6,1,0,2,2,2,8,1,1,1,2,1,14,11
2021-02-17,GSW,MIA,0,8,31.67,5,4,1,0,3,6,0,7,3,0,0,2,2,11,10
2021-02-19,GSW,ORL,1,-4,14.42,5,2,0,0,1,2,0,2,4,0,0,0,1,5,12
2021-02-20,GSW,CHO,1,-2,28.55,10,5,0,0,6,6,1,6,1,0,0,3,2,16,4
2021-02-23,GSW,NYK,1,8,14.92,6,3,1,0,2,3,0,1,1,1,0,1,2,8,-15
2021-02-24,GSW,IND,1,4,18.25,8,5,0,0,3,4,0,1,1,1,1,4,4,13,-3
2021-02-26,GSW,CHO,0,9,14.92,5,3,0,0,0,0,0,3,1,1,0,3,1,6,-10
2021-02-28,GSW,LAL,1,-26,22.48,14,8,3,1,1,1,1,4,1,1,0,1,3,18,-4
2021-03-03,GSW,POR,1,-2,11.72,7,1,1,0,1,2,1,3,1,0,0,0,0,3,4
2021-03-04,GSW,PHO,1,-22,15.27,9,2,4,0,2,4,0,4,0,0,0,3,0,6,-16
2021-03-11,GSW,LAC,1,-26,15.82,4,1,1,0,0,0,0,1,2,0,2,2,1,2,-17
2021-03-14,GSW,UTA,0,12,11.63,6,4,1,1,0,0,1,3,1,1,0,1,3,9,16
2021-03-15,GSW,LAL,0,-31,18.6,5,2,2,1,0,0,0,1,3,1,0,1,3,5,-18
2021-03-26,GSW,ATL,0,-16,8.63,4,3,1,1,1,2,0,1,0,0,0,0,0,8,4
2021-04-02,GSW,TOR,1,-53,22.62,9,3,3,1,2,2,0,6,2,1,1,2,1,9,-17
2021-05-14,GSW,NOP,0,3,18.58,5,4,1,1,3,5,1,4,0,0,0,2,3,12,3
