Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2020-12-23,ORL,MIA,0,6,30.72,13,9,5,3,4,5,0,0,4,3,0,2,2,25,0
2020-12-26,ORL,WAS,1,10,28.95,8,4,5,1,4,5,1,5,0,2,0,2,4,13,-1
2020-12-27,ORL,WAS,1,7,27.83,10,4,5,2,9,10,1,1,2,0,0,1,2,19,-15
2020-12-29,ORL,OKC,1,11,31.73,11,5,6,2,2,2,0,1,2,2,0,4,4,14,12
2020-12-31,ORL,PHI,0,-24,7.8,3,1,2,0,1,1,0,1,2,0,0,0,1,3,-11
2021-01-20,ORL,MIN,1,1,28.3,21,9,9,2,4,4,0,1,2,2,0,2,3,24,15
2021-01-22,ORL,IND,1,-2,35.68,14,8,8,4,6,12,1,4,9,0,0,1,0,26,3
2021-01-24,ORL,CHO,0,-3,32.78,16,7,8,3,4,7,0,3,6,1,0,4,1,21,-6
2021-01-25,ORL,CHO,0,9,31.92,14,7,8,5,0,0,0,2,6,2,0,2,3,19,11
2021-01-27,ORL,SAC,0,-14,30.17,15,7,8,3,8,8,0,3,4,0,3,1,2,25,-18
2021-01-29,ORL,LAC,0,-26,25.62,13,3,6,1,1,1,0,4,3,1,0,0,2,8,-29
2021-01-31,ORL,TOR,1,-13,28.37,12,2,6,1,6,6,1,2,3,1,1,1,1,11,-20
2021-02-02,ORL,TOR,0,-15,29.0,15,7,5,1,6,8,0,5,4,0,2,6,4,21,-14
2021-02-05,ORL,CHI,0,4,29.3,13,6,7,3,5,6,0,3,4,0,0,3,3,20,7
2021-02-17,ORL,NYK,0,18,31.42,15,8,5,3,0,0,0,3,3,1,0,2,2,19,3
2021-02-19,ORL,GSW,0,4,31.6,18,11,9,5,1,2,0,4,6,2,0,2,0,28,31
2021-02-21,ORL,DET,0,9,31.28,15,7,10,3,12,13,1,7,7,0,0,4,1,29,20
2021-02-23,ORL,DET,0,-12,32.57,14,4,8,3,3,6,0,3,3,1,0,3,2,14,-10
2021-02-25,ORL,BRK,1,-37,26.35,9,3,5,1,1,1,0,1,3,2,0,3,0,8,-15
2021-02-27,ORL,UTA,0,-15,33.9,20,7,7,1,1,1,0,7,4,2,1,0,2,16,-18
2021-03-01,ORL,DAL,0,-6,27.3,13,8,8,5,5,7,0,5,2,0,0,2,3,26,-1
2021-03-18,ORL,NYK,1,-1,34.18,21,9,11,4,1,1,0,1,4,2,1,1,3,23,4
2021-03-19,ORL,BRK,0,8,35.42,13,10,8,6,5,6,0,3,2,0,0,4,2,31,8
2021-03-21,ORL,BOS,1,-16,35.35,19,6,8,2,2,2,0,5,2,2,0,1,1,16,-21
2021-03-23,ORL,DEN,0,-11,36.23,18,10,12,5,6,8,0,1,6,1,0,1,3,31,0
2021-03-24,ORL,PHO,0,1,32.8,16,8,9,4,1,1,0,0,2,0,1,2,4,21,-14
2021-03-29,BOS,NOP,0,-6,32.55,10,0,5,0,0,0,0,2,0,2,2,1,3,0,-12
2021-03-31,BOS,DAL,0,-5,30.68,6,3,2,0,0,1,0,3,1,1,0,0,2,6,5
2021-04-02,BOS,HOU,0,16,29.67,13,8,11,7,0,0,0,2,0,0,0,2,3,23,5
2021-04-04,BOS,CHO,0,30,21.75,9,5,5,4,3,3,0,0,6,2,1,1,2,17,24
2021-04-23,BOS,BRK,1,-5,22.32,7,0,3,0,2,2,1,2,5,1,1,2,2,2,5
2021-04-25,BOS,CHO,1,-21,19.8,3,0,2,0,0,0,0,3,1,0,0,1,1,0,2
2021-04-27,BOS,OKC,0,-4,35.0,14,4,9,2,1,2,0,7,1,5,1,3,3,11,2
2021-04-28,BOS,CHO,0,9,31.63,7,1,3,0,0,0,1,4,2,0,0,0,3,2,3
2021-04-30,BOS,SAS,0,3,20.78,6,3,4,2,0,0,0,2,0,1,0,2,3,8,0
2021-05-02,BOS,POR,0,-10,33.53,10,8,7,5,0,0,0,5,3,2,0,1,3,21,-16
2021-05-05,BOS,ORL,1,36,28.78,14,8,5,2,0,0,1,5,4,2,0,0,3,18,26
2021-05-07,BOS,CHI,1,-22,36.08,11,7,4,3,0,0,0,6,3,1,1,2,3,17,-4
2021-05-09,BOS,MIA,0,-6,35.0,16,11,11,7,1,1,1,3,8,0,1,0,4,30,-2
2021-05-11,BOS,MIA,0,-8,36.12,15,7,7,4,2,3,0,4,8,1,2,1,2,20,-6
2021-05-12,BOS,CLE,1,-8,34.32,20,6,9,3,0,0,1,4,1,2,1,1,2,15,-10
2021-05-15,BOS,MIN,1,16,24.4,11,6,8,5,1,2,0,1,6,0,0,2,2,18,22
