Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2020-12-23,DEN,SAC,0,-2,8.13,1,1,1,1,0,0,0,1,0,0,0,0,1,3,-4
2020-12-25,DEN,LAC,0,-13,3.18,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-7
2020-12-28,DEN,HOU,0,13,5.43,1,0,0,0,4,4,0,1,0,0,0,1,2,4,-10
2020-12-29,DEN,SAC,1,-10,12.57,3,0,3,0,1,2,0,2,5,2,0,3,4,1,-10
2021-01-01,DEN,PHO,0,-3,3.88,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-6
2021-01-03,DEN,MIN,1,15,21.4,8,5,7,5,0,0,0,1,2,3,1,1,0,15,26
2021-01-05,DEN,MIN,0,7,25.87,7,3,3,0,5,7,0,1,2,0,0,0,4,11,3
2021-01-09,DEN,PHI,1,12,17.02,4,1,4,1,0,0,0,2,2,0,0,1,1,3,1
2021-01-10,DEN,NYK,1,25,14.17,5,2,2,1,0,0,0,2,2,2,0,1,2,5,16
2021-01-12,DEN,BRK,1,-6,11.22,5,2,5,2,0,0,0,0,1,0,0,0,2,6,5
2021-01-14,DEN,GSW,0,10,12.03,3,1,3,1,0,0,0,0,1,0,0,1,4,3,-2
2021-01-17,DEN,UTA,0,-4,11.23,4,2,1,1,0,0,1,1,2,0,0,1,5,5,-12
2021-01-19,DEN,OKC,0,18,18.0,6,1,3,1,0,0,0,0,1,1,0,1,2,3,8
2021-01-22,DEN,PHO,1,4,7.12,0,0,0,0,0,0,0,0,1,1,0,0,0,0,7
2021-01-23,DEN,PHO,1,8,14.77,3,1,3,1,0,0,0,0,2,0,0,0,2,3,8
2021-01-25,DEN,DAL,1,4,12.78,1,0,1,0,0,0,2,2,2,2,0,1,1,0,12
2021-01-27,DEN,MIA,1,27,10.12,4,0,3,0,0,0,0,0,1,2,1,0,0,0,-2
2021-01-29,DEN,SAS,1,-10,10.15,1,0,0,0,0,0,0,0,3,2,0,2,0,0,-1
2021-01-31,DEN,UTA,0,11,19.18,5,3,4,2,3,4,0,2,5,0,0,1,4,11,5
2021-02-04,DEN,LAL,1,-21,2.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1
2021-02-10,DEN,CLE,0,38,12.68,6,2,4,1,0,0,0,0,3,2,1,0,2,5,5
2021-02-12,DEN,OKC,0,2,6.2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,-10
2021-02-14,DEN,LAL,0,17,25.77,8,4,6,3,4,5,1,1,4,2,0,0,2,15,10
2021-02-16,DEN,BOS,1,-13,39.53,12,5,6,2,3,4,1,3,8,2,1,1,3,15,-2
2021-02-17,DEN,WAS,1,-2,25.22,7,5,4,2,2,3,0,1,1,2,0,1,1,14,-7
2021-02-19,DEN,CLE,1,17,28.37,5,3,3,2,2,2,0,2,3,2,0,4,2,10,4
2021-02-21,DEN,ATL,1,-8,26.55,7,4,7,4,4,4,0,1,2,0,0,1,5,16,6
2021-02-23,DEN,POR,0,5,27.13,5,1,4,1,0,0,0,3,6,1,1,0,1,3,4
2021-02-25,DEN,WAS,0,-2,32.15,8,1,7,1,2,2,0,3,2,0,2,0,2,5,-3
2021-02-27,DEN,OKC,1,30,24.22,5,4,2,1,0,0,0,2,1,3,0,3,3,9,5
2021-03-12,DEN,MEM,1,1,19.53,7,3,6,2,0,0,0,2,4,0,0,1,1,8,-12
2021-03-13,DEN,DAL,0,-13,26.78,2,0,1,0,0,0,0,2,6,0,0,1,4,0,-12
2021-03-15,DEN,IND,0,15,21.53,3,0,0,0,0,0,1,3,6,2,0,1,1,0,16
2021-03-17,DEN,CHO,0,25,24.95,4,2,3,1,1,2,0,2,10,4,0,2,5,6,17
2021-03-19,DEN,CHI,0,4,33.83,1,0,1,0,2,2,0,4,8,1,1,1,3,2,10
2021-03-21,DEN,NOP,0,-5,19.78,4,0,4,0,0,0,0,2,2,1,0,1,2,0,-11
2021-03-23,DEN,ORL,1,11,22.13,5,1,3,0,0,0,1,3,6,2,0,1,1,2,9
2021-03-24,DEN,TOR,1,-24,17.68,6,2,5,2,0,0,1,1,2,0,0,0,1,6,-20
2021-03-26,DEN,NOP,1,5,12.17,2,0,0,0,0,0,0,3,0,0,0,0,2,0,-13
2021-03-28,DEN,ATL,0,24,27.88,2,2,2,2,0,0,1,1,5,1,0,2,2,6,7
2021-03-30,DEN,PHI,0,9,25.32,5,0,5,0,0,0,0,2,1,2,1,4,2,0,-13
2021-04-01,DEN,LAC,1,7,20.35,1,1,1,1,0,0,1,4,5,1,0,2,2,3,-3
2021-04-04,DEN,ORL,0,10,9.18,3,1,2,0,1,1,1,2,1,0,0,0,0,3,-6
2021-04-06,DEN,DET,0,15,22.2,6,2,3,2,0,0,0,0,5,1,0,1,3,6,8
2021-04-07,DEN,SAS,0,10,27.7,7,2,5,2,0,0,1,5,2,0,0,2,3,6,-2
2021-04-09,DEN,SAS,0,2,23.08,2,1,2,1,6,6,0,1,4,1,0,0,0,9,-11
2021-04-11,DEN,BOS,0,-18,33.43,6,5,3,3,1,1,1,3,4,0,1,2,1,14,1
2021-04-12,DEN,GSW,1,-9,21.08,3,2,2,2,0,0,0,3,2,4,0,0,4,6,12
2021-04-14,DEN,MIA,0,17,26.2,5,3,4,2,0,0,0,2,5,0,0,1,2,8,3
2021-04-16,DEN,HOU,1,29,25.82,5,2,4,2,1,2,1,2,3,1,0,1,1,7,17
2021-04-19,DEN,MEM,0,2,35.1,8,1,7,1,0,0,0,3,2,2,0,3,5,3,2
2021-04-21,DEN,POR,1,1,27.22,6,4,5,4,0,0,2,5,3,0,1,1,3,12,8
2021-04-23,DEN,GSW,1,-21,31.72,8,1,7,1,4,4,0,1,4,1,0,0,5,7,-20
2021-04-24,DEN,HOU,0,13,33.53,5,1,3,0,3,3,0,2,13,3,0,1,1,5,15
2021-04-26,DEN,MEM,0,24,30.28,8,3,4,1,0,0,1,2,7,2,0,1,3,7,10
2021-04-28,DEN,NOP,0,2,36.25,9,6,6,3,4,4,0,6,10,2,1,4,2,19,3
2021-04-29,DEN,TOR,0,10,29.4,5,3,1,0,6,7,1,2,4,1,0,1,1,12,0
2021-05-01,DEN,LAC,1,6,32.08,4,2,4,2,4,4,0,3,3,0,0,3,3,10,-3
2021-05-03,DEN,LAL,1,-4,36.73,6,3,4,1,1,2,0,4,8,5,0,2,3,8,-3
2021-05-05,DEN,NYK,0,16,32.53,12,5,7,2,4,4,2,9,4,5,2,1,1,16,14
2021-05-07,DEN,UTA,1,-7,33.3,10,2,7,1,0,0,0,8,9,1,0,2,2,5,-3
2021-05-08,DEN,BRK,0,-6,34.32,9,4,6,3,8,8,0,2,5,3,0,0,3,19,-1
2021-05-11,DEN,CHO,1,5,36.87,9,3,7,2,0,0,1,4,6,3,0,3,2,8,14
2021-05-13,DEN,MIN,1,11,32.87,8,2,3,0,2,2,1,3,9,0,0,3,0,6,8
2021-05-16,DEN,POR,1,-16,13.72,3,0,2,0,2,2,0,2,2,1,0,0,1,2,-11
