Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,Rebounds,Assists,Steals,Blocks,Turnovers,Fouls,Points
2021-04-10,TOR,CLE,1,20,18.27,4,3,0,0,4,1,3,1,1,0,6
2021-04-11,TOR,NYK,1,-6,8.83,1,0,0,0,1,0,0,0,0,1,0
2021-04-13,TOR,ATL,0,-5,11.8,3,2,0,0,1,0,0,1,0,3,4
2021-04-14,TOR,SAS,0,5,18.92,5,3,0,0,8,1,0,2,1,2,9
2021-04-16,TOR,ORL,0,11,21.78,8,5,0,0,7,0,0,0,1,4,10
2021-04-18,TOR,OKC,0,6,19.03,4,4,0,0,2,1,0,1,0,1,10
2021-04-21,TOR,BRK,0,11,23.63,4,1,0,0,5,1,1,5,0,3,4
2021-04-24,TOR,NYK,1,-17,12.65,2,1,0,0,1,1,0,0,1,1,2
2021-04-26,TOR,CLE,0,16,13.65,2,1,0,0,2,0,0,0,2,5,6
2021-04-27,TOR,BRK,0,-13,11.73,2,1,0,0,5,0,0,0,0,3,2
2021-04-29,TOR,DEN,1,-10,12.03,1,1,0,0,2,0,0,1,0,0,4
2021-05-01,TOR,UTA,1,-4,12.68,4,2,0,0,4,0,1,1,0,0,4
2021-05-02,TOR,LAL,1,7,19.97,11,5,0,0,7,0,1,0,0,4,11
2021-05-04,TOR,LAC,1,-5,15.15,4,3,0,0,4,1,1,1,0,1,7
2021-05-06,TOR,WAS,0,-2,16.9,4,1,0,0,7,0,1,1,1,2,3
2021-05-08,TOR,MEM,0,-10,21.8,4,2,0,0,8,0,0,1,1,3,6
2021-05-11,TOR,LAC,0,-19,25.08,6,4,0,0,7,1,1,3,1,2,10
2021-05-13,TOR,CHI,1,-12,30.83,4,1,0,0,5,0,3,0,1,3,2
2021-05-14,TOR,DAL,1,-4,36.0,2,1,0,0,7,1,1,1,2,3,4
2021-05-16,TOR,IND,0,-12,41.15,9,3,0,0,10,1,0,1,0,2,7
