Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2020-12-23,PHI,WAS,0,6,20.18,9,4,6,3,0,0,0,1,0,1,2,2,1,11,14
2020-12-26,PHI,NYK,1,20,18.0,7,1,5,1,0,0,0,3,1,0,0,3,1,3,-4
2020-12-27,PHI,CLE,1,-24,16.67,8,1,5,0,2,2,0,2,2,1,0,1,0,4,-23
2021-01-20,PHI,BOS,0,8,19.63,5,2,3,1,2,3,0,1,0,1,0,0,1,7,-9
2021-01-22,PHI,BOS,0,12,17.7,9,2,7,2,0,0,0,1,2,0,0,1,1,6,0
2021-01-23,PHI,DET,1,4,13.07,3,2,3,2,2,2,0,4,0,0,0,0,1,8,-5
2021-01-25,PHI,DET,1,-15,14.28,8,3,4,1,0,0,1,4,1,1,0,0,1,7,1
2021-01-27,PHI,LAL,0,1,10.62,5,3,3,2,0,0,0,0,0,1,0,0,1,8,4
2021-01-29,PHI,MIN,1,24,28.03,6,3,4,2,0,0,1,3,0,2,0,0,0,8,9
2021-01-31,PHI,IND,1,9,22.95,12,6,5,3,2,2,0,3,2,0,0,1,3,17,26
2021-02-03,PHI,CHO,1,7,16.08,3,2,1,0,0,0,0,1,0,1,0,2,0,4,-1
2021-02-04,PHI,POR,0,-16,37.83,14,5,7,1,2,2,1,5,2,2,0,2,1,13,-3
2021-02-06,PHI,BRK,0,16,22.97,11,5,6,3,0,0,1,3,1,0,0,0,2,13,16
2021-02-09,PHI,SAC,1,8,17.05,7,5,3,2,1,2,0,3,0,0,0,0,2,13,6
2021-02-11,PHI,POR,1,-4,23.93,7,3,4,0,1,1,0,5,0,1,0,1,3,7,-1
2021-02-13,PHI,PHO,1,-9,15.65,5,0,3,0,2,2,0,2,0,0,0,1,1,2,-13
2021-02-15,PHI,UTA,1,-11,20.8,5,0,2,0,0,0,0,2,2,1,0,2,0,0,-15
2021-02-17,PHI,HOU,0,5,15.85,6,2,4,1,0,0,0,3,1,1,0,1,1,5,14
2021-02-19,PHI,CHI,0,7,11.45,3,1,1,0,0,0,0,0,0,1,0,2,2,2,-11
2021-02-21,PHI,TOR,1,-7,2.22,2,0,2,0,0,0,0,0,0,0,0,0,0,0,-2
2021-02-23,PHI,TOR,1,7,28.3,11,5,11,5,4,4,0,7,2,0,0,1,2,19,12
2021-02-25,PHI,DAL,0,14,18.98,7,3,5,2,1,2,0,1,2,0,0,0,2,9,3
2021-02-27,PHI,CLE,0,-3,19.57,9,3,5,1,1,3,1,4,1,0,0,1,1,8,-3
2021-03-01,PHI,IND,0,16,22.68,14,6,13,6,1,2,0,2,2,1,2,2,1,19,9
2021-03-03,PHI,UTA,0,8,12.45,4,2,1,1,3,3,0,1,0,0,0,1,2,8,0
2021-03-11,PHI,CHI,1,22,24.38,14,7,6,1,1,2,1,1,4,3,0,2,1,16,11
2021-03-12,PHI,WAS,1,26,24.53,11,5,5,4,4,4,1,3,3,2,0,1,1,18,7
2021-03-14,PHI,SAS,0,35,15.07,7,5,4,4,2,2,0,1,2,0,0,0,2,16,8
2021-03-16,PHI,NYK,0,3,23.23,12,4,6,1,3,5,2,3,0,2,0,1,0,12,6
2021-03-17,PHI,MIL,0,-4,19.65,6,3,4,3,2,3,0,2,2,0,1,2,0,11,-3
2021-03-20,PHI,SAC,0,24,18.08,7,2,5,1,2,3,0,0,2,0,0,1,2,7,-3
