Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,Rebounds,Assists,Steals,Blocks,Turnovers,Fouls,Points
2020-12-30,MIA,MIL,0, +11,15:11,6,2,5,2,2,2,0,0,0,4,7
2021-01-12,MIA,PHI,1, -3,36:24,20,9,12,4,2,3,2,0,2,3,24
2021-01-14,MIA,PHI,1, -17,34:35,17,6,11,4,2,8,0,0,5,3,21
2021-01-16,MIA,DET,0, -20,15:37,9,2,4,0,2,0,1,0,1,6,4
2021-01-18,MIA,DET,0, +6,9:07,3,1,2,1,1,1,0,0,0,0,3
2021-01-20,MIA,TOR,1, +9,28:03,8,1,8,1,1,2,0,0,0,2,3
2021-01-22,MIA,TOR,1, -20,23:34,10,4,5,0,2,0,1,1,4,0,8
2021-01-23,MIA,BRK,1, -4,19:40,5,1,4,0,0,3,0,0,0,3,2
2021-01-25,MIA,BRK,1, -13,18:35,6,2,3,0,3,1,0,0,0,2,6
2021-01-27,MIA,DEN,0, -27,12:29,4,1,3,0,0,1,0,0,2,0,3
2021-01-28,MIA,LAC,0, -4,25:37,13,6,4,2,4,4,2,0,4,4,18
2021-01-30,MIA,SAC,0, +1,10:46,2,1,1,1,0,0,0,0,0,0,3
2021-02-05,MIA,WAS,0, +27,1:40,0,0,0,0,0,0,0,0,0,0,0
2021-02-07,MIA,NYK,1, +6,10:06,3,2,2,1,0,0,1,0,0,2,5
2021-02-09,MIA,NYK,0, +2,5:01,2,1,2,1,1,0,0,0,0,2,3
2021-02-11,MIA,HOU,1, +7,12:59,5,1,4,0,1,1,0,0,0,2,2
2021-02-13,MIA,UTA,1, -18,1:55,0,0,0,0,0,0,0,0,0,1,0
2021-02-17,MIA,GSW,1, -8,10:32,3,1,1,0,0,1,1,0,0,2,2
2021-02-18,MIA,SAC,1, +8,11:36,1,0,0,0,0,0,0,0,0,0,0
2021-02-20,MIA,LAL,1, +2,5:26,2,0,1,0,2,0,1,0,0,1,0
2021-02-22,MIA,OKC,1, +14,7:06,2,1,1,0,0,1,0,0,1,1,2
2021-02-24,MIA,TOR,0, +8,11:39,5,3,5,3,0,0,1,0,0,4,11
2021-02-26,MIA,UTA,0, +8,11:59,2,1,2,1,2,1,0,0,0,1,3
2021-02-28,MIA,ATL,0, +10,17:13,8,3,4,1,2,1,1,1,0,3,7
2021-03-02,MIA,ATL,0, -14,17:48,7,3,5,1,0,1,1,0,1,0,9
2021-03-16,MIA,CLE,0, +15,0:28,0,0,0,0,0,0,0,0,0,0,0
2021-03-19,MIA,IND,0, -27,9:55,7,4,3,1,2,1,0,0,0,0,9
2021-03-21,MIA,IND,0, -3,17:31,4,3,4,3,2,3,1,0,2,3,9
2021-03-23,MIA,PHO,0, -10,15:15,4,2,3,2,3,4,0,0,0,1,6
2021-03-25,MIA,POR,0, -3,26:48,10,3,6,2,2,9,0,0,2,2,8
2021-03-26,MIA,CHO,1, -5,17:46,5,1,5,1,0,1,2,0,3,2,3
2021-03-29,MIA,NYK,1, +10,14:00,4,2,2,1,3,0,1,0,0,1,5
2021-03-31,MIA,IND,1, +5,16:54,6,1,4,0,0,0,0,0,0,1,3
2021-04-01,MIA,GSW,0, +7,12:42,2,0,2,0,0,2,1,0,0,1,0
2021-04-03,MIA,CLE,0, +14,1:47,1,1,0,0,0,0,0,0,0,1,2
2021-04-06,MIA,MEM,0, -12,1:37,0,0,0,0,1,2,0,0,0,1,0
2021-04-13,MIA,PHO,1, -20,3:10,1,0,1,0,0,0,0,0,0,2,0
2021-04-14,MIA,DEN,1, -17,19:35,5,3,4,2,1,0,0,0,0,2,8
2021-04-16,MIA,MIN,1, -8,3:43,2,1,2,1,2,0,0,0,1,4,3
2021-04-19,MIA,HOU,0, +22,3:10,1,0,0,0,0,0,0,0,0,0,0
2021-04-21,MIA,SAS,1, +20,1:58,1,1,1,1,1,0,0,0,0,0,3
2021-04-24,MIA,CHI,0, +5,23:20,7,1,3,0,3,1,0,0,0,1,2
2021-04-26,MIA,CHI,0, -8,30:02,7,1,5,1,0,0,2,0,2,3,3
2021-04-28,MIA,SAS,0, +5,5:03,1,0,1,0,1,1,0,0,0,0,0
2021-05-01,MIA,CLE,1, +17,1:40,0,0,0,0,1,0,0,0,0,2,0
2021-05-02,MIA,CHO,1, +10,1:09,2,1,1,1,0,0,0,0,0,0,3
2021-05-04,MIA,DAL,0, -14,12:00,7,5,5,4,1,1,0,0,0,2,14
2021-05-13,MIA,PHI,0, +12,1:43,1,0,1,0,0,0,0,0,1,1,0
2021-05-15,MIA,MIL,1, -14,2:10,0,0,0,0,0,1,0,0,0,0,0
2021-05-16,MIA,DET,1, +13,36:44,12,6,7,3,6,10,2,0,3,3,15
