Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,Rebounds,Assists,Steals,Blocks,Turnovers,Fouls,Points
2020-12-27,ORL,WAS,1, +7,9:03,2,0,2,0,3,1,0,0,1,1,0
2020-12-31,ORL,PHI,0, -24,9:57,2,1,1,0,2,0,0,0,0,0,3
2021-01-02,ORL,OKC,0, -9,18:04,2,0,2,0,6,1,2,0,1,3,0
2021-01-04,ORL,CLE,0, +20,20:53,5,2,4,2,5,0,0,0,2,1,6
2021-01-06,ORL,CLE,0, +11,28:24,4,1,3,1,4,1,0,0,0,4,3
2021-01-08,ORL,HOU,1, -42,30:48,3,0,3,0,4,0,0,1,2,1,0
2021-01-09,ORL,DAL,1, -14,21:46,5,2,4,2,4,0,1,0,1,1,6
2021-01-11,ORL,MIL,0, -22,18:57,4,1,3,0,3,2,0,0,1,1,2
2021-01-15,ORL,BOS,1, -27,26:49,4,1,2,0,3,0,1,1,1,0,3
2021-01-16,ORL,BRK,1, -7,24:03,6,3,4,2,5,1,0,0,0,0,10
2021-01-18,ORL,NYK,1, -7,18:45,5,0,5,0,2,0,0,1,0,1,0
2021-01-20,ORL,MIN,1, +1,7:38,0,0,0,0,5,0,0,0,0,0,0
2021-01-22,ORL,IND,1, -2,9:47,0,0,0,0,4,0,0,0,1,0,0
2021-01-24,ORL,CHO,0, -3,35:26,7,4,7,4,4,2,0,0,0,2,14
2021-01-25,ORL,CHO,0, +9,17:08,6,3,5,2,3,0,1,0,1,1,8
2021-01-27,ORL,SAC,0, -14,26:26,6,1,5,0,4,4,1,0,0,1,2
2021-01-29,ORL,LAC,0, -26,26:25,7,2,7,2,7,0,0,0,0,1,6
2021-01-31,ORL,TOR,1, -13,21:46,2,1,2,1,3,1,0,0,0,1,3
2021-02-02,ORL,TOR,0, -15,25:19,5,1,4,1,0,3,1,1,0,2,3
2021-02-05,ORL,CHI,0, +4,16:38,1,0,1,0,1,0,0,0,1,2,0
2021-02-06,ORL,CHI,0, -26,30:08,5,1,5,1,3,0,0,0,0,1,3
2021-02-09,ORL,POR,1, -9,15:54,3,0,2,0,2,3,0,0,0,1,0
2021-02-11,ORL,GSW,1, -6,15:39,2,1,1,0,2,1,0,1,1,1,2
2021-02-12,ORL,SAC,1, +11,20:33,4,2,4,2,2,1,0,0,2,2,6
2021-02-14,ORL,PHO,1, -19,28:29,4,0,4,0,7,1,1,0,0,1,0
2021-02-17,ORL,NYK,0, +18,20:17,8,3,7,3,5,2,2,0,0,0,9
2021-02-25,ORL,BRK,1, -37,8:01,3,0,2,0,1,1,0,0,0,0,2
2021-02-27,ORL,UTA,0, -15,4:39,0,0,0,0,0,0,0,0,0,1,0
2021-03-01,ORL,DAL,0, -6,4:07,3,2,3,2,0,0,0,0,0,1,6
2021-03-03,ORL,ATL,0, -3,10:21,4,1,3,1,1,0,1,1,0,0,3
2021-03-11,ORL,MIA,1, -8,16:44,6,3,4,2,5,2,0,0,1,2,8
2021-03-12,ORL,SAS,1, -27,26:09,10,3,7,2,6,1,1,0,1,0,8
2021-03-14,ORL,MIA,0, -5,9:59,1,0,1,0,4,2,0,0,0,0,0
2021-03-21,ORL,BOS,1, -16,3:53,0,0,0,0,1,0,0,0,0,1,0
2021-03-23,ORL,DEN,0, -11,7:55,2,1,1,1,1,0,0,1,0,0,3
2021-04-06,DEN,DET,0, +15,2:41,0,0,0,0,1,0,0,0,0,0,0
2021-04-07,DEN,SAS,0, +10,1:25,0,0,0,0,0,0,0,0,0,0,0
2021-05-14,PHI,ORL,0, +25,3:57,0,0,0,0,1,1,1,0,0,1,0
2021-05-16,PHI,ORL,0, +11,8:50,1,0,0,0,1,0,0,0,0,0,0
